time,prec,temp
31/08/10,null,23.476389
30/09/10,86.4,25.547173
31/10/10,75,24.597619
30/11/10,109.2,25.088611
31/12/10,121.8,26.445161
31/01/11,326,26.218952
28/02/11,171.2,25.993349
31/03/11,223,25.177936
30/04/11,null,null
31/05/11,null,null
30/06/11,54.4,18.838333
31/07/11,3.4,20.958871
31/08/11,7.6,22.465995
30/09/11,6.2,25.157083
31/10/11,177.2,25.453165
30/11/11,133.8,25.454444
31/12/11,107.8,26.915188
31/01/12,381,25.639113
29/02/12,60.6,27.095546
31/03/12,76.4,26.060215
30/04/12,100.2,24.782361
31/05/12,67.6,20.944086
30/06/12,163.2,20.278472
31/07/12,11.2,19.298387
31/08/12,0.6,23.383333
30/09/12,107.4,25.122083
31/10/12,91.2,26.764919
30/11/12,17.2,27.200972
31/12/12,25.6,27.49086
31/01/13,null,26.51828
28/02/13,55.4,26.250298
31/03/13,null,26.078592
30/04/13,null,23.018472
31/05/13,25.6,22.097984
30/06/13,126.2,21.722538
31/07/13,52.2,18.915019
31/08/13,0,20.197312
30/09/13,96,24.140694
31/10/13,156.8,25.325941
30/11/13,49.8,26.695556
31/12/13,255,27.109946
31/01/14,174,26.823118
28/02/14,173,26.681845
31/03/14,123,25.673656
30/04/14,79.6,24.716945
31/05/14,38.8,21.09086
30/06/14,13,20.935
31/07/14,104.2,19.830376
31/08/14,0,22.467876
30/09/14,135.4,25.257778
31/10/14,63.2,26.475403
30/11/14,358.4,25.237361
31/12/14,176.6,26.295161
31/01/15,77,27.65817
28/02/15,null,26.302381
31/03/15,null,25.34086
30/04/15,null,24.810556
31/05/15,71.6,21.810887
30/06/15,109.4,20.975417
31/07/15,52.4,21.04422
31/08/15,19.8,22.897984
30/09/15,175,24.808472
31/10/15,58.4,26.017608
30/11/15,null,26.755972
31/12/15,null,26.263575
31/01/16,null,26.300941
29/02/16,null,27.181753
31/03/16,null,25.959543
30/04/16,null,25.504306
31/05/16,197.2,20.734274
30/06/16,37,18.483055
31/07/16,8.8,19.668414
31/08/16,48.4,21.256183
30/09/16,41.4,22.019444
31/10/16,43,24.878068
30/11/16,55.8,26.282083
31/12/16,150.4,26.275269
31/01/17,248.2,25.837097
28/02/17,112,27.116964
31/03/17,145.6,26.219892
30/04/17,151.8,23.854722
31/05/17,144.8,23.456183
30/06/17,10.8,20.275755
31/07/17,0,19.184655
31/08/17,52.4,22.490459
30/09/17,20.8,26.335057
31/10/17,68.6,null
30/11/17,0,null
31/12/17,0,null
31/01/18,null,null
28/02/18,null,null
31/03/18,93.2,27.1875
30/04/18,12.6,24.61125
31/05/18,33.8,21.941263
30/06/18,0.4,20.987361
31/07/18,0.4,21.022446
31/08/18,18,20.751747
30/09/18,142.8,23.568056
31/10/18,236.8,26.459543
30/11/18,95.8,26.032083
31/12/18,127.4,27.227151
31/01/19,192.6,27.729301
28/02/19,211,27.064583
31/03/19,55.8,26.204032
30/04/19,171.4,25.633333
31/05/19,52.6,22.851613
30/06/19,17,21.196806
31/07/19,14.8,19.950134
31/08/19,21,22.606342
30/09/19,36.4,27.108472
31/10/19,83.4,27.845833
30/11/19,164,27.50875
31/12/19,140.6,26.803629
31/01/20,161.4,27.642473
29/02/20,330.6,26.512787
31/03/20,89,26.419355
30/04/20,106.2,23.995833
31/05/20,37.2,19.57836
30/06/20,53.2,21.949167
31/07/20,0,21.021774
31/08/20,5.2,21.948387
30/09/20,10.2,27.716806
31/10/20,103,28.205107
30/11/20,77.8,26.973333
31/12/20,177.8,27.231452
31/01/21,244.2,26.081183
28/02/21,106.6,26.406696
31/03/21,87.4,26.605376
30/04/21,null,24.317778
31/05/21,46.4,22.331048
30/06/21,11.8,20.536806
31/07/21,3.4,17.840591
31/08/21,11.6,23.511962
30/09/21,17.2,27.358056
31/10/21,215,25.509677
30/11/21,95.6,27.052917
31/12/21,122,26.775134
