time,prec,temp
30/06/08,null,15.377778
31/07/08,11.2,19.386962
31/08/08,201.6,19.938575
30/09/08,58.6,18.767778
31/10/08,113.4,23.575134
30/11/08,340.4,24.036945
31/12/08,47.4,25.466667
31/01/09,131.4,24.040738
28/02/09,257.4,24.570892
31/03/09,93.2,24.980575
30/04/09,null,23.157716
31/05/09,151.4,20.027554
30/06/09,null,null
31/07/09,80.8,16.458064
31/08/09,74,18.652016
30/09/09,74.4,19.92
31/10/09,196.2,22.95977
30/11/09,122.2,26.43375
31/12/09,185.2,24.938172
31/01/10,293,24.799722
28/02/10,212.4,25.613988
31/03/10,128.2,24.884946
30/04/10,63.4,22.009306
31/05/10,223.2,17.055914
30/06/10,17.4,18.492917
31/07/10,null,17.446605
31/08/10,null,19.247696
30/09/10,null,null
31/10/10,null,null
30/11/10,null,null
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,null,null
30/04/11,null,null
31/05/11,3.6,18.007393
30/06/11,46.2,16.223889
31/07/11,99.2,18.089516
31/08/11,78.8,19.049866
30/09/11,37.8,20.672639
31/10/11,209.6,23.198253
30/11/11,143,23.245417
31/12/11,92.6,24.834543
31/01/12,173.2,24.785215
29/02/12,102.2,25.058908
31/03/12,189.2,23.468683
30/04/12,142.4,21.901111
31/05/12,42.6,18.923925
30/06/12,255,17.432778
31/07/12,32,16.709812
31/08/12,21.8,20.303333
30/09/12,61.4,22.245833
31/10/12,219,24.172177
30/11/12,174.8,24.738889
31/12/12,111.8,25.889919
31/01/13,188.6,24.988844
28/02/13,121.2,24.943899
31/03/13,278.6,24.156322
30/04/13,172.6,20.642639
31/05/13,130.8,19.401613
30/06/13,null,18.194147
31/07/13,32.2,17.079354
31/08/13,2,16.921774
30/09/13,21,21.058333
31/10/13,null,23.171848
30/11/13,93.8,24.751806
31/12/13,82.4,25.836962
31/01/14,254,24.917204
28/02/14,91.6,25.547024
31/03/14,210.6,23.393952
30/04/14,null,23.164109
31/05/14,null,null
30/06/14,73.4,18.618201
31/07/14,192.8,16.940358
31/08/14,14,20.04394
30/09/14,119.2,22.964705
31/10/14,62.8,25.543583
30/11/14,194.8,23.892639
31/12/14,289,24.588575
31/01/15,101.2,25.323206
28/02/15,210.4,24.815476
31/03/15,90.4,24.18293
30/04/15,113.2,22.29125
31/05/15,160,18.866936
30/06/15,43.8,18.679167
31/07/15,88.6,17.705357
31/08/15,3.8,21.335618
30/09/15,null,23.262361
31/10/15,254,24.579704
30/11/15,405.2,23.914444
31/12/15,null,null
31/01/16,null,null
29/02/16,null,25.637153
31/03/16,74,23.666256
30/04/16,68.8,23.897639
31/05/16,null,null
30/06/16,null,15.03571
31/07/16,31.8,17.618548
31/08/16,105,19.045161
30/09/16,59,19.252664
31/10/16,233.6,22.984596
30/11/16,54.6,23.688333
31/12/16,208.8,24.022222
31/01/17,98.2,25.162634
28/02/17,241.4,25.390179
31/03/17,117.4,24.474731
30/04/17,192.4,20.568056
31/05/17,55.6,20.919048
30/06/17,60.8,17.604885
31/07/17,5,16.759677
31/08/17,47.6,20.373214
30/09/17,14.6,23.739861
31/10/17,209.8,23.03293
30/11/17,192,22.699306
31/12/17,196.6,24.618145
31/01/18,240.2,24.065457
28/02/18,142.6,23.713272
31/03/18,236.6,24.660349
30/04/18,57.6,23.386389
31/05/18,null,19.594758
30/06/18,null,18.858102
31/07/18,1,17.773656
31/08/18,null,16.80997
30/09/18,null,20.787138
31/10/18,null,23.446578
30/11/18,25,23.996389
31/12/18,10.6,25.018145
31/01/19,null,26.43629
28/02/19,null,24.806994
31/03/19,null,24.503693
30/04/19,null,22.732471
31/05/19,null,21.15372
30/06/19,32,18.980555
31/07/19,10.2,16.343145
31/08/19,1.8,19.497043
30/09/19,27.4,23.208611
31/10/19,41.2,25.414516
30/11/19,123.8,26.049444
31/12/19,480.2,24.100941
31/01/20,151.8,25.205914
29/02/20,124.8,25.091523
31/03/20,71,25.031048
30/04/20,135.6,20.953333
31/05/20,130.8,17.265054
30/06/20,131.4,18.648195
31/07/20,17,17.318011
31/08/20,180.6,18.583871
30/09/20,7.2,23.23375
31/10/20,127,24.61371
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
