time,prec,temp
31/03/13,null,null
30/04/13,null,22.286508
31/05/13,55.6,22.061559
30/06/13,null,20.607418
31/07/13,19.8,19.222849
31/08/13,0,20.267742
30/09/13,62,23.095139
31/10/13,129.2,24.132124
30/11/13,63,25.638333
31/12/13,115.8,27.04328
31/01/14,62.2,26.686559
28/02/14,68.2,27.385268
31/03/14,147.4,25.283065
30/04/14,83,23.864167
31/05/14,39.4,21.015591
30/06/14,14.8,20.983056
31/07/14,87.2,19.585753
31/08/14,6.4,23.085753
30/09/14,160.2,24.265
31/10/14,55.4,26.510618
30/11/14,194.6,24.7975
31/12/14,127.8,25.914785
31/01/15,257,27.174492
28/02/15,231.4,25.543453
31/03/15,178.4,24.980335
30/04/15,65.6,24.88
31/05/15,77,21.85793
30/06/15,29,21.787637
31/07/15,119.4,20.71129
31/08/15,10.8,24.052823
30/09/15,146.8,25.168611
31/10/15,253.2,25.994624
30/11/15,257,25.961401
31/12/15,null,null
31/01/16,null,null
29/02/16,161.8,26.769397
31/03/16,79,25.698387
30/04/16,59.4,26.590833
31/05/16,132,20.377151
30/06/16,39.8,18.789444
31/07/16,12.8,21.167339
31/08/16,86.6,22.302554
30/09/16,38.2,22.283056
31/10/16,81.4,24.762658
30/11/16,94,26.060972
31/12/16,233.6,26.009274
31/01/17,235.6,25.74086
28/02/17,139.2,27.392857
31/03/17,130.2,26.381317
30/04/17,47.4,23.593611
31/05/17,139.6,23.139382
30/06/17,32.8,20.383472
31/07/17,0,20.459409
31/08/17,92.8,22.91828
30/09/17,16.4,26.823611
31/10/17,244.6,24.972849
30/11/17,250,24.979306
31/12/17,226.8,26.033065
31/01/18,97.2,25.724462
28/02/18,43.6,25.447917
31/03/18,79.8,26.76707
30/04/18,15,25.313056
31/05/18,23,22.540995
30/06/18,28,21.062917
31/07/18,0,22.472446
31/08/18,56.4,20.062634
30/09/18,109.6,23.370139
31/10/18,384.6,25.051075
30/11/18,43.2,25.607778
31/12/18,153.4,27.480242
31/01/19,67.2,28.042608
28/02/19,246.2,26.703531
31/03/19,null,null
30/04/19,null,null
31/05/19,47,23.118952
30/06/19,20,22.4225
31/07/19,43.2,20.152285
31/08/19,0,22.616129
30/09/19,63.6,25.974028
31/10/19,77.4,27.152688
30/11/19,114,26.960139
31/12/19,243,25.836828
31/01/20,191.2,26.961559
29/02/20,215.6,25.911351
31/03/20,42.4,26.32957
30/04/20,80,23.708055
31/05/20,53,20.429704
30/06/20,86.8,21.8875
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
