time,prec,temp
31/08/11,null,21.998016
30/09/11,63.6,22.359167
31/10/11,117.8,24.882796
30/11/11,193.8,25.070139
31/12/11,49.4,26.062634
31/01/12,126.2,26.947984
29/02/12,144.8,26.105172
31/03/12,177.6,24.369086
30/04/12,133.6,23.368472
31/05/12,146.6,20.632527
30/06/12,226,19.050012
31/07/12,20.2,17.598253
31/08/12,17.8,21.727862
30/09/12,39.6,24.139583
31/10/12,88.4,26.491935
30/11/12,0,26.208889
31/12/12,null,27.646102
31/01/13,null,26.684899
28/02/13,null,26.822768
31/03/13,null,26.241092
30/04/13,0,22.396661
31/05/13,165.4,21.108871
30/06/13,219.2,19.788599
31/07/13,31.4,18.33871
31/08/13,0.6,17.921102
30/09/13,59,22.589861
31/10/13,209.6,24.035349
30/11/13,221.4,26.106806
31/12/13,161.6,27.035215
31/01/14,159.6,26.356048
28/02/14,131.8,26.069345
31/03/14,165.2,24.948253
30/04/14,186.2,23.919583
31/05/14,212.6,19.844624
30/06/14,120.8,20.29375
31/07/14,109,19.104704
31/08/14,23.6,21.590457
30/09/14,107.4,25.539167
31/10/14,null,27.253159
30/11/14,null,25.028908
31/12/14,208.6,26.538307
31/01/15,89,26.964423
28/02/15,113.4,26.767262
31/03/15,104.4,25.108333
30/04/15,227,24.268194
31/05/15,194.6,21.389247
30/06/15,97,20.860417
31/07/15,147.8,19.672581
31/08/15,5.6,23.079301
30/09/15,150.2,24.334306
31/10/15,148.8,25.513844
30/11/15,245.6,26.193056
31/12/15,268.8,26.925134
31/01/16,266.8,26.571237
29/02/16,248.4,26.784626
31/03/16,125.6,24.622715
30/04/16,66,24.896389
31/05/16,174.4,18.885215
30/06/16,17.6,16.317361
31/07/16,24.4,19.135484
31/08/16,52.6,20.686758
30/09/16,null,21.008906
31/10/16,135.8,24.635657
30/11/16,null,25.087633
31/12/16,319.8,25.955108
31/01/17,114.4,26.842876
28/02/17,49.6,26.754613
31/03/17,null,25.963306
30/04/17,null,22.737222
31/05/17,null,22.491667
30/06/17,null,19.296389
31/07/17,0,18.404839
31/08/17,null,22.791532
30/09/17,21.4,24.485278
31/10/17,172.6,25.311828
30/11/17,216,25.05875
31/12/17,276.6,26.285081
31/01/18,297.2,25.931855
28/02/18,null,26.165365
31/03/18,null,null
30/04/18,null,24.594722
31/05/18,80,21.460132
30/06/18,37.2,17.954167
31/07/18,2.2,18.85793
31/08/18,37.6,18.132392
30/09/18,170.2,21.749028
31/10/18,124.2,25.304032
30/11/18,165,25.67125
31/12/18,130.8,26.439516
31/01/19,78.6,28.020296
28/02/19,96.8,26.851339
31/03/19,273.2,25.84543
30/04/19,209.8,23.99
31/05/19,101.8,21.856452
30/06/19,39.4,20.909861
31/07/19,63.2,17.748521
31/08/19,1.6,20.706048
30/09/19,31.4,24.53471
31/10/19,83.6,26.101437
30/11/19,124,27.742083
31/12/19,186.8,25.823253
31/01/20,119.4,27.218683
29/02/20,null,27.273563
31/03/20,null,26.71707
30/04/20,null,22.708146
31/05/20,null,19.354469
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,25.853256
31/03/21,null,26.015473
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
