time,prec,temp
31/08/18,null,18.766146
30/09/18,206,22.042222
31/10/18,174.4,25.483065
30/11/18,177.4,25.541069
31/12/18,114.6,26.646408
31/01/19,36,27.405511
28/02/19,101.2,26.523363
31/03/19,null,null
30/04/19,null,null
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,84.4,27.593195
31/12/19,195.6,25.930511
31/01/20,261.8,26.809409
29/02/20,153.2,26.23319
31/03/20,107.4,26.600134
30/04/20,105.2,23.008611
31/05/20,63.2,19.588038
30/06/20,59.2,20.481389
31/07/20,17.8,19.586828
31/08/20,96.6,21.021909
30/09/20,45.2,24.486944
31/10/20,169.2,26.557258
30/11/20,141,25.575972
31/12/20,161.2,27.124719
31/01/21,180.2,25.75336
28/02/21,85,25.176637
31/03/21,79.4,25.677016
30/04/21,61.4,23.832639
31/05/21,3.8,21.344892
30/06/21,null,19.582895
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
