time,prec,temp
30/04/18,null,24.973913
31/05/18,22.4,21.819355
30/06/18,null,20.277835
31/07/18,null,22.121667
31/08/18,39.8,19.972703
30/09/18,88.4,23.187083
31/10/18,246,25.366129
30/11/18,104,25.597639
31/12/18,94,26.817608
31/01/19,57.6,27.719355
28/02/19,115.2,26.589434
31/03/19,134,25.606452
30/04/19,53.2,24.829306
31/05/19,41,22.691801
30/06/19,14.6,21.424583
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
