time,prec,temp
31/03/18,null,25.647833
30/04/18,12.2,24.478333
31/05/18,77.2,20.917204
30/06/18,14.6,17.532615
31/07/18,1.4,19.693145
31/08/18,39,18.108199
30/09/18,191.4,21.286944
31/10/18,448.6,23.839925
30/11/18,121.6,24.568472
31/12/18,146.8,26.014113
31/01/19,94.6,27.049462
28/02/19,null,25.760408
31/03/19,null,null
30/04/19,null,null
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,26.751119
31/12/19,null,null
31/01/20,null,25.855452
29/02/20,null,null
31/03/20,null,null
30/04/20,null,21.232248
31/05/20,56.6,18.671798
30/06/20,40.2,20.224353
31/07/20,14.4,19.086828
31/08/20,61.6,21.65394
30/09/20,15,25.264836
31/10/20,108.2,25.776723
30/11/20,null,null
31/12/20,122.8,25.447043
31/01/21,350.8,24.603495
28/02/21,85.2,24.74003
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
