time,prec,temp
28/02/18,null,null
31/03/18,null,null
30/04/18,null,null
31/05/18,47.2,21.553401
30/06/18,3.8,19.790257
31/07/18,0,20.534409
31/08/18,14.6,21.058199
30/09/18,137.4,22.995707
31/10/18,159.4,25.265896
30/11/18,242.6,24.695814
31/12/18,86.2,25.737851
31/01/19,234.4,25.451917
28/02/19,144.4,24.849321
31/03/19,58,24.589571
30/04/19,null,24.301716
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,183,25.171756
