time,prec,temp
31/03/08,null,24.517391
30/04/08,null,24.238351
31/05/08,null,20.898466
30/06/08,0,21.085454
31/07/08,0,21.145505
31/08/08,4.4,23.572763
30/09/08,0.2,24.588561
31/10/08,null,null
30/11/08,null,null
31/12/08,null,null
31/01/09,null,null
28/02/09,null,null
31/03/09,null,null
30/04/09,null,null
31/05/09,null,22.197609
30/06/09,null,20.143511
31/07/09,null,null
31/08/09,null,null
30/09/09,null,null
31/10/09,null,null
30/11/09,null,null
31/12/09,null,null
31/01/10,null,null
28/02/10,null,null
31/03/10,null,null
30/04/10,null,null
31/05/10,null,null
30/06/10,null,21.422685
31/07/10,0.4,22.046014
31/08/10,0,22.411781
30/09/10,null,null
31/10/10,null,null
30/11/10,null,null
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,null,null
30/04/11,103.8,23.973563
31/05/11,7.8,21.260618
30/06/11,37.4,19.665139
31/07/11,1.6,21.687231
31/08/11,6,23.313307
30/09/11,10.4,25.7538
31/10/11,148.6,24.948118
30/11/11,117.8,25.1
31/12/11,162.8,25.816129
31/01/12,269,24.380645
29/02/12,187.8,25.616954
31/03/12,201,24.934409
30/04/12,59,24.406945
31/05/12,129.2,20.864241
30/06/12,134.2,20.999028
31/07/12,4.6,19.79879
31/08/12,0,22.825139
30/09/12,56.4,25.362222
31/10/12,32.4,27.080376
30/11/12,195.8,25.959444
31/12/12,214,26.396102
31/01/13,329.6,25.495565
28/02/13,190.8,24.847024
31/03/13,213.8,25.283477
30/04/13,106.2,23.086111
31/05/13,15.4,22.483468
30/06/13,30.6,22.36971
31/07/13,8.8,19.904973
31/08/13,0,21.542473
30/09/13,50.4,24.603194
31/10/13,133.6,25.300941
30/11/13,122,25.600972
31/12/13,155.8,26.179032
31/01/14,74.8,25.633199
28/02/14,126.6,25.612649
31/03/14,220.8,24.727823
30/04/14,74.6,24.981667
31/05/14,65.4,21.547446
30/06/14,9.2,21.241944
31/07/14,103.2,20.686559
31/08/14,0,22.964113
30/09/14,44.6,25.302778
31/10/14,46.6,26.377957
30/11/14,197.8,24.969167
31/12/14,159.8,25.112769
31/01/15,82.2,27.222376
28/02/15,226.6,25.365923
31/03/15,146.2,24.419086
30/04/15,36.6,25.175
31/05/15,112,22.276344
30/06/15,32.8,21.122917
31/07/15,70.2,21.691263
31/08/15,25.8,22.96586
30/09/15,58.6,25.320972
31/10/15,52.6,27.03172
30/11/15,277,25.786528
31/12/15,321,25.438038
31/01/16,187.6,25.804839
29/02/16,null,26.236925
31/03/16,21.8,26.049059
30/04/16,16.8,25.491111
31/05/16,null,21.533871
30/06/16,27,19.672083
31/07/16,0.4,20.894086
31/08/16,15.4,22.40625
30/09/16,20.6,23.756399
31/10/16,null,null
30/11/16,null,25.192361
31/12/16,269.2,25.456183
31/01/17,513.4,24.667473
28/02/17,151,25.877679
31/03/17,167.2,25.7134
30/04/17,47.2,24.707395
31/05/17,133.2,23.687732
30/06/17,0.4,21.159568
31/07/17,0,19.574722
31/08/17,0,23.055992
30/09/17,0.6,26.201293
31/10/17,85.4,26.818103
30/11/17,317,25.122873
31/12/17,328.6,25.480955
31/01/18,243.2,25.292876
28/02/18,165.2,25.229911
31/03/18,109.4,26.485887
30/04/18,49,24.120677
31/05/18,null,22.066561
30/06/18,null,null
31/07/18,null,null
31/08/18,null,null
30/09/18,null,null
31/10/18,null,null
30/11/18,340.2,25.003056
31/12/18,155.8,26.411559
31/01/19,108.6,26.604704
28/02/19,138,25.872638
31/03/19,83.6,25.318817
30/04/19,148.2,24.998889
31/05/19,132.8,22.870833
30/06/19,1.6,21.011806
31/07/19,0.6,20.602285
31/08/19,40.6,22.915323
30/09/19,null,27.060806
31/10/19,null,27.234775
30/11/19,121,25.902712
31/12/19,339.8,25.562103
31/01/20,null,26.242776
29/02/20,417.2,25.279042
31/03/20,190,25.476848
30/04/20,59.4,24.128333
31/05/20,18.6,20.048253
30/06/20,8,22.082917
31/07/20,0,21.688038
31/08/20,7.2,22.603226
30/09/20,null,27.113333
31/10/20,107.2,27.806787
30/11/20,null,26.627225
31/12/20,348.2,25.748608
31/01/21,null,25.245297
28/02/21,66.6,25.210837
31/03/21,98.6,24.860297
30/04/21,null,23.582699
31/05/21,null,22.048925
30/06/21,null,20.796806
31/07/21,null,18.595968
31/08/21,null,23.272043
30/09/21,null,27.438134
31/10/21,null,24.988853
30/11/21,null,26.193514
31/12/21,null,null
