time,prec,temp
31/12/12,null,24.158167
31/01/13,484.4,23.811156
28/02/13,301.8,23.465476
31/03/13,216,24.000237
30/04/13,56.6,22.177047
31/05/13,10,21.983672
30/06/13,48.4,21.638881
31/07/13,18.4,19.767473
31/08/13,0.2,21.085753
30/09/13,42.4,23.820139
31/10/13,111.8,23.860291
30/11/13,185.2,23.924722
31/12/13,171.8,24.069149
31/01/14,266,23.255622
28/02/14,318,23.419908
31/03/14,330.4,23.402267
30/04/14,129.6,23.441576
31/05/14,31.2,21.154436
30/06/14,15.2,20.945555
31/07/14,166,20.466532
31/08/14,0,22.984543
30/09/14,102.4,24.6225
31/10/14,40.8,25.632258
30/11/14,237,23.502361
31/12/14,347.8,23.459543
31/01/15,110.8,24.715948
28/02/15,187.6,23.539286
31/03/15,239.8,22.989388
30/04/15,70.8,23.52875
31/05/15,169.2,21.399731
30/06/15,25.6,21.072083
31/07/15,13.6,21.774953
31/08/15,26.2,23.718683
30/09/15,32.8,25.30125
31/10/15,null,26.141801
30/11/15,57.2,24.687639
31/12/15,239.2,24.246774
31/01/16,382.6,24.168952
29/02/16,137.2,24.793535
31/03/16,225,24.02164
30/04/16,85.2,24.316944
31/05/16,36,21.641532
30/06/16,17,19.797778
31/07/16,0,21.239516
31/08/16,61.8,22.284812
30/09/16,null,23.204022
31/10/16,null,23.544489
30/11/16,null,23.3175
31/12/16,null,23.442608
31/01/17,null,23.233064
28/02/17,null,23.502976
31/03/17,null,23.667608
30/04/17,null,23.286458
31/05/17,100.2,22.988844
30/06/17,12.2,20.472778
31/07/17,0,20.106065
31/08/17,31,23.27207
30/09/17,0.4,26.026688
31/10/17,5.2,25.343142
30/11/17,null,24.427587
31/12/17,null,23.26553
31/01/18,158,23.599059
28/02/18,185.2,23.553125
31/03/18,271.8,24.123118
30/04/18,98.6,23.059167
31/05/18,29.4,21.309812
30/06/18,3,20.806528
31/07/18,0,21.313038
31/08/18,7.4,22.126075
30/09/18,107.2,23.506667
31/10/18,125.2,24.73293
30/11/18,439.4,23.801667
31/12/18,108.8,24.348071
31/01/19,208.4,24.149866
28/02/19,158.8,23.954018
31/03/19,123.8,24.029506
30/04/19,222.4,23.765139
31/05/19,51.8,22.067748
30/06/19,5,21.060417
31/07/19,1,20.650941
31/08/19,54,22.769355
30/09/19,25,26.924722
31/10/19,null,25.023221
30/11/19,null,24.538553
31/12/19,165,24.325269
31/01/20,156,24.650538
29/02/20,3.4,23.932615
31/03/20,35.2,24.633065
30/04/20,null,23.388194
31/05/20,null,19.839247
30/06/20,null,21.747778
31/07/20,0,21.681586
31/08/20,0.4,23.095027
30/09/20,0.8,27.1125
31/10/20,null,26.569758
30/11/20,null,25.417917
31/12/20,null,24.306855
31/01/21,null,23.483333
28/02/21,null,23.526488
31/03/21,null,23.627688
30/04/21,null,23.346111
31/05/21,90.4,21.802151
30/06/21,6.4,20.435972
31/07/21,0,19.52621
31/08/21,5.2,23.450941
30/09/21,38,26.836944
31/10/21,null,24.449006
30/11/21,null,24.423056
31/12/21,null,24.143011
