time,prec,temp
31/10/06,null,null
30/11/06,71.6,24.953287
31/12/06,283.2,25.820074
31/01/07,262.8,24.914382
28/02/07,279.6,25.11501
31/03/07,179.6,25.711584
30/04/07,46.8,24.13202
31/05/07,82.6,18.992693
30/06/07,6.4,19.707222
31/07/07,121.2,17.431854
31/08/07,37.2,19.289101
30/09/07,6.6,25.337222
31/10/07,118.8,25.027916
30/11/07,201.8,24.245115
31/12/07,149.2,25.207124
31/01/08,175.4,24.489481
29/02/08,229.4,24.288937
31/03/08,50.8,24.399328
30/04/08,140.6,22.704167
31/05/08,27.8,19.841519
30/06/08,18.4,17.739156
31/07/08,21.4,21.625941
31/08/08,32,22.055556
30/09/08,38.6,20.596389
31/10/08,74.8,24.578226
30/11/08,6,25.054411
31/12/08,17.6,25.924059
31/01/09,71,24.297518
28/02/09,157.8,25.108834
31/03/09,66.6,25.674597
30/04/09,0.2,24.762917
31/05/09,96.8,21.805
30/06/09,null,17.516833
31/07/09,null,19.210514
31/08/09,102.2,20.866657
30/09/09,38,21.029861
31/10/09,184,23.857143
30/11/09,120.4,26.52
31/12/09,331.8,25.018548
31/01/10,null,24.999011
28/02/10,null,null
31/03/10,null,null
30/04/10,null,null
31/05/10,null,null
30/06/10,null,null
31/07/10,null,null
31/08/10,null,22.752778
30/09/10,null,23.86407
31/10/10,null,23.622965
30/11/10,null,23.931532
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,95.2,24.226084
30/04/11,171,22.945139
31/05/11,7,19.567204
30/06/11,104.2,17.811667
31/07/11,84.2,19.522581
31/08/11,9.4,20.712634
30/09/11,55.8,22.630139
31/10/11,145,24.028226
30/11/11,155.8,24.349861
31/12/11,54.6,25.522446
31/01/12,116.8,25.286156
29/02/12,132.2,25.411063
31/03/12,106.6,24.628763
30/04/12,139.2,22.742917
31/05/12,72.6,20.374866
30/06/12,210.8,18.919167
31/07/12,11,18.444016
31/08/12,0,22.496111
30/09/12,50.8,24.036111
31/10/12,97.8,25.495296
30/11/12,186.2,25.465556
31/12/12,78.8,26.277554
31/01/13,64.4,25.375269
28/02/13,162.4,25.139286
31/03/13,219.4,24.70704
30/04/13,194,21.818182
31/05/13,36.6,20.89422
30/06/13,null,20.183877
31/07/13,20.4,18.78968
31/08/13,2.8,18.906452
30/09/13,93.4,22.094028
31/10/13,114.6,23.105914
30/11/13,81.4,25.179668
31/12/13,61.8,26.204435
31/01/14,185.6,25.214247
28/02/14,273,25.78497
31/03/14,150.6,24.120027
30/04/14,140.2,22.685972
31/05/14,121.8,19.246237
30/06/14,45.8,19.647917
31/07/14,null,18.364516
31/08/14,null,22.090995
30/09/14,null,24.150833
31/10/14,12,26.626478
30/11/14,null,24.386528
31/12/14,null,25.021102
31/01/15,0,25.673311
28/02/15,null,25.392292
31/03/15,null,null
30/04/15,null,null
31/05/15,null,19.916263
30/06/15,null,19.975556
31/07/15,null,null
31/08/15,null,23.349328
30/09/15,242.8,24.006944
31/10/15,64.2,24.687366
30/11/15,null,24.355278
31/12/15,null,24.755242
31/01/16,null,25.291129
29/02/16,null,25.439368
31/03/16,null,24.363172
30/04/16,null,25.06
31/05/16,null,18.458602
30/06/16,null,16.89875
31/07/16,46.4,19.415995
31/08/16,84.8,20.934274
30/09/16,21.2,21.197361
31/10/16,20.2,23.777285
30/11/16,28,24.760694
31/12/16,132.8,24.335753
31/01/17,50.4,25.348387
28/02/17,48,25.767113
31/03/17,36.2,25.304839
30/04/17,null,21.617361
31/05/17,null,21.640188
30/06/17,null,18.86
31/07/17,0,19.263844
31/08/17,50,21.830108
30/09/17,6.8,25.794855
31/10/17,101.2,23.895161
30/11/17,33.4,23.840278
31/12/17,73.4,24.88629
31/01/18,null,24.260215
28/02/18,83,24.457441
31/03/18,136.6,25.464382
30/04/18,6,24.814861
31/05/18,null,21.352285
30/06/18,12.8,18.183847
31/07/18,0.4,20.179704
31/08/18,66.6,18.410215
30/09/18,170.8,21.518333
31/10/18,215.8,24.106989
30/11/18,188.6,24.239043
31/12/18,91.6,25.546237
31/01/19,234.8,26.462231
28/02/19,null,25.590793
31/03/19,131.4,25.308494
30/04/19,14.8,23.965795
31/05/19,null,21.888589
30/06/19,12.4,21.631891
31/07/19,0.2,18.872257
31/08/19,5.4,20.745356
30/09/19,null,null
31/10/19,null,26.487188
30/11/19,null,null
31/12/19,97.4,25.176637
31/01/20,217.6,25.915323
29/02/20,99.4,25.657328
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
