time,prec,temp
28/02/18,null,null
31/03/18,139.8,26.444971
30/04/18,26.8,24.845278
31/05/18,57.6,21.425
30/06/18,29.6,18.622754
31/07/18,0,20.068414
31/08/18,114.2,18.898925
30/09/18,169.6,21.90875
31/10/18,333,24.538306
30/11/18,166.2,25.335833
31/12/18,47.4,26.524194
31/01/19,229.2,26.773118
28/02/19,null,26.036111
31/03/19,null,null
30/04/19,null,null
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
