time,prec,temp
28/02/18,null,null
31/03/18,null,null
30/04/18,null,24.148148
31/05/18,67.8,20.695559
30/06/18,57.2,17.225556
31/07/18,9.2,18.548522
31/08/18,102.4,17.304704
30/09/18,160,20.88375
31/10/18,308,23.216936
30/11/18,111.2,24.9225
31/12/18,112.6,25.858602
31/01/19,75.8,27.358065
28/02/19,126.4,25.597587
31/03/19,143,24.538038
30/04/19,null,23.210455
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,139.2,26.800278
31/12/19,482.2,24.890188
31/01/20,218.6,26.158737
29/02/20,106.6,25.880747
31/03/20,59.2,25.873656
30/04/20,91,21.446147
31/05/20,110.8,18.056989
30/06/20,106.8,19.580139
31/07/20,6.2,18.447446
31/08/20,0.2,20.12379
30/09/20,0,24.253273
31/10/20,51.2,25.927285
30/11/20,0,25.092083
31/12/20,76,25.274462
31/01/21,null,24.951478
28/02/21,null,24.505208
31/03/21,153,24.940054
30/04/21,7.6,22.404583
31/05/21,0.8,19.749866
30/06/21,75.6,17.167877
31/07/21,null,16.393396
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,28.511256
