time,prec,temp
28/02/18,null,null
31/03/18,140.4,26.17043
30/04/18,15,24.935833
31/05/18,62,21.579032
30/06/18,27.2,18.909861
31/07/18,0,20.445699
31/08/18,89.8,19.096535
30/09/18,184.6,22.124306
31/10/18,266.4,24.793145
30/11/18,239.8,25.071111
31/12/18,94.4,26.340591
31/01/19,210.6,26.948656
28/02/19,204.8,26.076488
31/03/19,256.6,25.552554
30/04/19,40.6,24.430417
31/05/19,null,22.434729
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,109.2,27.389444
31/12/19,219.8,25.555376
31/01/20,163.4,26.585081
29/02/20,152.8,26.136638
31/03/20,89.8,26.794127
30/04/20,49,23.499722
31/05/20,100.4,19.723387
30/06/20,17.6,20.703125
31/07/20,12.2,19.796102
31/08/20,147.8,21.411828
30/09/20,40,25.830833
31/10/20,207.2,26.244893
30/11/20,78.8,25.796389
31/12/20,112.2,26.228629
31/01/21,303.8,25.177151
28/02/21,77.6,25.592708
31/03/21,64.6,26.346371
30/04/21,17.4,24.344583
31/05/21,43.4,21.885753
30/06/21,104.2,18.761667
31/07/21,3.2,18.410618
31/08/21,60.2,22.660484
30/09/21,91.2,26.250556
31/10/21,298.6,24.203091
30/11/21,null,26.916667
31/12/21,null,null
