time,prec,temp
31/05/08,null,null
30/06/08,null,null
31/07/08,17,null
31/08/08,null,null
30/09/08,null,null
31/10/08,null,null
30/11/08,null,null
31/12/08,null,null
31/01/09,null,null
28/02/09,null,null
31/03/09,null,null
30/04/09,null,null
31/05/09,null,null
30/06/09,null,null
31/07/09,null,null
31/08/09,null,null
30/09/09,null,null
31/10/09,null,null
30/11/09,118,null
31/12/09,346.6,null
31/01/10,138.8,null
28/02/10,85,null
31/03/10,72.2,null
30/04/10,46.8,23.006806
31/05/10,154.8,18.022312
30/06/10,17.6,18.946111
31/07/10,null,19.094245
31/08/10,0,20.476543
30/09/10,null,22.102404
31/10/10,115.6,21.777373
30/11/10,123.4,23.225278
31/12/10,null,24.914594
31/01/11,188,25.955915
28/02/11,null,null
31/03/11,null,25.203998
30/04/11,null,22.374722
31/05/11,16.2,18.951478
30/06/11,65.2,17.010556
31/07/11,148.2,18.662366
31/08/11,75.6,19.274866
30/09/11,61,21.174306
31/10/11,224.2,23.286156
30/11/11,151.6,23.788333
31/12/11,119,25.500806
31/01/12,146,25.708333
29/02/12,100,26.612787
31/03/12,57.6,24.573925
30/04/12,90.6,22.571726
31/05/12,null,19.950219
30/06/12,null,null
31/07/12,null,null
31/08/12,null,null
30/09/12,36.2,23.280694
31/10/12,147.8,24.748656
30/11/12,150.6,25.4475
31/12/12,119.4,26.620027
31/01/13,79.2,25.576344
28/02/13,161,25.077976
31/03/13,228.4,24.245546
30/04/13,null,null
31/05/13,124,19.934181
30/06/13,280.4,18.696679
31/07/13,57.8,17.416135
31/08/13,5.2,17.906452
30/09/13,49.6,21.515278
31/10/13,136,23.026479
30/11/13,135.4,25.099306
31/12/13,162.6,26.354167
31/01/14,161.2,26.104324
28/02/14,77,26.371131
31/03/14,166.6,24.163441
30/04/14,199,22.479444
31/05/14,125.4,19.115591
30/06/14,null,19.72451
31/07/14,null,null
31/08/14,null,null
30/09/14,141.4,23.210972
31/10/14,90.8,25.767607
30/11/14,201.4,24.644444
31/12/14,146.2,25.624866
31/01/15,119.2,26.450538
28/02/15,90.8,25.421429
31/03/15,74.6,24.818402
30/04/15,159.2,23.154444
31/05/15,191.8,19.56129
30/06/15,60.6,19.472711
31/07/15,347,18.166263
31/08/15,55.6,22.233333
30/09/15,211.6,23.228195
31/10/15,186,24.562231
30/11/15,400,24.157222
31/12/15,267.4,25.15793
31/01/16,144.6,26.180107
29/02/16,173.6,25.786063
31/03/16,31.6,24.229745
30/04/16,98.6,25.030972
31/05/16,null,null
30/06/16,null,null
31/07/16,30.4,18.495417
31/08/16,146.6,19.693145
30/09/16,50.4,20.30901
31/10/16,281.8,22.94625
30/11/16,98.8,24.52375
31/12/16,246.4,24.845699
31/01/17,111.8,25.904167
28/02/17,208.2,26.272237
31/03/17,150.4,24.896909
30/04/17,175.2,21.659583
31/05/17,169.8,21.025134
30/06/17,99,18.278056
31/07/17,0.8,18.225134
31/08/17,109.8,20.967473
30/09/17,22,25.096667
31/10/17,313.4,22.99422
30/11/17,168.6,23.473333
31/12/17,236.8,25.411962
31/01/18,262.8,24.825941
28/02/18,206.2,24.539732
31/03/18,272.8,25.486694
30/04/18,27.6,24.162935
31/05/18,58.4,20.656989
30/06/18,24.4,17.539722
31/07/18,4.6,19.362231
31/08/18,120.2,17.495968
30/09/18,168,21.13875
31/10/18,348.4,23.277957
30/11/18,80.2,24.776389
31/12/18,137.8,25.970833
31/01/19,45,27.61707
28/02/19,124.8,25.905208
31/03/19,142.4,24.719758
30/04/19,null,23.251961
31/05/19,null,null
30/06/19,28.8,20.365695
31/07/19,15,18.415805
31/08/19,3.4,20.584946
30/09/19,38.6,23.990833
31/10/19,45.8,26.541667
30/11/19,99.6,26.834722
31/12/19,422,24.726344
31/01/20,215.4,26.123387
29/02/20,132.6,25.665517
31/03/20,38.2,25.758772
30/04/20,106.4,22.035
31/05/20,118.2,18.760618
30/06/20,122.2,19.855972
31/07/20,19.4,18.586226
31/08/20,184.2,20.109311
30/09/20,4.2,24.995694
31/10/20,88.2,26.07043
30/11/20,75.8,25.159257
31/12/20,206.8,25.218683
31/01/21,363,24.639382
28/02/21,153.4,24.810417
31/03/21,278,25.364247
30/04/21,6.8,22.769722
31/05/21,57.8,20.410475
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
