time,prec,temp
28/02/03,null,null
31/03/03,null,null
30/04/03,null,null
31/05/03,null,null
30/06/03,null,null
31/07/03,null,null
31/08/03,null,null
30/09/03,null,null
31/10/03,null,null
30/11/03,null,null
31/12/03,null,null
31/01/04,null,null
29/02/04,null,null
31/03/04,null,null
30/04/04,null,null
31/05/04,null,null
30/06/04,null,null
31/07/04,null,null
31/08/04,null,null
30/09/04,null,null
31/10/04,null,null
30/11/04,null,null
31/12/04,null,null
31/01/05,null,null
28/02/05,null,null
31/03/05,null,null
30/04/05,null,null
31/05/05,null,null
30/06/05,null,null
31/07/05,null,null
31/08/05,null,null
30/09/05,null,18.943369
31/10/05,null,23.650509
30/11/05,null,null
31/12/05,null,25.938783
31/01/06,null,26.155587
28/02/06,null,26.140678
31/03/06,153,26.014772
30/04/06,null,23.964514
31/05/06,null,19.892477
30/06/06,31,20.609626
31/07/06,36.8,21.669086
31/08/06,11.4,22.104583
30/09/06,100.4,21.591594
31/10/06,59.6,25.507317
30/11/06,66.6,25.545825
31/12/06,262.2,26.463867
31/01/07,152.4,25.708871
28/02/07,133,25.952407
31/03/07,null,27.056659
30/04/07,null,25.541262
31/05/07,null,null
30/06/07,null,null
31/07/07,null,null
31/08/07,null,null
30/09/07,3.4,26.000139
31/10/07,37.8,26.283394
30/11/07,207.8,24.834052
31/12/07,119.6,26.175269
31/01/08,220,25.1625
29/02/08,238,25.146883
31/03/08,47.4,25.095968
30/04/08,110.8,23.550417
31/05/08,50.6,19.851987
30/06/08,21.8,18.474457
31/07/08,1.6,22.164516
31/08/08,112.8,22.352016
30/09/08,75.4,21.252639
31/10/08,115.8,25.186156
30/11/08,202.8,25.277778
31/12/08,64.8,26.523925
31/01/09,237.8,24.854663
28/02/09,146.8,26.059632
31/03/09,81.6,26.397177
30/04/09,1,25.577639
31/05/09,112.2,22.283185
30/06/09,null,null
31/07/09,null,19.440326
31/08/09,89.6,21.142587
30/09/09,72.4,22.079167
31/10/09,150.4,24.029153
30/11/09,177.6,26.519716
31/12/09,188,25.613844
31/01/10,253.4,25.553763
28/02/10,149.2,26.21622
31/03/10,90.4,26.241667
30/04/10,61.6,23.698472
31/05/10,106.6,18.974829
30/06/10,6.8,20.451293
31/07/10,40,20.793269
31/08/10,7,21.051057
30/09/10,298.4,23.786883
31/10/10,110.4,22.880506
30/11/10,149.4,23.865556
31/12/10,233.4,25.127688
31/01/11,205,25.79086
28/02/11,286.2,25.33378
31/03/11,137.4,24.605038
30/04/11,248.8,23.515833
31/05/11,5.4,20.731334
30/06/11,null,19.658349
31/07/11,null,null
31/08/11,null,null
30/09/11,57.2,23.112361
31/10/11,211.8,24.18871
30/11/11,159.6,24.955
31/12/11,113.8,26.571237
31/01/12,136.6,25.946505
29/02/12,121,26.746408
31/03/12,88,25.563306
30/04/12,143,23.800972
31/05/12,86.2,20.890591
30/06/12,273.8,19.563889
31/07/12,16.2,19.329839
31/08/12,4.4,23.105417
30/09/12,117.2,24.761944
31/10/12,98.4,26.156317
30/11/12,158.4,26.407778
31/12/12,152.4,26.885618
31/01/13,83.6,26.042607
28/02/13,162,25.405357
31/03/13,213,25.17342
30/04/13,127.4,22.801806
31/05/13,46.4,21.861559
30/06/13,168.6,20.226692
31/07/13,24.6,18.993496
31/08/13,2.4,19.768817
30/09/13,94.2,22.841667
31/10/13,169.8,23.94086
30/11/13,121.8,25.949028
31/12/13,95.8,27.311389
31/01/14,null,null
28/02/14,null,24.924219
31/03/14,143,24.924597
30/04/14,64.4,23.638611
31/05/14,140.6,20.353495
30/06/14,47.4,20.471667
31/07/14,151.4,19.056989
31/08/14,16.8,22.704973
30/09/14,149.6,24.460695
31/10/14,134.6,26.737231
30/11/14,125.6,25.035972
31/12/14,120,26.051478
31/01/15,139.4,26.972697
28/02/15,105.4,25.914732
31/03/15,null,25.175403
30/04/15,null,24.167361
31/05/15,0,20.745833
30/06/15,0,20.708194
31/07/15,0,19.473925
31/08/15,0,23.677016
30/09/15,198.4,24.459306
31/10/15,98.8,25.268145
30/11/15,null,25.443079
31/12/15,null,25.758929
31/01/16,null,26.149554
29/02/16,null,27.006945
31/03/16,null,25.269227
30/04/16,null,null
31/05/16,null,19.477439
30/06/16,null,18.123732
31/07/16,null,20.298344
31/08/16,null,null
30/09/16,26.2,21.557252
31/10/16,null,null
30/11/16,null,null
31/12/16,null,null
31/01/17,151,26.087366
28/02/17,99.8,27.150446
31/03/17,null,26.947688
30/04/17,166.8,22.602778
31/05/17,173.8,22.406446
30/06/17,null,19.322445
31/07/17,null,null
31/08/17,null,null
30/09/17,null,null
31/10/17,null,null
30/11/17,null,25.138725
31/12/17,221.4,25.874059
31/01/18,166.4,25.435484
28/02/18,178.2,25.279464
31/03/18,286.6,26.265393
30/04/18,14.8,25.497361
31/05/18,47,22.19422
30/06/18,29.2,19.521111
31/07/18,0,21.388517
31/08/18,132.4,19.035279
30/09/18,152.6,22.462518
31/10/18,331.4,24.335373
30/11/18,148.6,25.087186
31/12/18,44.4,27.155242
31/01/19,145.2,27.50464
28/02/19,126.4,26.396953
31/03/19,94.6,25.51534
30/04/19,53.2,24.937083
31/05/19,28.2,22.474731
30/06/19,43.4,21.850417
31/07/19,54,19.324328
31/08/19,2.8,22.108581
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,234.8,25.61326
31/01/20,165.4,26.917876
29/02/20,217.4,26.284358
31/03/20,42.6,26.765726
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,20.837327
31/08/20,null,null
30/09/20,null,27.627216
31/10/20,null,26.738853
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,26.090799
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
