time,prec,temp
31/08/11,null,23.465761
30/09/11,79.2,24.009861
31/10/11,71.8,26.166398
30/11/11,129.6,26.334444
31/12/11,48.6,27.04543
31/01/12,138.4,27.079973
29/02/12,114.6,26.677442
31/03/12,173.2,25.412231
30/04/12,117.4,24.366528
31/05/12,66.2,21.594215
30/06/12,197.4,19.961667
31/07/12,null,17.937847
31/08/12,null,null
30/09/12,64.8,25.464444
31/10/12,111.6,26.989113
30/11/12,154.4,26.941389
31/12/12,71.2,28.102016
31/01/13,56.8,27.626075
28/02/13,259.6,26.785119
31/03/13,117.6,26.662356
30/04/13,298.2,23.30125
31/05/13,74.4,22.139651
30/06/13,201.2,20.763194
31/07/13,16.4,19.348264
31/08/13,6.2,19.155511
30/09/13,48.6,23.627083
31/10/13,207.4,24.70457
30/11/13,118.6,26.815
31/12/13,109.2,27.308468
31/01/14,86.6,26.644624
28/02/14,89.2,26.746875
31/03/14,151.6,25.359677
30/04/14,85,24.660833
31/05/14,null,19.785638
30/06/14,71,21.155139
31/07/14,126.6,19.793683
31/08/14,24,22.663266
30/09/14,45.4,26.190163
31/10/14,7.8,28.531013
30/11/14,284,25.750851
31/12/14,137,26.618011
31/01/15,165,27.320979
28/02/15,147.6,26.743388
31/03/15,30.2,26.287114
30/04/15,135.4,25.099656
31/05/15,146,22.067269
30/06/15,57.8,21.410888
31/07/15,98.8,20.614037
31/08/15,11,23.906837
30/09/15,197.8,24.877736
31/10/15,170.4,26.230739
30/11/15,174.4,26.644577
31/12/15,209.4,26.854728
31/01/16,295.8,26.667473
29/02/16,324.2,26.872414
31/03/16,null,26.270347
30/04/16,null,null
31/05/16,null,null
30/06/16,null,null
31/07/16,13.8,20.093683
31/08/16,86.8,21.745968
30/09/16,21,21.831316
31/10/16,73.6,25.674731
30/11/16,64,25.904306
31/12/16,303,26.147598
31/01/17,63.4,26.962664
28/02/17,198.6,27.00625
31/03/17,50.8,26.546909
30/04/17,161.4,23.638345
31/05/17,209.4,23.231177
30/06/17,50.8,20.367053
31/07/17,0.2,19.86159
31/08/17,64,23.180856
30/09/17,11.4,26.237639
31/10/17,202.4,25.676736
30/11/17,169.4,25.654028
31/12/17,null,26.37556
31/01/18,null,26.720573
28/02/18,null,null
31/03/18,null,null
30/04/18,null,25.417214
31/05/18,110.4,22.285916
30/06/18,36,18.995978
31/07/18,0.2,19.859075
31/08/18,55.6,19.61662
30/09/18,232,22.6241
31/10/18,329,26.036676
30/11/18,182.6,25.945725
31/12/18,111.6,27.050368
31/01/19,34.6,28.022715
28/02/19,158,27.221435
31/03/19,154.2,26.17808
30/04/19,66.8,24.93814
31/05/19,null,22.370397
30/06/19,9.6,21.716236
31/07/19,49.4,18.812097
31/08/19,9.4,22.208871
30/09/19,15,26.08375
31/10/19,74.6,27.266129
30/11/19,112.6,28.133611
31/12/19,212.8,26.901613
31/01/20,278.4,27.883602
29/02/20,173.2,27.646408
31/03/20,46.4,27.797177
30/04/20,80.8,24.073611
31/05/20,134.2,20.391398
30/06/20,33.4,21.269444
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,56,26.08742
30/11/21,null,26.969904
31/12/21,null,28.43549
