time,prec,temp
30/06/08,null,null
31/07/08,13.6,21.108468
31/08/08,202.4,21.243414
30/09/08,96.2,20.030833
31/10/08,119.4,24.471371
30/11/08,210.4,24.828472
31/12/08,24.6,26.314785
31/01/09,166.8,24.674088
28/02/09,190.6,25.568642
31/03/09,28,26.055376
30/04/09,0,24.627083
31/05/09,54.6,21.470296
30/06/09,160.4,16.970833
31/07/09,138.8,17.594355
31/08/09,122.4,20.665417
30/09/09,108.2,21.155556
31/10/09,187.6,23.791248
30/11/09,277.8,26.7725
31/12/09,344.4,25.693145
31/01/10,264,25.680218
28/02/10,110.2,26.806696
31/03/10,81,25.919086
30/04/10,61.4,23.327917
31/05/10,201.4,18.303763
30/06/10,10,19.926111
31/07/10,85.8,18.551478
31/08/10,3.8,20.095562
30/09/10,255.8,22.38
31/10/10,167.8,22.00914
30/11/10,91.2,23.464861
31/12/10,141,25.40578
31/01/11,118.6,25.97043
28/02/11,287.4,25.322024
31/03/11,137,24.711642
30/04/11,127.8,22.880833
31/05/11,27.8,19.287769
30/06/11,77.4,17.696806
31/07/11,93.8,19.665726
31/08/11,46.8,20.448118
30/09/11,51.8,21.989167
31/10/11,220,23.794355
30/11/11,175.2,24.314305
31/12/11,84.2,25.898925
31/01/12,238.8,25.982258
29/02/12,181.2,26.110345
31/03/12,128.8,24.458468
30/04/12,157.8,22.894306
31/05/12,51.2,20.342742
30/06/12,273.2,18.807778
31/07/12,19.4,18.247312
31/08/12,19.2,22.489861
30/09/12,100.4,23.603194
31/10/12,139,25.194221
30/11/12,82.8,26.028333
31/12/12,54.4,27.326478
31/01/13,158,26.071505
28/02/13,175.8,25.524554
31/03/13,340.2,24.558908
30/04/13,156,21.868056
31/05/13,124,20.748118
30/06/13,255,19.286932
31/07/13,7.6,18.202554
31/08/13,4.8,18.759274
30/09/13,129.4,22.129028
31/10/13,127,23.377419
30/11/13,103.8,25.753056
31/12/13,105.8,26.92621
31/01/14,207.2,26.145699
28/02/14,169.6,26.145982
31/03/14,134.4,24.486425
30/04/14,123,23.050139
31/05/14,158.2,19.455511
30/06/14,51.8,19.882083
31/07/14,189.6,18.388172
31/08/14,16,21.710215
30/09/14,140.6,24.188889
31/10/14,76.6,26.313038
30/11/14,145.4,24.853611
31/12/14,162.8,25.877823
31/01/15,141.2,26.38695
28/02/15,334,25.559821
31/03/15,null,24.917869
30/04/15,null,23.035555
31/05/15,162.2,20.008602
30/06/15,30.4,19.944444
31/07/15,226.2,18.839247
31/08/15,39.6,23.156308
30/09/15,null,null
31/10/15,null,25.383814
30/11/15,310.6,24.649722
31/12/15,167.4,25.286828
31/01/16,null,26.059274
29/02/16,null,26.005891
31/03/16,null,24.548253
30/04/16,null,25.385972
31/05/16,null,18.302688
30/06/16,19.2,16.315417
31/07/16,21,19.283333
31/08/16,29.2,20.40215
30/09/16,null,null
31/10/16,null,null
30/11/16,null,null
31/12/16,307,25.014247
31/01/17,209.4,26.020027
28/02/17,128.6,26.53125
31/03/17,167.6,25.388978
30/04/17,189.6,22.075972
31/05/17,146,21.805107
30/06/17,106.8,19.012778
31/07/17,3.2,19.012903
31/08/17,87.4,21.96586
30/09/17,14.2,25.622222
31/10/17,209.6,23.821371
30/11/17,142.4,23.902222
31/12/17,330,25.458468
31/01/18,345.4,25.104167
28/02/18,162.4,24.731994
31/03/18,339.4,25.664247
30/04/18,6.8,24.674861
31/05/18,78.6,21.233602
30/06/18,19.8,18.106111
31/07/18,3,19.827151
31/08/18,72.6,18.29543
30/09/18,212.4,21.448889
31/10/18,403,23.904301
30/11/18,181.6,25.086389
31/12/18,147.6,26.471371
31/01/19,138.2,27.484274
28/02/19,131.6,25.983185
31/03/19,202.4,25.12836
30/04/19,141.2,23.814167
31/05/19,82.6,21.833199
30/06/19,61.4,21.116945
31/07/19,19.4,18.16586
31/08/19,3.2,21.156586
30/09/19,34.6,24.589306
31/10/19,53.2,26.565726
30/11/19,143.6,26.947917
31/12/19,null,25.241532
31/01/20,null,26.49086
29/02/20,null,26.190805
31/03/20,null,26.406048
30/04/20,null,22.5825
31/05/20,null,19.196237
30/06/20,null,20.372222
31/07/20,0.8,19.329839
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
