time,prec,temp
30/04/18,null,23.561795
31/05/18,80.4,19.978495
30/06/18,22.6,17.090556
31/07/18,2.6,18.559812
31/08/18,62.6,17.397581
30/09/18,207.6,20.525278
31/10/18,344.4,23.579704
30/11/18,181.4,23.872778
31/12/18,null,24.699572
31/01/19,146.2,25.991398
28/02/19,167.2,25.004464
31/03/19,249.4,24.518548
30/04/19,83.4,22.795694
31/05/19,88.6,20.64543
30/06/19,44.4,19.484722
31/07/19,32.2,16.960559
31/08/19,7.8,19.739247
30/09/19,null,23.792301
31/10/19,null,null
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,26.08493
