time,prec,temp
30/11/06,null,26.906237
31/12/06,176.2,27.295763
31/01/07,262.6,26.736828
28/02/07,156,26.681729
31/03/07,44,26.90548
30/04/07,68,26.101395
31/05/07,77.4,21.158158
30/06/07,0.2,21.105211
31/07/07,32.2,20.550474
31/08/07,5.8,21.393309
30/09/07,12.4,27.768472
31/10/07,96,27.462786
30/11/07,196,26.619396
31/12/07,215.6,26.398118
31/01/08,349.4,26.352285
29/02/08,157.2,26.331466
31/03/08,51.4,26.289785
30/04/08,107,24.355417
31/05/08,128,20.896075
30/06/08,11.8,19.72013
31/07/08,15.6,22.09543
31/08/08,27.6,24.274425
30/09/08,22.8,23.929167
31/10/08,158,26.548451
30/11/08,90.8,27.137778
31/12/08,147.8,27.451882
31/01/09,270.4,26.336559
28/02/09,113,26.682346
31/03/09,116.4,26.908468
30/04/09,0,26.023889
31/05/09,69.2,23.923363
30/06/09,null,20.038333
31/07/09,null,22.115482
31/08/09,137.8,22.3451
30/09/09,43.4,23.899569
31/10/09,221,26.234626
30/11/09,41.2,28.402361
31/12/09,317.8,27.107796
31/01/10,158.8,27.093247
28/02/10,117.4,27.713244
31/03/10,88.6,27.438575
30/04/10,66,24.850556
31/05/10,60.2,20.08959
30/06/10,5.8,21.533841
31/07/10,15.4,21.376122
31/08/10,0,22.141963
30/09/10,55.2,25.555157
31/10/10,99.4,25.028448
30/11/10,245,24.921111
31/12/10,121,27.637097
31/01/11,null,26.376794
28/02/11,null,null
31/03/11,null,null
30/04/11,null,null
31/05/11,null,null
30/06/11,15.4,20.427778
31/07/11,22.2,21.310081
31/08/11,11.4,22.781855
30/09/11,73.4,25.385556
31/10/11,139.6,26.643414
30/11/11,76.6,26.746667
31/12/11,96,27.190726
31/01/12,157,26.813073
29/02/12,69.6,26.850862
31/03/12,199,25.765995
30/04/12,81,25.075694
31/05/12,94.4,22.231048
30/06/12,153.2,20.824167
31/07/12,13.8,19.56707
31/08/12,4.4,23.656806
30/09/12,87.6,26.048889
31/10/12,98.8,27.330511
30/11/12,103,27.684028
31/12/12,228,28.010484
31/01/13,78,27.73293
28/02/13,101.4,26.824405
31/03/13,177.4,26.83592
30/04/13,422.8,24.010833
31/05/13,86.2,22.868011
30/06/13,230.8,21.641604
31/07/13,41.6,20.103226
31/08/13,0.8,19.849194
30/09/13,29,24.486806
31/10/13,100.2,26.093548
30/11/13,98.8,27.587917
31/12/13,62.6,27.759005
31/01/14,52.6,27.212097
28/02/14,127.4,26.875
31/03/14,283.4,25.924866
30/04/14,25.8,25.471945
31/05/14,273.2,21.281183
30/06/14,68,21.620278
31/07/14,117.4,20.256317
31/08/14,46.8,23.054973
30/09/14,98.6,26.656667
31/10/14,12.2,28.087231
30/11/14,168.6,25.914722
31/12/14,108.2,26.965457
31/01/15,13.4,27.909929
28/02/15,10.8,27.009524
31/03/15,null,null
30/04/15,null,null
31/05/15,null,null
30/06/15,null,null
31/07/15,null,null
31/08/15,5.8,24.485349
30/09/15,185.2,25.726805
31/10/15,59.6,26.676344
30/11/15,111.2,27.470694
31/12/15,175.2,27.468817
31/01/16,367.2,26.985349
29/02/16,151.8,27.443391
31/03/16,109.8,26.094489
30/04/16,51.4,25.89125
31/05/16,116,21.293011
30/06/16,null,19.409921
31/07/16,2.2,20.724059
31/08/16,66.8,22.642876
30/09/16,41.4,23.166944
31/10/16,68.8,26.574234
30/11/16,123.8,26.3175
31/12/16,180.4,26.699462
31/01/17,126.2,27.028629
28/02/17,159,27.067857
31/03/17,60,26.897043
30/04/17,236.8,24.354583
31/05/17,null,24.432292
30/06/17,null,20.632895
31/07/17,1.8,20.182392
31/08/17,41.2,23.848522
30/09/17,29.6,27.430972
31/10/17,302.8,26.370161
30/11/17,43.4,26.079445
31/12/17,null,27.122641
31/01/18,null,26.758664
28/02/18,null,null
31/03/18,null,null
30/04/18,null,null
31/05/18,null,null
30/06/18,null,null
31/07/18,null,null
31/08/18,null,null
30/09/18,null,null
31/10/18,null,null
30/11/18,null,null
31/12/18,null,null
31/01/19,null,null
28/02/19,null,null
31/03/19,95,26.669998
30/04/19,130.4,25.571963
31/05/19,110.6,22.995161
30/06/19,null,22.21434
31/07/19,null,19.598077
31/08/19,null,null
30/09/19,null,26.946324
31/10/19,null,null
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
