time,prec,temp
31/08/06,null,24.335879
30/09/06,29.6,24.707041
31/10/06,111.4,26.974328
30/11/06,174,26.738933
31/12/06,209.2,27.092561
31/01/07,282.2,27.428898
28/02/07,208,27.015781
31/03/07,null,27.076521
30/04/07,null,null
31/05/07,null,null
30/06/07,null,null
31/07/07,null,19.278897
31/08/07,0,20.637891
30/09/07,0,26.661528
31/10/07,75.8,27.544057
30/11/07,174.2,26.94842
31/12/07,105.8,26.958468
31/01/08,391.6,26.467339
29/02/08,161.8,27.032615
31/03/08,118.6,26.684409
30/04/08,28,25.086782
31/05/08,94.2,21.712564
30/06/08,24.2,20.18561
31/07/08,0.6,22.044086
31/08/08,4.6,24.4125
30/09/08,40.8,23.560833
31/10/08,87.6,26.934028
30/11/08,110.6,27.492114
31/12/08,121,27.286156
31/01/09,85.8,26.708164
28/02/09,145.2,27.090246
31/03/09,204.4,26.98172
30/04/09,26.4,25.635972
31/05/09,52.4,23.476075
30/06/09,13.4,20.407015
31/07/09,28,21.738056
31/08/09,59.2,22.955914
30/09/09,2.4,25.134028
31/10/09,55.2,27.903305
30/11/09,84,28.729722
31/12/09,211,27.657661
31/01/10,182.2,26.901854
28/02/10,64,27.922024
31/03/10,65.6,27.723925
30/04/10,10.4,25.085139
31/05/10,71.2,20.809543
30/06/10,7.8,22.000417
31/07/10,2,20.37553
31/08/10,0,22.176311
30/09/10,27.8,26.426111
31/10/10,99,26.03078
30/11/10,118.8,25.707778
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,null,null
30/04/11,null,null
31/05/11,null,null
30/06/11,null,null
31/07/11,null,null
31/08/11,null,null
30/09/11,null,null
31/10/11,null,null
30/11/11,44.8,27.486806
31/12/11,64.2,27.557124
31/01/12,211.6,26.877823
29/02/12,115.8,26.819253
31/03/12,101.4,26.324765
30/04/12,87,25.824444
31/05/12,59.2,22.621371
30/06/12,48.2,21.3275
31/07/12,3.2,19.919086
31/08/12,0.2,24.010417
30/09/12,82.6,26.774861
31/10/12,67,28.094355
30/11/12,147,27.573056
31/12/12,83.2,28.277151
31/01/13,138.6,27.931317
28/02/13,54.6,26.989583
31/03/13,134.2,27.069396
30/04/13,73.2,24.513056
31/05/13,29.6,22.916668
30/06/13,null,22.865625
31/07/13,null,18.540281
31/08/13,0,20.62836
30/09/13,35,25.296902
31/10/13,19,27.175538
30/11/13,null,27.655769
31/12/13,132.2,27.761425
31/01/14,99,26.826478
28/02/14,72.6,26.297321
31/03/14,136.6,26.631944
30/04/14,null,null
31/05/14,null,null
30/06/14,null,null
31/07/14,null,null
31/08/14,null,null
30/09/14,null,null
31/10/14,null,null
30/11/14,null,25.949846
31/12/14,87.6,27.320833
31/01/15,67.4,27.754149
28/02/15,224.8,27.006101
31/03/15,127.2,26.390188
30/04/15,68,26.182083
31/05/15,43.8,23.936156
30/06/15,0.2,22.594722
31/07/15,null,21.902419
31/08/15,null,null
30/09/15,null,null
31/10/15,null,27.564493
30/11/15,null,null
31/12/15,null,null
31/01/16,null,null
29/02/16,null,27.759201
31/03/16,76,26.668817
30/04/16,37.6,26.130556
31/05/16,27.4,22.039919
30/06/16,37,18.98875
31/07/16,0.2,21.057258
31/08/16,85.6,22.967339
30/09/16,26.8,23.165972
31/10/16,53,26.771201
30/11/16,139.4,26.28875
31/12/16,218.6,27.309946
31/01/17,281.6,27.529301
28/02/17,119.8,27.352083
31/03/17,104.8,27.124866
30/04/17,105.4,25.084583
31/05/17,92.4,24.488978
30/06/17,38.6,21.265139
31/07/17,0.6,20.295699
31/08/17,81.4,24.053091
30/09/17,6.6,26.049444
31/10/17,223,26.701613
30/11/17,124.4,26.873333
31/12/17,336.4,27.156989
31/01/18,237.4,27.194624
28/02/18,282.8,26.972619
31/03/18,null,28.359783
30/04/18,null,null
31/05/18,null,null
30/06/18,null,null
31/07/18,3.4,20.529028
31/08/18,24.4,20.75457
30/09/18,87.4,24.549445
31/10/18,51.4,27.644355
30/11/18,245.2,26.917385
31/12/18,51.2,27.619489
31/01/19,78.2,28.135887
28/02/19,null,26.836823
31/03/19,null,27.021635
30/04/19,null,25.718182
31/05/19,61.8,23.637231
30/06/19,20.2,22.540739
31/07/19,null,20.432478
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,113.6,27.569136
31/01/20,null,28.869079
29/02/20,null,27.754979
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
