time,prec,temp
28/02/18,null,null
31/03/18,null,null
30/04/18,null,null
31/05/18,38.2,21.216667
30/06/18,35.8,19.221667
31/07/18,2,21.261962
31/08/18,92,20.312634
30/09/18,137.2,23.229305
31/10/18,178.4,26.017876
30/11/18,295.2,26.159167
31/12/18,106.2,27.072446
31/01/19,76.2,27.356048
28/02/19,144.8,26.334226
31/03/19,null,25.45408
30/04/19,null,null
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,141.6,27.452639
31/12/19,313.8,26.04879
31/01/20,167.6,27.153763
29/02/20,177.2,26.072988
31/03/20,70,26.566152
30/04/20,68.2,22.886806
31/05/20,69,19.685215
30/06/20,49,21.075
31/07/20,1.8,20.296774
31/08/20,222,21.933065
30/09/20,26.4,26.303801
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,31.2,26.836806
31/10/21,335.6,24.559409
30/11/21,110.4,26.235555
31/12/21,55.4,27.045027
