time,prec,temp
30/04/18,null,25.148958
31/05/18,40,21.954973
30/06/18,31.4,19.825417
31/07/18,0,21.606855
31/08/18,118.8,19.120564
30/09/18,170.4,22.383333
31/10/18,335,24.40121
30/11/18,129,24.881111
31/12/18,198.2,26.276344
31/01/19,255.4,26.816263
28/02/19,null,25.814474
31/03/19,null,null
30/04/19,null,null
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,24.157253
30/09/21,8,26.831944
31/10/21,null,23.78965
30/11/21,null,26.341111
31/12/21,null,27.234274
