time,prec,temp
30/11/06,null,27.318954
31/12/06,399.8,25.780829
31/01/07,560.8,25.250269
28/02/07,98.2,26.029167
31/03/07,136.4,26.118145
30/04/07,86.2,25.577011
31/05/07,102.4,21.688176
30/06/07,4.4,20.822247
31/07/07,43.2,20.157605
31/08/07,0,22.544822
30/09/07,23.2,26.753333
31/10/07,76.8,27.563055
30/11/07,79.6,25.785632
31/12/07,null,null
31/01/08,null,null
29/02/08,null,null
31/03/08,null,null
30/04/08,null,null
31/05/08,null,null
30/06/08,null,21.093087
31/07/08,null,null
31/08/08,null,null
30/09/08,null,null
31/10/08,87,26.35121
30/11/08,142.4,25.898816
31/12/08,182,26.274392
31/01/09,308.6,24.968151
28/02/09,180,25.750505
31/03/09,166.6,25.64543
30/04/09,13.2,24.168611
31/05/09,35.4,22.255376
30/06/09,37,19.433056
31/07/09,11.8,21.423387
31/08/09,12.2,22.691528
30/09/09,24.4,24.626208
31/10/09,34.4,25.116142
30/11/09,117.8,26.683333
31/12/09,315.6,25.168145
31/01/10,344.2,25.26206
28/02/10,null,26.399256
31/03/10,null,null
30/04/10,null,null
31/05/10,null,null
30/06/10,null,21.890625
31/07/10,0.4,22.313978
31/08/10,null,21.014845
30/09/10,null,null
31/10/10,null,25.174242
30/11/10,62,25.444444
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,null,null
30/04/11,null,null
31/05/11,null,20.80699
30/06/11,null,19.313695
31/07/11,null,22.114831
31/08/11,16,23.363307
30/09/11,null,25.254861
31/10/11,null,null
30/11/11,null,null
31/12/11,null,null
31/01/12,null,null
29/02/12,null,null
31/03/12,null,null
30/04/12,null,null
31/05/12,null,null
30/06/12,null,null
31/07/12,null,null
31/08/12,null,null
30/09/12,null,27.313826
31/10/12,null,null
30/11/12,null,null
31/12/12,235.8,27.371102
31/01/13,190,25.957393
28/02/13,252.8,25.705804
31/03/13,218.8,25.711638
30/04/13,94.2,23.35625
31/05/13,20.6,22.511021
30/06/13,79.2,22.526667
31/07/13,24.4,19.82337
31/08/13,0,21.426613
30/09/13,15.4,24.759583
31/10/13,122.8,25.75121
30/11/13,52.4,26.541944
31/12/13,114.4,27.163172
31/01/14,101,26.475
28/02/14,171.8,26.832292
31/03/14,181.8,25.605242
30/04/14,87.2,25.490278
31/05/14,16.6,21.627419
30/06/14,8,21.765139
31/07/14,102.4,21.154839
31/08/14,0,23.418548
30/09/14,null,25.939862
31/10/14,null,null
30/11/14,176.8,25.346839
31/12/14,185,26.04664
31/01/15,96,27.842835
28/02/15,193.2,26.295685
31/03/15,153.2,25.108333
30/04/15,53.8,25.278194
31/05/15,124.6,22.348118
30/06/15,34.4,21.259861
31/07/15,37.8,21.833871
31/08/15,12.6,23.239785
30/09/15,57.4,25.77375
31/10/15,83.8,27.368952
30/11/15,215,26.521111
31/12/15,null,26.431728
31/01/16,null,null
29/02/16,null,27.334039
31/03/16,null,null
30/04/16,57,25.937054
31/05/16,155.8,21.485997
30/06/16,null,19.294765
31/07/16,2.2,20.990457
31/08/16,41.2,22.529435
30/09/16,51.2,23.256389
31/10/16,42.8,25.676204
30/11/16,118.2,25.81375
31/12/16,130.4,26.289152
31/01/17,null,null
28/02/17,null,null
31/03/17,null,26.007917
30/04/17,32.4,24.475833
31/05/17,34,23.941263
30/06/17,0.4,21.157917
31/07/17,0,20.016801
31/08/17,20,22.919758
30/09/17,2.4,26.874444
31/10/17,100.2,26.910618
30/11/17,176,25.709861
31/12/17,246.4,25.872126
31/01/18,null,26.411775
28/02/18,null,25.897331
31/03/18,45.8,27.407065
30/04/18,44.2,24.877808
31/05/18,5.8,22.638172
30/06/18,0,22.514583
31/07/18,0,22.187634
31/08/18,10,22.5
30/09/18,88.8,25.081389
31/10/18,139.4,26.544758
30/11/18,null,25.578965
31/12/18,93.6,27.139919
31/01/19,44.4,27.905029
28/02/19,null,null
31/03/19,null,26.44575
30/04/19,null,25.661368
31/05/19,null,22.1721
30/06/19,3,22.082361
31/07/19,4.8,21.224328
31/08/19,53,23.336425
30/09/19,72.2,27.262778
31/10/19,48.2,27.994355
30/11/19,168.6,27.133472
31/12/19,null,27.213511
31/01/20,null,26.744011
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,23.575
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,27.270958
31/12/21,null,null
