time,prec,temp
28/02/18,null,null
31/03/18,142.2,26.280376
30/04/18,153.6,24.958889
31/05/18,60.6,22.183333
30/06/18,0.2,20.900972
31/07/18,0,20.916532
31/08/18,1.6,22.032019
30/09/18,null,null
31/10/18,null,null
30/11/18,null,26.447685
31/12/18,null,null
31/01/19,null,null
28/02/19,null,null
31/03/19,null,null
30/04/19,null,null
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
