time,prec,temp
31/10/06,null,null
30/11/06,159.2,26.494559
31/12/06,101.2,28.314884
31/01/07,210.8,28.365457
28/02/07,236.8,27.701514
31/03/07,15,27.987634
30/04/07,63.8,26.392301
31/05/07,71.4,20.177301
30/06/07,0.4,21.613696
31/07/07,16.4,19.210881
31/08/07,33.2,20.195843
30/09/07,0,26.845139
31/10/07,102,27.934718
30/11/07,176.8,26.764655
31/12/07,108.4,27.391129
31/01/08,225.4,27.39879
29/02/08,231,27.064655
31/03/08,154.2,26.801344
30/04/08,67.4,24.232361
31/05/08,66,20.982603
30/06/08,27.2,18.273943
31/07/08,24.8,23.257527
31/08/08,51.6,23.358871
30/09/08,40.4,23.176667
31/10/08,100.6,26.879704
30/11/08,157.4,27.022524
31/12/08,70.2,28.119355
31/01/09,78.2,27.351981
28/02/09,126.2,27.563163
31/03/09,50.2,28.150134
30/04/09,1.6,27.1
31/05/09,61.8,23.808871
30/06/09,22.2,19.149445
31/07/09,98.4,19.861351
31/08/09,21.6,22.161156
30/09/09,15.6,24.246296
31/10/09,43.2,27.091236
30/11/09,67.2,31.028611
31/12/09,166,28.428226
31/01/10,216.2,28.103299
28/02/10,162.2,28.631845
31/03/10,76.4,28.218952
30/04/10,29,24.8875
31/05/10,160.2,19.533602
30/06/10,4.2,21.503333
31/07/10,null,21.13766
31/08/10,0.4,22.186309
30/09/10,31.8,25.315081
31/10/10,61.8,26.084434
30/11/10,161.4,25.367856
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,152.6,26.607915
30/04/11,126.4,25.256389
31/05/11,19.6,21.363441
30/06/11,8.8,20.439444
31/07/11,28.2,21.001747
31/08/11,27.2,22.820565
30/09/11,89.8,24.83
31/10/11,100,26.771909
30/11/11,59.2,27.619028
31/12/11,67,28.708333
31/01/12,160.8,28.710215
29/02/12,213.4,27.961494
31/03/12,106.2,26.24664
30/04/12,199.6,24.795
31/05/12,120.4,22.305029
30/06/12,null,20.888782
31/07/12,null,18.81968
31/08/12,2,24.896661
30/09/12,29,26.815374
31/10/12,57,28.976042
30/11/12,151.8,27.742361
31/12/12,98.6,29.325269
31/01/13,58.2,29.00914
28/02/13,170.4,28.553125
31/03/13,139,27.022988
30/04/13,null,25.273106
31/05/13,null,23.497977
30/06/13,null,null
31/07/13,null,20.680929
31/08/13,0,20.796807
30/09/13,9.2,24.728858
31/10/13,null,25.797745
30/11/13,null,27.674653
31/12/13,null,null
31/01/14,null,null
28/02/14,null,26.7125
31/03/14,218.4,26.078898
30/04/14,43.8,25.574306
31/05/14,299.4,21.181183
30/06/14,172,20.938472
31/07/14,97.2,20.349328
31/08/14,32.2,23.1375
30/09/14,56.8,27.24875
31/10/14,27.4,29.72836
30/11/14,210.4,27.247083
31/12/14,47.4,28.131048
31/01/15,147.6,29.108392
28/02/15,102.4,28.410119
31/03/15,35.8,26.902285
30/04/15,249.6,26.054306
31/05/15,158.2,22.933065
30/06/15,null,null
31/07/15,null,null
31/08/15,28,25.269624
30/09/15,94.4,26.125139
31/10/15,90.2,26.648253
30/11/15,228.6,27.751389
31/12/15,null,28.388889
31/01/16,null,null
29/02/16,null,28.700641
31/03/16,25.4,25.984812
30/04/16,null,26.160278
31/05/16,null,19.584409
30/06/16,null,16.722882
31/07/16,3.4,20.339785
31/08/16,null,22.44349
30/09/16,0.8,22.677748
31/10/16,null,27.256317
30/11/16,null,26.487917
31/12/16,null,27.767204
31/01/17,null,29.552285
28/02/17,null,28.31756
31/03/17,null,27.537769
30/04/17,null,24.326806
31/05/17,null,22.766263
30/06/17,null,20.728611
31/07/17,1,21.943006
31/08/17,null,24.291667
30/09/17,null,26.275694
31/10/17,null,27.450672
30/11/17,89.2,26.358611
31/12/17,null,27.643817
31/01/18,null,27.792876
28/02/18,null,26.832738
31/03/18,null,26.601613
30/04/18,null,26.167083
31/05/18,150.4,22.918011
30/06/18,101.4,18.442325
31/07/18,2.4,19.824444
31/08/18,23.2,19.607301
30/09/18,103.6,24.181945
31/10/18,199.2,26.603395
30/11/18,264.2,27.077361
31/12/18,105.6,28.094355
31/01/19,26.6,30.091398
28/02/19,null,28.952257
31/03/19,null,26.632773
30/04/19,98.6,25.42056
31/05/19,125.8,22.732797
30/06/19,21.6,21.855556
31/07/19,35.2,19.465863
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,null
31/12/19,null,27.267935
31/01/20,null,28.591187
29/02/20,null,28.370313
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
