time,prec,temp
31/01/18,null,null
28/02/18,null,null
31/03/18,156.6,26.150941
30/04/18,22,24.245556
31/05/18,25.6,21.839651
30/06/18,null,null
31/07/18,null,21.408135
31/08/18,80.2,20.411559
30/09/18,128,22.9625
31/10/18,134.6,25.768011
30/11/18,173.2,25.144861
31/12/18,126.2,26.631855
31/01/19,206.2,26.723521
28/02/19,163.4,26.131845
31/03/19,null,25.415554
30/04/19,null,null
31/05/19,null,null
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,26.1625
31/12/19,267.8,25.515188
31/01/20,186,26.790323
29/02/20,117,26.119109
31/03/20,45.8,26.230213
30/04/20,60.8,23.759167
31/05/20,71.2,19.608333
30/06/20,35.6,21.603194
31/07/20,0,20.863575
31/08/20,12,22.295161
30/09/20,36.4,27.617222
31/10/20,105.2,27.251478
30/11/20,201.8,26.174305
31/12/20,125.2,26.495161
31/01/21,230.8,25.353091
28/02/21,135.4,25.504315
31/03/21,60.2,26.101882
30/04/21,28.8,24.47381
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,25.077083
30/09/21,17.8,27.317778
31/10/21,272.2,25.227419
30/11/21,114.2,26.607778
31/12/21,160.4,26.464785
