time,prec,temp
30/06/08,null,null
31/07/08,8.8,20.904032
31/08/08,53.4,22.098118
30/09/08,96.8,21.108889
31/10/08,110.2,24.983871
30/11/08,155,25.262361
31/12/08,112.6,26.17621
31/01/09,367.6,24.601216
28/02/09,250.4,25.388393
31/03/09,121.4,25.757527
30/04/09,8.8,24.041806
31/05/09,70.8,21.370296
30/06/09,66.6,17.544583
31/07/09,111.2,18.567608
31/08/09,202.2,20.34422
30/09/09,79.4,22.002917
31/10/09,167.8,24.363362
30/11/09,200.6,26.859861
31/12/09,224.8,25.651344
31/01/10,250.6,25.703056
28/02/10,188.4,26.322619
31/03/10,176.4,26.010618
30/04/10,58,23.046806
31/05/10,112,18.238827
30/06/10,7.2,19.382083
31/07/10,33.2,18.799194
31/08/10,0,19.941801
30/09/10,29.4,23.279861
31/10/10,114.6,22.696348
30/11/10,101.6,23.628472
31/12/10,180.2,25.436828
31/01/11,193.4,25.442608
28/02/11,297.2,25.574851
31/03/11,110.2,24.960097
30/04/11,154,23.256806
31/05/11,21.8,19.337266
30/06/11,61.2,17.775833
31/07/11,88.8,19.809005
31/08/11,28.4,21.170296
30/09/11,72.2,22.684167
31/10/11,257,24.599768
30/11/11,79.6,24.886806
31/12/11,115.4,25.727688
31/01/12,114.2,25.753693
29/02/12,116.2,26.04296
31/03/12,139.8,24.675318
30/04/12,120,23.228611
31/05/12,113.2,20.233029
30/06/12,185.6,19.188345
31/07/12,25,18.280517
31/08/12,3.4,22.527832
30/09/12,56.2,23.882271
31/10/12,90.4,26.123247
30/11/12,245.4,26.078593
31/12/12,172.4,26.739171
31/01/13,90.6,25.710963
28/02/13,61.4,25.765379
31/03/13,131.6,25.162775
30/04/13,173.6,21.915
31/05/13,39,21.088441
30/06/13,218.4,19.833128
31/07/13,25.6,18.337804
31/08/13,0.8,19.045699
30/09/13,85.4,22.825972
31/10/13,118.8,24.014444
30/11/13,72.8,25.954306
31/12/13,85.4,26.822177
31/01/14,210.8,25.875941
28/02/14,166.4,26.241964
31/03/14,222.2,24.534409
30/04/14,83.8,23.249583
31/05/14,194.6,19.497312
30/06/14,45.6,20.06125
31/07/14,137.4,18.568414
31/08/14,10.8,21.756317
30/09/14,225,24.435
31/10/14,21.2,26.722043
30/11/14,173,24.861528
31/12/14,243,25.718011
31/01/15,172.2,25.800134
28/02/15,148.6,25.869196
31/03/15,267.2,25.036828
30/04/15,104.4,23.510833
31/05/15,135.4,20.388979
30/06/15,58,20.07875
31/07/15,151,19.54543
31/08/15,3.6,22.800134
30/09/15,180.6,24.090556
31/10/15,194.2,25.293145
30/11/15,296.6,25.2325
31/12/15,194.8,25.641964
31/01/16,null,null
29/02/16,null,26.366346
31/03/16,243.4,24.886828
30/04/16,74.4,24.890556
31/05/16,201.6,19.267742
30/06/16,48.2,17.095042
31/07/16,18,19.356989
31/08/16,113.6,20.654839
30/09/16,12.4,20.833472
31/10/16,142.8,24.055511
30/11/16,85.8,24.935
31/12/16,168,24.966667
31/01/17,181.6,25.50914
28/02/17,171,26.081696
31/03/17,256.8,25.413172
30/04/17,138.4,21.937222
31/05/17,234.2,22.468548
30/06/17,83,19.229028
31/07/17,0,18.923118
31/08/17,12.6,22.173925
30/09/17,1.8,25.997639
31/10/17,null,24.302554
30/11/17,62.8,24.272778
31/12/17,209.4,25.356183
31/01/18,null,24.852823
28/02/18,10.8,24.651236
31/03/18,188,26.126747
30/04/18,9,24.076945
31/05/18,51.2,20.956317
30/06/18,47.6,18.710278
31/07/18,0,19.674059
31/08/18,88,18.659409
30/09/18,168.4,21.653333
31/10/18,216,24.936559
30/11/18,171.2,25.088333
31/12/18,167.8,25.877823
31/01/19,118.6,26.652285
28/02/19,133.2,26.018304
31/03/19,113.6,25.108199
30/04/19,47,24.109861
31/05/19,67.4,21.922984
30/06/19,19,21.127917
31/07/19,67.2,18.359274
31/08/19,2,21.540323
30/09/19,28.6,25.113333
31/10/19,67.2,26.474731
30/11/19,95.2,26.995417
31/12/19,249,25.304704
31/01/20,89.8,26.454032
29/02/20,53,26.030316
31/03/20,49.4,26.186495
30/04/20,48,22.17625
31/05/20,37.8,18.839919
30/06/20,3.8,20.449861
31/07/20,0.2,19.454704
31/08/20,54.8,20.989247
30/09/20,22.8,25.090139
31/10/20,33.6,25.914989
30/11/20,16.4,25.170755
31/12/20,47.4,26.027419
31/01/21,18.6,25.079517
28/02/21,4,24.84881
31/03/21,19.6,25.768817
30/04/21,2.4,23.394444
31/05/21,8.4,21.179301
30/06/21,6,18.366987
31/07/21,3,17.044758
31/08/21,null,21.350926
30/09/21,28.8,26.047264
31/10/21,248.4,24.40831
30/11/21,129.4,26.035
31/12/21,42.4,26.501747
