time,prec,temp
28/02/18,null,null
31/03/18,null,null
30/04/18,null,null
31/05/18,43.2,21.24879
30/06/18,10.2,19.957263
31/07/18,0,20.682661
31/08/18,48.8,19.4625
30/09/18,87,22.629444
31/10/18,256.4,25.084409
30/11/18,80.6,25.035278
31/12/18,140.2,26.329301
31/01/19,87.6,27.061828
28/02/19,183.2,26.24628
31/03/19,142,24.863979
30/04/19,29.8,24.473876
31/05/19,null,22.30979
30/06/19,null,null
31/07/19,null,null
31/08/19,null,null
30/09/19,null,null
31/10/19,null,null
30/11/19,null,25.899275
31/12/19,267.4,25.303495
31/01/20,119,26.650538
29/02/20,102,25.764799
31/03/20,13.2,25.598603
30/04/20,61.4,22.994167
31/05/20,76.8,19.228226
30/06/20,60.4,21.405417
31/07/20,2,20.440188
31/08/20,70.6,21.431586
30/09/20,14.2,26.697083
31/10/20,96,26.767876
30/11/20,68.4,25.945833
31/12/20,218.8,25.981586
31/01/21,245.6,25.378495
28/02/21,242.4,25.014435
31/03/21,53.6,25.771102
30/04/21,14.2,23.169444
31/05/21,4.8,21.611559
30/06/21,73.2,19.713472
31/07/21,2,17.694355
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,114.2,25.950556
31/12/21,115.6,25.781989
