time,prec,temp
30/06/08,null,14.138816
31/07/08,26.8,20.306317
31/08/08,204.4,20.102688
30/09/08,77.8,18.913195
31/10/08,171.6,23.189516
30/11/08,203,24.185417
31/12/08,72.6,25.88293
31/01/09,203,24.458766
28/02/09,131.2,25.49321
31/03/09,44,25.706048
30/04/09,22,23.885972
31/05/09,264.4,20.633611
30/06/09,59.8,15.57663
31/07/09,107.6,16.057654
31/08/09,78.4,19.84023
30/09/09,135.2,20.265432
31/10/09,192.6,22.781466
30/11/09,173.2,26.010139
31/12/09,231.6,25.03078
31/01/10,225.4,25.528472
28/02/10,160.4,25.941815
31/03/10,127,24.806989
30/04/10,87.4,22.323889
31/05/10,124.8,17.383602
30/06/10,41.8,18.725278
31/07/10,null,17.952438
31/08/10,null,19.435803
30/09/10,null,null
31/10/10,null,null
30/11/10,null,null
31/12/10,null,null
31/01/11,null,26.107243
28/02/11,null,25.114595
31/03/11,null,24.678848
30/04/11,null,null
31/05/11,18.4,18.760349
30/06/11,73.6,17.05375
31/07/11,171.4,18.061156
31/08/11,105.6,18.794758
30/09/11,55.2,21.204167
31/10/11,283,23.573925
30/11/11,169.4,25.061806
31/12/11,45,26.614113
31/01/12,89.8,26.956989
29/02/12,69.8,27.127874
31/03/12,76.2,25.096909
30/04/12,401.6,22.307917
31/05/12,74.2,19.884946
30/06/12,167.4,17.885972
31/07/12,48.2,17.74422
31/08/12,7.2,21.363472
30/09/12,28.6,22.736806
31/10/12,252.6,24.109005
30/11/12,137.4,25.090972
31/12/12,153,26.153763
31/01/13,112.8,25.405511
28/02/13,76.4,25.048066
31/03/13,202.4,23.63319
30/04/13,164.2,21.305139
31/05/13,107.4,19.231399
30/06/13,null,19.281151
31/07/13,8.2,18.141072
31/08/13,10.6,17.076356
30/09/13,107.2,20.83497
31/10/13,167.8,22.422715
30/11/13,130,24.673889
31/12/13,156.6,25.826747
31/01/14,97.6,25.88619
28/02/14,57,26.330804
31/03/14,147.2,23.618889
30/04/14,149.4,21.948512
31/05/14,null,19.466186
30/06/14,null,18.862159
31/07/14,null,17.900847
31/08/14,21,20.652688
30/09/14,null,22.73695
31/10/14,63.4,25.493548
30/11/14,135.6,23.976786
31/12/14,162,24.802151
31/01/15,159.8,25.797516
28/02/15,208.8,24.842857
31/03/15,131.2,24.077419
30/04/15,230.2,22.406528
31/05/15,317,19.120968
30/06/15,null,null
31/07/15,null,null
31/08/15,42,22.098387
30/09/15,157,22.667917
31/10/15,133,24.06828
30/11/15,456.6,23.344444
31/12/15,364,24.617742
31/01/16,200.2,25.98078
29/02/16,268.8,25.455029
31/03/16,131.4,23.264382
30/04/16,108.8,24.162222
31/05/16,312,17.070564
30/06/16,76,14.979028
31/07/16,38.8,18.012769
31/08/16,272.4,19.231989
30/09/16,51,19.907917
31/10/16,274,22.671786
30/11/16,105.6,23.702639
31/12/16,165.8,24.413575
31/01/17,117,25.697984
28/02/17,208.2,25.653572
31/03/17,179,24.625941
30/04/17,246.2,20.950556
31/05/17,217,20.236021
30/06/17,null,17.837862
31/07/17,0.6,18.258602
31/08/17,128.4,20.485349
30/09/17,null,24.618254
31/10/17,null,null
30/11/17,298.8,22.624074
31/12/17,323.6,24.887634
31/01/18,279.2,24.427688
28/02/18,null,24.843889
31/03/18,null,null
30/04/18,null,23.953125
31/05/18,89.4,20.28078
30/06/18,75.4,16.302778
31/07/18,4.2,17.984005
31/08/18,99.2,16.71828
30/09/18,243.2,20.413333
31/10/18,341.6,22.293683
30/11/18,151.2,24.126806
31/12/18,99.6,25.045565
31/01/19,103.2,26.413844
28/02/19,143,24.959226
31/03/19,156.4,24.060484
30/04/19,113.6,22.616667
31/05/19,376.2,20.381989
30/06/19,10.8,19.455833
31/07/19,0,16.653763
31/08/19,null,19.458602
30/09/19,0,22.843333
31/10/19,null,25.615726
30/11/19,null,25.933889
31/12/19,null,24.133333
31/01/20,null,25.178898
29/02/20,null,25.307902
31/03/20,null,25.889382
30/04/20,null,21.808611
31/05/20,null,18.402688
30/06/20,null,19.732302
31/07/20,null,18.820106
31/08/20,null,20.864697
30/09/20,null,24.042424
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
