time,prec,temp
30/09/08,null,null
31/10/08,95.6,24.969444
30/11/08,147.4,25.158158
31/12/08,118.6,25.850806
31/01/09,211,24.648936
28/02/09,92.4,25.277841
31/03/09,225,25.361828
30/04/09,3.2,24.916944
31/05/09,62.6,21.986694
30/06/09,78.8,18.651806
31/07/09,90,19.424328
31/08/09,134,21.243414
30/09/09,121.4,22.412083
31/10/09,142.4,24.521264
30/11/09,94.8,26.491667
31/12/09,169.4,25.332796
31/01/10,297.4,25.28695
28/02/10,122.2,26.083482
31/03/10,178,25.933065
30/04/10,103.2,23.403194
31/05/10,46.6,18.848925
30/06/10,10.8,20.785972
31/07/10,13.4,19.863979
31/08/10,7.8,22.16279
30/09/10,59.4,24.266528
31/10/10,47.6,23.19086
30/11/10,0,23.852083
31/12/10,0,25.703091
31/01/11,null,24.957393
28/02/11,null,24.917857
31/03/11,null,24.33174
30/04/11,null,23.568889
31/05/11,null,20.307796
30/06/11,null,19.276389
31/07/11,0,21.040188
31/08/11,null,22.248521
30/09/11,null,23.679028
31/10/11,67.4,24.800134
30/11/11,183.4,24.965694
31/12/11,111.8,25.724597
31/01/12,133.2,25.354704
29/02/12,153.8,25.572557
31/03/12,80.8,24.499328
30/04/12,119.2,23.53125
31/05/12,99.6,20.596102
30/06/12,235.6,19.725972
31/07/12,26.8,19.573522
31/08/12,4,23.809306
30/09/12,96.6,25.068056
31/10/12,130.8,26.256452
30/11/12,184.2,25.879028
31/12/12,69.8,26.772581
31/01/13,165.6,25.40457
28/02/13,83,25.39003
31/03/13,234.2,25.297557
30/04/13,237.8,22.364444
31/05/13,38,22.104704
30/06/13,216.8,20.531389
31/07/13,48.4,19.544892
31/08/13,0,20.12621
30/09/13,79.6,23.444722
31/10/13,252.2,24.086559
30/11/13,158.6,25.764028
31/12/13,130.6,26.071102
31/01/14,191,24.977957
28/02/14,120.4,25.613244
31/03/14,179.2,24.332124
30/04/14,69.6,23.604861
31/05/14,238.2,20.086156
30/06/14,81,20.500972
31/07/14,null,19.660081
31/08/14,null,22.879301
30/09/14,164.4,25.470278
31/10/14,50,26.908737
30/11/14,139,24.472083
31/12/14,48,25.143011
31/01/15,57.2,25.940095
28/02/15,null,25.349851
31/03/15,null,25.164919
30/04/15,null,23.840139
31/05/15,null,21.010081
30/06/15,null,21.108333
31/07/15,null,20.443011
31/08/15,null,24.777016
30/09/15,55.2,25.168611
31/10/15,null,25.509812
30/11/15,null,25.751667
31/12/15,0,25.610618
31/01/16,null,24.9875
29/02/16,null,25.734914
31/03/16,179.8,24.886021
30/04/16,20,25.1675
31/05/16,111.8,19.783736
30/06/16,46.6,18.587351
31/07/16,18,20.698522
31/08/16,56,21.811962
30/09/16,42.4,21.722778
31/10/16,18.4,24.519653
30/11/16,48.4,25.065833
31/12/16,165.8,24.883871
31/01/17,267.4,25.253764
28/02/17,77.2,25.548065
31/03/17,64,25.024597
30/04/17,132.2,22.224722
31/05/17,null,null
30/06/17,null,null
31/07/17,null,null
31/08/17,null,null
30/09/17,null,null
31/10/17,79.8,24.853898
30/11/17,230.6,24.692361
31/12/17,231.6,24.970968
31/01/18,33.4,24.577285
28/02/18,104.6,24.510863
31/03/18,null,25.729704
30/04/18,11.4,24.512917
31/05/18,11.8,21.71713
30/06/18,1,19.463597
31/07/18,0,21.002823
31/08/18,17.2,19.731048
30/09/18,32.2,22.402361
31/10/18,67.6,25.291532
30/11/18,70,24.978889
31/12/18,61.4,26.071505
31/01/19,47.2,26.531183
28/02/19,64.8,25.94375
31/03/19,214,25.108333
30/04/19,18.8,24.310556
31/05/19,null,22.105833
30/06/19,31,22.236638
31/07/19,60.8,19.497177
31/08/19,0,22.412366
30/09/19,31.4,25.661063
31/10/19,null,26.374059
30/11/19,51.8,26.7825
31/12/19,118,25.040995
31/01/20,null,26.162634
29/02/20,null,25.687069
31/03/20,97.6,26.623118
30/04/20,74.4,23.195694
31/05/20,149.4,19.974731
30/06/20,58.2,21.2375
31/07/20,2.4,20.655645
31/08/20,13.8,22.432527
30/09/20,10.4,26.385833
31/10/20,7.6,26.406452
30/11/20,8.4,25.715278
31/12/20,null,26.284543
31/01/21,null,24.67914
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,24.60093
30/11/21,null,null
31/12/21,null,null
