time,prec,temp
30/11/12,null,null
31/12/12,130.6,25.764469
31/01/13,215.8,25.081609
28/02/13,265.4,24.286756
31/03/13,183.2,25.203879
30/04/13,45.6,23.845694
31/05/13,24.4,23.261694
30/06/13,73,22.982879
31/07/13,25.4,21.745699
31/08/13,0,22.32164
30/09/13,52.2,25.315
31/10/13,119.4,25.427016
30/11/13,175.8,25.240694
31/12/13,182.2,24.692339
31/01/14,190.8,24.186022
28/02/14,269,23.987202
31/03/14,283,24.683065
30/04/14,88.4,24.756111
31/05/14,72.2,22.325806
30/06/14,18.6,22.515972
31/07/14,140,21.92621
31/08/14,0.2,24.780914
30/09/14,46.8,26.577361
31/10/14,82,27.113038
30/11/14,218,24.705833
31/12/14,354.4,24.46129
31/01/15,184.8,25.291129
28/02/15,178.4,24.607292
31/03/15,233.4,24.588038
30/04/15,197,24.699722
31/05/15,101.4,23.186559
30/06/15,14.6,22.8475
31/07/15,9,22.942876
31/08/15,19,26.020296
30/09/15,null,null
31/10/15,127.8,26.811425
30/11/15,141.6,26.137917
31/12/15,108.8,25.928629
31/01/16,259.8,25.029167
29/02/16,null,25.662213
31/03/16,77.6,25.390323
30/04/16,58,25.27
31/05/16,1.2,23.195565
30/06/16,0,21.311111
31/07/16,0,23.042876
31/08/16,0.2,24.018145
30/09/16,null,24.388056
31/10/16,null,25.547984
30/11/16,null,24.791667
31/12/16,null,25.070161
31/01/17,null,24.852554
28/02/17,null,24.596131
31/03/17,null,25.052688
30/04/17,null,24.327083
31/05/17,55.6,24.334005
30/06/17,2.8,22.064306
31/07/17,1,21.700481
31/08/17,null,26.156205
30/09/17,24.4,27.30977
31/10/17,null,null
30/11/17,186.6,25.618056
31/12/17,null,24.747396
31/01/18,207,24.64207
28/02/18,318.4,24.416071
31/03/18,250.6,25.078226
30/04/18,209.2,24.812778
31/05/18,69.8,23.175
30/06/18,3.4,21.459861
31/07/18,1.4,22.459274
31/08/18,18.2,23.123253
30/09/18,94,25.584167
31/10/18,null,null
30/11/18,null,null
31/12/18,214.4,25.595161
31/01/19,140.2,25.38871
28/02/19,316,25.213095
31/03/19,148.6,25.210618
30/04/19,null,24.546389
31/05/19,null,23.025538
30/06/19,0.4,23.220377
31/07/19,0,21.713844
31/08/19,0,24.201344
30/09/19,11.8,28.047917
31/10/19,45.8,26.777688
30/11/19,142.6,25.59625
31/12/19,143.2,25.427419
31/01/20,null,26.030107
29/02/20,null,25.220833
31/03/20,null,25.925538
30/04/20,null,24.905694
31/05/20,null,21.422581
30/06/20,null,23.055556
31/07/20,0,23.235753
31/08/20,0,25.267473
30/09/20,0,28.588195
31/10/20,6.6,28.060753
30/11/20,null,26.611458
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
