time,prec,temp
30/09/01,null,22.848246
31/10/01,100,24.097072
30/11/01,null,24.513143
31/12/01,209.6,23.906033
31/01/02,null,25.596788
28/02/02,null,24.854076
31/03/02,99.2,25.65313
30/04/02,48.2,25.848363
31/05/02,71.4,23.084239
30/06/02,null,22.429404
31/07/02,null,21.233478
31/08/02,null,24.364587
30/09/02,null,22.644972
31/10/02,null,26.36762
30/11/02,null,25.072875
31/12/02,null,26.852581
31/01/03,null,24.617345
28/02/03,null,null
31/03/03,null,24.239037
30/04/03,139.2,23.621946
31/05/03,62.2,20.994994
30/06/03,30.6,22.137461
31/07/03,22.8,21.673816
31/08/03,103.8,19.561124
30/09/03,null,null
31/10/03,null,null
30/11/03,null,null
31/12/03,111.6,25.399942
31/01/04,58.8,25.998056
29/02/04,103.2,25.023377
31/03/04,59.4,25.155839
30/04/04,146.8,24.146824
31/05/04,167,18.616801
30/06/04,83,19.8796
31/07/04,54.6,19.662377
31/08/04,0,22.187996
30/09/04,42,25.688647
31/10/04,180.6,23.971774
30/11/04,94.6,24.613203
31/12/04,266.6,24.909614
31/01/05,221.6,24.64122
28/02/05,150.6,25.909622
31/03/05,90.4,25.317564
30/04/05,null,22.930351
31/05/05,114.8,22.555376
30/06/05,null,22.100838
31/07/05,20.2,18.786694
31/08/05,6.8,22.978893
30/09/05,null,21.271697
31/10/05,null,24.390724
30/11/05,null,null
31/12/05,null,25.02191
31/01/06,154.4,25.121371
28/02/06,null,24.719044
31/03/06,143.8,24.79176
30/04/06,null,23.994802
31/05/06,null,20.248882
30/06/06,19.6,21.632071
31/07/06,6,22.152945
31/08/06,34.6,23.156389
30/09/06,131.6,22.7718
31/10/06,91.6,24.955914
30/11/06,210.8,24.890027
31/12/06,159.2,25.265299
31/01/07,452.4,24.416935
28/02/07,183.2,24.839674
31/03/07,72.2,25.486717
30/04/07,81.8,24.743889
31/05/07,null,21.253846
30/06/07,null,null
31/07/07,null,18.898315
31/08/07,0,22.172773
30/09/07,4.2,27.267241
31/10/07,103.4,26.326479
30/11/07,165.2,24.968103
31/12/07,228.8,25.038575
31/01/08,256.6,24.259409
29/02/08,144.6,24.247126
31/03/08,219,24.223522
30/04/08,93.4,23.363333
31/05/08,82.2,20.078319
30/06/08,6,19.817247
31/07/08,0,22.779973
31/08/08,52.4,23.737231
30/09/08,55.6,22.518194
31/10/08,99.8,25.223656
30/11/08,97.2,25.369789
31/12/08,186.4,25.391801
31/01/09,226.2,24.365387
28/02/09,154,24.823782
31/03/09,267.8,24.994624
30/04/09,0,24.844167
31/05/09,76.8,22.339919
30/06/09,86.2,19.377778
31/07/09,48.4,20.460887
31/08/09,154.4,21.923387
30/09/09,65.2,23.064082
31/10/09,124.6,24.726006
30/11/09,174.8,25.936667
31/12/09,305.4,24.746505
31/01/10,244.8,24.917058
28/02/10,251.6,25.501934
31/03/10,76.8,25.483737
30/04/10,108,23.665972
31/05/10,67.2,19.465995
30/06/10,8.8,21.561805
31/07/10,21.6,20.476747
31/08/10,0,22.960157
30/09/10,123.8,25.1732
31/10/10,122.8,23.764247
30/11/10,null,23.69939
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,null,null
30/04/11,null,null
31/05/11,null,null
30/06/11,34,20.155972
31/07/11,13.2,21.886022
31/08/11,27.4,22.692876
30/09/11,57.4,24.896528
31/10/11,227.2,24.836022
30/11/11,121.4,25.40125
31/12/11,121.6,25.641667
31/01/12,244.4,24.887769
29/02/12,171.8,25.10273
31/03/12,86.8,25.136022
30/04/12,234.8,23.905694
31/05/12,76.8,21.342607
30/06/12,244.4,20.229444
31/07/12,14.8,20.14207
31/08/12,1.2,23.891667
30/09/12,122,25.724167
31/10/12,125,26.292473
30/11/12,190.2,25.615278
31/12/12,181,25.94543
31/01/13,210.8,25.5875
28/02/13,212,24.675446
31/03/13,191.6,25.085488
30/04/13,227.6,22.812361
31/05/13,15.2,22.610753
30/06/13,182.4,21.29774
31/07/13,51,19.973971
31/08/13,0,20.65672
30/09/13,90.8,24.002778
31/10/13,139.2,24.522581
30/11/13,235.2,25.325139
31/12/13,179.4,25.362903
31/01/14,164.2,24.638172
28/02/14,112.8,25.213691
31/03/14,155,24.326344
30/04/14,49.4,24.212778
31/05/14,183,20.689516
30/06/14,54.2,20.980972
31/07/14,119.2,20.357392
31/08/14,17.2,23.535618
30/09/14,65.8,25.791528
31/10/14,19,27.262634
30/11/14,217.4,24.587639
31/12/14,372.4,24.841263
31/01/15,245.8,25.729173
28/02/15,161,25.033185
31/03/15,71.6,24.869086
30/04/15,101,24.414167
31/05/15,84.6,21.798253
30/06/15,83.4,21.601944
31/07/15,95.2,21.015995
31/08/15,8.6,24.911425
30/09/15,216.4,25.154861
31/10/15,95.8,25.848656
30/11/15,158.6,25.736806
31/12/15,186.4,25.472043
31/01/16,371.2,25.004301
29/02/16,196.6,25.446839
31/03/16,194.6,24.935887
30/04/16,70.8,24.821389
31/05/16,206.6,20.813978
30/06/16,49,19.377059
31/07/16,5.4,21.452615
31/08/16,65.6,22.482477
30/09/16,37,22.829583
31/10/16,74.6,24.838441
30/11/16,85.6,25.67625
31/12/16,212.4,24.604167
31/01/17,241.8,24.890188
28/02/17,91,25.274761
31/03/17,226.6,24.943952
30/04/17,157,22.754445
31/05/17,103.8,23.425269
30/06/17,46.6,20.493231
31/07/17,0.2,21.321408
31/08/17,38.2,23.79879
30/09/17,45,27.406806
31/10/17,228.6,24.937634
30/11/17,267.4,24.637917
31/12/17,273.8,24.838038
31/01/18,132,24.470027
28/02/18,206.2,24.443452
31/03/18,97.4,25.576882
30/04/18,89.6,24.797917
31/05/18,37.4,22.494892
30/06/18,11,20.319028
31/07/18,0,21.862097
31/08/18,112.2,20.933871
30/09/18,null,23.204025
31/10/18,null,null
30/11/18,125.4,24.956528
31/12/18,64.8,25.926613
31/01/19,122.4,26.091263
28/02/19,251.4,25.525149
31/03/19,166,25.075134
30/04/19,104.4,24.518611
31/05/19,76.4,22.280645
30/06/19,20.6,22.685139
31/07/19,46.4,20.958764
31/08/19,1.6,23.514722
30/09/19,16.2,26.8
31/10/19,30.8,26.746102
30/11/19,149.4,26.64875
31/12/19,249,24.971774
31/01/20,198.2,25.969489
29/02/20,227.2,25.155603
31/03/20,80.2,26.473656
30/04/20,90.2,23.988194
31/05/20,182.6,20.371213
30/06/20,41.2,21.769167
31/07/20,4,21.605108
31/08/20,27.6,24.2375
30/09/20,8.4,27.852083
31/10/20,150.4,27.004301
30/11/20,91.4,25.943056
31/12/20,105.4,25.976747
31/01/21,383.6,24.355376
28/02/21,116.2,24.733184
31/03/21,65,24.877554
30/04/21,53.6,24.199167
31/05/21,20.4,22.507393
30/06/21,65.2,21.354012
31/07/21,1.8,21.284638
31/08/21,34.2,23.888038
30/09/21,27,27.495833
31/10/21,179.8,25.323925
30/11/21,251.6,27.049722
31/12/21,149.2,27.325807
