time,prec,temp
31/12/06,null,null
31/01/07,249,23.159409
28/02/07,64,23.4919
31/03/07,28,23.995833
30/04/07,31,23.792403
31/05/07,2.4,20.084318
30/06/07,0,20.946461
31/07/07,5.4,19.793219
31/08/07,0,22.214944
30/09/07,0,25.646805
31/10/07,25.6,24.854687
30/11/07,36.8,23.196726
31/12/07,42.2,23.330511
31/01/08,61.4,22.554167
29/02/08,89.2,22.395259
31/03/08,87,22.375
30/04/08,94.8,22.4825
31/05/08,27.6,19.587068
30/06/08,1,20.125025
31/07/08,0,21.421237
31/08/08,3,23.286694
30/09/08,13.2,22.679861
31/10/08,null,24.06939
30/11/08,null,null
31/12/08,null,null
31/01/09,null,null
28/02/09,null,null
31/03/09,203.2,23.434724
30/04/09,2.2,22.931667
31/05/09,13.6,21.49879
30/06/09,10,19.089176
31/07/09,0.4,21.74122
31/08/09,34.2,21.78293
30/09/09,null,23.783918
31/10/09,null,null
30/11/09,null,null
31/12/09,null,null
31/01/10,null,null
28/02/10,null,null
31/03/10,null,24.324129
30/04/10,null,23.397477
31/05/10,16.8,19.638441
30/06/10,0.8,20.917361
31/07/10,1.4,21.36586
31/08/10,3.4,22.46596
30/09/10,5.4,25.025013
31/10/10,null,null
30/11/10,null,null
31/12/10,null,null
31/01/11,null,null
28/02/11,null,null
31/03/11,null,null
30/04/11,65.8,23.03006
31/05/11,28.8,20.449597
30/06/11,23.8,19.545
31/07/11,0,21.31707
31/08/11,6.6,22.632124
30/09/11,11,24.734722
31/10/11,161,23.096371
30/11/11,91,23.229306
31/12/11,137.2,23.572043
31/01/12,370.8,22.32379
29/02/12,286.6,23.46681
31/03/12,217.6,22.648253
30/04/12,194.6,22.720556
31/05/12,157.4,19.878067
30/06/12,81.6,20.103056
31/07/12,5.8,19.833199
31/08/12,0,22.367778
30/09/12,50.4,24.646111
31/10/12,41.8,24.975269
30/11/12,125.6,23.792639
31/12/12,103,24.08871
31/01/13,166,23.218548
28/02/13,47,22.850893
31/03/13,27.4,23.542529
30/04/13,24,21.7025
31/05/13,null,21.722312
30/06/13,81.6,21.198283
31/07/13,2.6,19.376882
31/08/13,0.2,20.769624
30/09/13,5,23.327639
31/10/13,106.6,23.202285
30/11/13,106,23.472778
31/12/13,115.4,23.801613
31/01/14,170.4,23.092339
28/02/14,147.2,23.464732
31/03/14,319,22.990323
30/04/14,37.6,22.982083
31/05/14,1.6,20.448925
30/06/14,14,20.618333
31/07/14,117.6,20.023925
31/08/14,0,22.978495
30/09/14,59.6,24.018333
31/10/14,13.2,25.139785
30/11/14,42.8,22.748195
31/12/14,105,23.040995
31/01/15,97.8,24.602735
28/02/15,195.4,23.282441
31/03/15,292.8,22.652957
30/04/15,226.4,23.015882
31/05/15,93.8,20.685618
30/06/15,9.8,20.370556
31/07/15,20.8,21.000672
31/08/15,11,23.266263
30/09/15,73.4,24.767222
31/10/15,99.8,25.353495
30/11/15,295.2,23.792917
31/12/15,300.8,23.658333
31/01/16,249.2,23.492742
29/02/16,168.8,24.253305
31/03/16,28,23.98629
30/04/16,85,24.439167
31/05/16,29.4,20.800269
30/06/16,null,19.084936
31/07/16,null,null
31/08/16,null,null
30/09/16,12.8,22.373472
31/10/16,17.6,23.144676
30/11/16,58,22.787917
31/12/16,54.4,23.369758
31/01/17,null,22.021614
28/02/17,83.6,23.591964
31/03/17,null,23.54134
30/04/17,null,22.584861
31/05/17,null,22.674462
30/06/17,null,20.176103
31/07/17,null,null
31/08/17,null,null
30/09/17,null,null
31/10/17,63.2,24.186559
30/11/17,134,23.175556
31/12/17,289.2,23.040188
31/01/18,49,23.225
28/02/18,97,23.059673
31/03/18,null,24.104435
30/04/18,null,22.886806
31/05/18,null,21.115591
30/06/18,0,20.47125
31/07/18,0,21.298994
31/08/18,null,null
30/09/18,null,null
31/10/18,null,23.829764
30/11/18,318,23.161667
31/12/18,135.4,23.963172
31/01/19,205.4,24.068817
28/02/19,null,23.689667
31/03/19,276,23.514516
30/04/19,210,23.428194
31/05/19,27.6,21.586559
30/06/19,4.2,20.999722
31/07/19,0.6,20.396505
31/08/19,21.6,22.26465
30/09/19,67.4,26.059028
31/10/19,160.4,24.556855
30/11/19,259.6,23.912083
31/12/19,192.8,23.90578
31/01/20,76.2,24.407527
29/02/20,null,23.407025
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
