time,prec,temp
31/10/06,null,null
30/11/06,250.6,27.609668
31/12/06,245,27.478167
31/01/07,213.8,27.715726
28/02/07,87.2,27.539156
31/03/07,65.6,28.119904
30/04/07,23.8,27.643194
31/05/07,91,22.172307
30/06/07,0,23.034837
31/07/07,17,21.702597
31/08/07,2.2,21.939138
30/09/07,0.2,28.519305
31/10/07,154,27.659128
30/11/07,117,26.747701
31/12/07,146.6,27.450538
31/01/08,226.8,26.887769
29/02/08,209.8,27.413218
31/03/08,95.4,27.631183
30/04/08,48.8,25.781528
31/05/08,85.2,22.94212
30/06/08,null,21.28986
31/07/08,4.4,25.416264
31/08/08,32.8,26.138575
30/09/08,10.4,25.607471
31/10/08,52.2,28.633151
30/11/08,145,28.53058
31/12/08,77.6,28.129746
31/01/09,71.6,28.100278
28/02/09,104,27.598255
31/03/09,2.4,27.672715
30/04/09,0.4,28.142778
31/05/09,43.8,26.180316
30/06/09,null,22.938368
31/07/09,null,23.888316
31/08/09,26,24.838056
30/09/09,7.6,25.89454
31/10/09,64.8,28.583477
30/11/09,null,null
31/12/09,null,null
31/01/10,null,null
28/02/10,null,null
31/03/10,null,null
30/04/10,null,null
31/05/10,null,null
30/06/10,null,null
31/07/10,null,null
31/08/10,null,null
30/09/10,null,null
31/10/10,41.2,27.384226
30/11/10,116,26.73375
31/12/10,53.2,28.806317
31/01/11,231.6,27.320699
28/02/11,432.4,26.518155
31/03/11,260.4,26.563858
30/04/11,55.4,27.151528
31/05/11,0.6,23.835484
30/06/11,3.6,22.742385
31/07/11,11.4,23.540774
31/08/11,14,24.950431
30/09/11,23.6,26.870259
31/10/11,132,27.913844
30/11/11,23.8,28.916111
31/12/11,130.4,28.679301
31/01/12,117.2,27.781855
29/02/12,87.2,27.518391
31/03/12,111.6,26.977554
30/04/12,93,26.633333
31/05/12,86.4,24.293817
30/06/12,50,22.712639
31/07/12,0.4,21.913038
31/08/12,0,26.197222
30/09/12,16.2,28.76125
31/10/12,11.6,29.510081
30/11/12,208.2,28.013333
31/12/12,148,28.611828
31/01/13,192,28.649462
28/02/13,73.2,27.510714
31/03/13,211.2,27.56954
30/04/13,85.2,26.145139
31/05/13,48,24.163038
30/06/13,75.2,23.047121
31/07/13,null,21.810901
31/08/13,1.6,22.465188
30/09/13,56,25.715432
31/10/13,27.4,27.164516
30/11/13,72.4,28.364445
31/12/13,237.6,28.279435
31/01/14,112,26.898521
28/02/14,88.6,26.537202
31/03/14,273,27.034005
30/04/14,17.4,27.071389
31/05/14,300.2,23.002688
30/06/14,12.2,22.829305
31/07/14,53.4,21.747043
31/08/14,7.8,25.154167
30/09/14,51.2,28.256389
31/10/14,115.4,29.577285
30/11/14,249,27.395695
31/12/14,111.8,27.548253
31/01/15,30.8,29.109093
28/02/15,271,27.872768
31/03/15,21,27.732124
30/04/15,35.2,27.681389
31/05/15,76.8,24.947451
30/06/15,null,25.22295
31/07/15,null,null
31/08/15,null,null
30/09/15,null,null
31/10/15,55.8,28.167411
30/11/15,75.8,28.794444
31/12/15,170.4,28.826075
31/01/16,322.4,28.058065
29/02/16,null,null
31/03/16,null,null
30/04/16,null,null
31/05/16,9.6,22.439247
30/06/16,8.6,19.930139
31/07/16,0.6,23.496505
31/08/16,57.4,24.839247
30/09/16,59.8,24.805139
31/10/16,61,27.834864
30/11/16,null,26.888333
31/12/16,null,27.694893
31/01/17,null,28.002554
28/02/17,null,null
31/03/17,null,null
30/04/17,null,null
31/05/17,null,23.890833
30/06/17,71,22.726528
31/07/17,0.2,23.221237
31/08/17,35.6,25.850269
30/09/17,null,null
31/10/17,null,null
30/11/17,null,null
31/12/17,null,null
31/01/18,null,26.641688
28/02/18,null,null
31/03/18,null,null
30/04/18,null,null
31/05/18,null,null
30/06/18,null,null
31/07/18,null,21.182937
31/08/18,null,null
30/09/18,null,null
31/10/18,null,null
30/11/18,null,null
31/12/18,null,null
31/01/19,null,null
28/02/19,null,null
31/03/19,62.6,27.99321
30/04/19,106.2,26.662361
31/05/19,74.2,24.383737
30/06/19,28,24.084167
31/07/19,7.4,21.982527
31/08/19,17,24.817083
30/09/19,19.8,28.135
31/10/19,11.4,28.573188
30/11/19,52,29.257761
31/12/19,72.4,27.963084
31/01/20,100.6,29.226759
29/02/20,124.2,27.995334
31/03/20,48.4,29.500276
30/04/20,77.4,26.96125
31/05/20,59.2,23.670296
30/06/20,19.2,23.340972
31/07/20,0.2,24.117473
31/08/20,22.2,26.24207
30/09/20,6.4,28.237083
31/10/20,120.8,29.835051
30/11/20,11.4,29.956801
31/12/20,131.4,29.026377
31/01/21,null,26.456012
28/02/21,44,27.75416
31/03/21,70,27.480988
30/04/21,36.4,26.523998
31/05/21,10.6,24.487471
30/06/21,11.6,22.488889
31/07/21,5.6,23.375
31/08/21,5,25.930709
30/09/21,5.8,30.553581
31/10/21,null,29.848434
30/11/21,null,null
31/12/21,null,null
