time,prec,temp
31/12/06,null,null
31/01/07,320,25.369489
28/02/07,208.6,25.297736
31/03/07,null,25.857499
30/04/07,null,24.379844
31/05/07,null,21.186616
30/06/07,null,null
31/07/07,null,15.819855
31/08/07,11.2,18.942386
30/09/07,0.4,24.753194
31/10/07,106,25.170933
30/11/07,183.2,24.581897
31/12/07,83.4,25.294086
31/01/08,181,24.958468
29/02/08,297.4,24.603892
31/03/08,132,24.48078
30/04/08,104.8,22.889937
31/05/08,null,19.869085
30/06/08,null,17.91951
31/07/08,8,19.699372
31/08/08,null,21.550333
30/09/08,16.2,20.910714
31/10/08,14.8,24.665013
30/11/08,null,25.665217
31/12/08,53.2,25.851344
31/01/09,118.6,24.468528
28/02/09,21.2,24.987919
31/03/09,61,25.188038
30/04/09,22.6,23.663611
31/05/09,45.2,20.955139
30/06/09,null,16.896215
31/07/09,null,19.60457
31/08/09,null,20.348785
30/09/09,35.8,21.689177
31/10/09,106,24.25757
30/11/09,89,26.82125
31/12/09,108.8,25.409677
31/01/10,200,25.162146
28/02/10,36.8,26.131696
31/03/10,30.8,26.029032
30/04/10,2,22.677222
31/05/10,1.2,17.828006
30/06/10,1,19.184905
31/07/10,null,19.349275
31/08/10,0,20.035185
30/09/10,null,23.150681
31/10/10,null,22.945076
30/11/10,110.4,23.469515
31/12/10,85.8,25.31586
31/01/11,137.6,25.075941
28/02/11,168.2,25.084077
31/03/11,null,24.972513
30/04/11,146.6,22.888937
31/05/11,8.2,19.302377
30/06/11,16.8,17.219115
31/07/11,4.4,19.558333
31/08/11,13.2,20.874569
30/09/11,57,22.19875
31/10/11,72,24.468023
30/11/11,132.2,24.426806
31/12/11,null,25.228167
31/01/12,null,null
29/02/12,null,24.39693
31/03/12,66.6,24.046909
30/04/12,null,22.915833
31/05/12,null,19.718011
30/06/12,69,18.359028
31/07/12,20.6,17.469624
31/08/12,0.4,20.837947
30/09/12,44.6,22.860972
31/10/12,124.4,25.358333
30/11/12,223,25.877361
31/12/12,82,26.788038
31/01/13,95,25.153226
28/02/13,205.6,25.416071
31/03/13,85.6,25.26681
30/04/13,179.8,21.518056
31/05/13,null,20.543683
30/06/13,106.8,19.30601
31/07/13,30.8,17.724328
31/08/13,1.8,17.84664
30/09/13,44.4,21.75625
31/10/13,69.4,23.726753
30/11/13,70.8,25.489167
31/12/13,85.6,26.186962
31/01/14,264.2,25.024462
28/02/14,101.6,25.586012
31/03/14,184,24.068817
30/04/14,38,22.942917
31/05/14,135.4,18.984946
30/06/14,50,19.353333
31/07/14,135.2,17.66371
31/08/14,11.4,20.771237
30/09/14,121.8,24.103056
31/10/14,37.8,26.395968
30/11/14,209.4,24.521111
31/12/14,179.4,25.304839
31/01/15,87.8,25.730242
28/02/15,122.2,25.475744
31/03/15,59.8,25.002554
30/04/15,101,23.265695
31/05/15,103,19.981317
30/06/15,41.6,19.353889
31/07/15,86.6,18.990591
31/08/15,7.4,21.605645
30/09/15,163.4,23.513611
31/10/15,175.8,25.006317
30/11/15,145,25.52875
31/12/15,249.2,25.433123
31/01/16,null,24.92
29/02/16,null,null
31/03/16,null,null
30/04/16,null,null
31/05/16,115.6,18.97164
30/06/16,46,16.540556
31/07/16,33.6,18.322849
31/08/16,84.2,19.922177
30/09/16,34,20.615972
31/10/16,113.8,23.980107
30/11/16,37.6,24.879167
31/12/16,204.2,24.903226
31/01/17,179.4,25.514113
28/02/17,185,25.452232
31/03/17,87,25.318611
30/04/17,188.6,21.634861
31/05/17,105.6,22.004973
30/06/17,69.8,18.156327
31/07/17,null,null
31/08/17,null,null
30/09/17,22,24.949583
31/10/17,123.2,24.281913
30/11/17,null,24.592958
31/12/17,null,null
31/01/18,null,null
28/02/18,null,25.018845
31/03/18,95,25.795296
30/04/18,null,23.779583
31/05/18,52.4,20.217339
30/06/18,11.4,18.272083
31/07/18,0,19.137769
31/08/18,61.6,18.383199
30/09/18,157.8,21.171111
31/10/18,255,24.793683
30/11/18,138.8,24.773611
31/12/18,86.6,25.924731
31/01/19,223.6,26.227554
28/02/19,250.8,25.410863
31/03/19,186.6,24.813306
30/04/19,44,23.769861
31/05/19,81.2,21.202016
30/06/19,10.4,20.011389
31/07/19,66.4,17.591263
31/08/19,2.6,20.617607
30/09/19,17.4,24.586528
31/10/19,null,25.870132
30/11/19,null,null
31/12/19,null,null
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
