time,prec,temp
30/09/01,null,20.024802
31/10/01,null,22.213723
30/11/01,210.4,23.199693
31/12/01,243,22.645779
31/01/02,98.4,24.486968
28/02/02,240.2,22.888464
31/03/02,68.2,25.45
30/04/02,41.8,24.771131
31/05/02,306,19.867091
30/06/02,null,19.280937
31/07/02,30,17.289721
31/08/02,16.6,21.176543
30/09/02,17.2,20.65559
31/10/02,null,24.622942
30/11/02,null,22.981652
31/12/02,null,25.133758
31/01/03,null,null
28/02/03,null,null
31/03/03,null,null
30/04/03,null,null
31/05/03,null,null
30/06/03,null,null
31/07/03,null,null
31/08/03,null,null
30/09/03,null,null
31/10/03,null,null
30/11/03,null,null
31/12/03,null,null
31/01/04,null,null
29/02/04,null,null
31/03/04,null,null
30/04/04,null,null
31/05/04,null,null
30/06/04,null,null
31/07/04,null,null
31/08/04,null,null
30/09/04,null,null
31/10/04,null,null
30/11/04,null,null
31/12/04,null,null
31/01/05,null,null
28/02/05,null,null
31/03/05,null,null
30/04/05,null,null
31/05/05,null,null
30/06/05,null,null
31/07/05,null,null
31/08/05,null,null
30/09/05,null,17.035126
31/10/05,null,22.186501
30/11/05,null,null
31/12/05,null,23.791192
31/01/06,206,24.46035
28/02/06,null,24.121022
31/03/06,205.4,24.271806
30/04/06,null,22.055553
31/05/06,null,17.348553
30/06/06,75.2,18.231584
31/07/06,64.2,19.417607
31/08/06,52,19.401667
30/09/06,116.4,20.177116
31/10/06,112.4,23.196774
30/11/06,115,23.329203
31/12/06,269.4,24.906749
31/01/07,426.2,24.351122
28/02/07,408,23.924459
31/03/07,92.6,24.541071
30/04/07,121.8,22.411932
31/05/07,71,17.135302
30/06/07,7.2,18.709336
31/07/07,41,15.961009
31/08/07,58.4,17.04841
30/09/07,2.8,23.541715
31/10/07,64.6,24.012366
30/11/07,251.2,23.219297
31/12/07,118.4,24.343145
31/01/08,305.2,23.716936
29/02/08,439.8,23.487069
31/03/08,41.2,23.610349
30/04/08,68.2,21.599444
31/05/08,85,17.587033
30/06/08,41.6,16.033321
31/07/08,21,19.809409
31/08/08,140.8,20.00336
30/09/08,25.6,18.908853
31/10/08,108.6,23.009812
30/11/08,278.8,23.584348
31/12/08,94.4,24.756183
31/01/09,202,23.29859
28/02/09,155.2,24.280925
31/03/09,90.8,24.460484
30/04/09,0,23.793472
31/05/09,163,19.772581
30/06/09,136.8,15.781894
31/07/09,119.8,16.527706
31/08/09,133,18.628662
30/09/09,null,20.242197
31/10/09,228,22.459901
30/11/09,126,25.529444
31/12/09,307.6,24.011425
31/01/10,270.2,24.02412
28/02/10,229.2,24.854464
31/03/10,167.2,24.64207
30/04/10,82,21.598333
31/05/10,300.4,16.746667
30/06/10,11.4,18.560278
31/07/10,57.2,17.265418
31/08/10,3.2,18.904644
30/09/10,232.2,20.993168
31/10/10,111.8,20.984543
30/11/10,180.8,22.074722
31/12/10,99.6,24.212787
31/01/11,206.8,24.476747
28/02/11,161.4,23.664286
31/03/11,73.4,23.034781
30/04/11,null,22.210746
31/05/11,null,null
30/06/11,89.6,16.587069
31/07/11,83.2,18.147715
31/08/11,57.6,19.09664
30/09/11,51.6,20.998056
31/10/11,176.4,23.251437
30/11/11,125.6,23.113943
31/12/11,99.6,24.725538
31/01/12,88.6,24.861394
29/02/12,null,24.827687
31/03/12,80.4,23.990067
30/04/12,null,22.118421
31/05/12,null,19.147942
30/06/12,null,18.238816
31/07/12,null,17.87029
31/08/12,26,20.477639
30/09/12,77.8,22.8925
31/10/12,210,24.045027
30/11/12,173.2,24.239861
31/12/12,144,25.421774
31/01/13,106.4,24.765995
28/02/13,126.6,24.62753
31/03/13,160.6,23.882471
30/04/13,243.8,20.705417
31/05/13,137.8,19.429301
30/06/13,245.4,18.056465
31/07/13,12.4,16.88965
31/08/13,4.4,17.138575
30/09/13,39,20.704306
31/10/13,306.4,22.039031
30/11/13,269.4,23.827917
31/12/13,74.2,25.305078
31/01/14,196.2,24.131183
28/02/14,202,24.587054
31/03/14,203.6,23.189382
30/04/14,130.4,21.640694
31/05/14,163.6,17.908468
30/06/14,96.2,18.283611
31/07/14,180,16.860349
31/08/14,19,20.706855
30/09/14,197.2,22.972222
31/10/14,113,25.387097
30/11/14,292.4,23.427778
31/12/14,136.4,24.044758
31/01/15,264.2,24.893437
28/02/15,183.4,24.497768
31/03/15,137.8,23.760753
30/04/15,180.8,22.210972
31/05/15,261.4,18.739382
30/06/15,74.6,18.576389
31/07/15,249,17.502671
31/08/15,17.6,21.950806
30/09/15,246.6,23.181806
31/10/15,175,23.51586
30/11/15,298.8,23.708062
31/12/15,383.8,24.168145
31/01/16,189,24.679704
29/02/16,384.2,24.65
31/03/16,149.2,23.086962
30/04/16,163.2,23.421389
31/05/16,295.6,16.890188
30/06/16,37.4,15.152778
31/07/16,23,18.246505
31/08/16,149,19.566199
30/09/16,29,19.7225
31/10/16,112.8,22.561962
30/11/16,100.6,23.384378
31/12/16,362.4,23.45336
31/01/17,147.8,24.666129
28/02/17,194.4,24.812054
31/03/17,216.6,24.079435
30/04/17,211.6,20.4925
31/05/17,153.2,20.237366
30/06/17,113.6,17.241389
31/07/17,6,17.367742
31/08/17,74.8,20.502957
30/09/17,23.2,23.974444
31/10/17,136.6,23.327823
30/11/17,165.8,23.825694
31/12/17,253.8,25.409677
31/01/18,273.4,24.248253
28/02/18,232.6,23.663244
31/03/18,191,24.293145
30/04/18,47.6,23.479583
31/05/18,70.2,19.800269
30/06/18,null,18.128837
31/07/18,3.6,18.25672
31/08/18,39,16.704301
30/09/18,202.6,20.216806
31/10/18,258.6,22.887097
30/11/18,260.6,23.257083
31/12/18,91,24.954839
31/01/19,172.4,25.876344
28/02/19,246,24.281845
31/03/19,312.2,23.767473
30/04/19,140.8,22.108333
31/05/19,134.2,19.94207
30/06/19,71.6,19.186667
31/07/19,28.8,16.527957
31/08/19,11.8,19.431048
30/09/19,24.2,23.18375
31/10/19,59.8,25.018548
30/11/19,255.2,25.426111
31/12/19,183.8,23.88684
31/01/20,204.8,25.07379
29/02/20,150.4,24.718965
31/03/20,98.4,25.352957
30/04/20,99,21.441806
31/05/20,124.6,18.134946
30/06/20,92.2,19.01821
31/07/20,14.2,18.028898
31/08/20,null,20.639263
30/09/20,19.4,23.910417
31/10/20,184.4,24.836694
30/11/20,33.8,24.339305
31/12/20,null,24.840054
31/01/21,111.8,23.659543
28/02/21,31,24.325149
31/03/21,null,24.257661
30/04/21,null,21.842639
31/05/21,null,19.268414
30/06/21,null,17.297015
31/07/21,null,16.521695
31/08/21,null,21.55586
30/09/21,null,24.820402
31/10/21,null,22.370694
30/11/21,null,23.914306
31/12/21,null,26.375538
