time,prec,temp
31/12/06,null,null
31/01/07,265.8,23.599147
28/02/07,248.6,23.61437
31/03/07,102.4,24.397639
30/04/07,112,23.860555
31/05/07,45.8,20.042023
30/06/07,3,20.079704
31/07/07,45.8,19.475996
31/08/07,0,21.863702
30/09/07,44,25.365033
31/10/07,null,null
30/11/07,null,null
31/12/07,null,null
31/01/08,null,null
29/02/08,null,null
31/03/08,null,null
30/04/08,null,null
31/05/08,null,null
30/06/08,null,20.161836
31/07/08,null,20.711943
31/08/08,null,null
30/09/08,null,23.757498
31/10/08,null,null
30/11/08,null,24.952895
31/12/08,null,24.620326
31/01/09,null,23.449114
28/02/09,null,23.925895
31/03/09,null,24.184272
30/04/09,null,24.024256
31/05/09,null,null
30/06/09,null,19.180649
31/07/09,null,21.868981
31/08/09,null,null
30/09/09,null,null
31/10/09,null,24.400943
30/11/09,null,25.515209
31/12/09,0,23.94401
31/01/10,null,24.166259
28/02/10,null,24.514457
31/03/10,null,25.037295
30/04/10,null,null
31/05/10,null,null
30/06/10,null,null
31/07/10,null,null
31/08/10,null,23.564216
30/09/10,30,25.222222
31/10/10,59,23.879704
30/11/10,12.6,23.595972
31/12/10,5.2,24.223522
31/01/11,null,23.551344
28/02/11,null,23.510417
31/03/11,null,23.025531
30/04/11,59.2,23.074306
31/05/11,3,20.181317
30/06/11,51,19.320139
31/07/11,0.2,20.832796
31/08/11,6.2,21.928898
30/09/11,20.2,24.759306
31/10/11,185.6,24.049597
30/11/11,91.4,24.332222
31/12/11,120.4,24.008199
31/01/12,null,23.277285
29/02/12,null,23.785058
31/03/12,90.4,23.193145
30/04/12,89.6,23.084583
31/05/12,126.2,19.915591
30/06/12,101.6,19.456142
31/07/12,0.8,19.162295
31/08/12,0,22.122778
30/09/12,37.6,24.767816
31/10/12,75.2,25.306048
30/11/12,254.6,24.3225
31/12/12,159.6,24.763038
31/01/13,185.2,24.114247
28/02/13,354.8,23.391815
31/03/13,211,23.99181
30/04/13,93.8,21.80875
31/05/13,41.4,21.353033
30/06/13,105.4,20.431869
31/07/13,53,18.631089
31/08/13,0,19.423661
30/09/13,null,23.197412
31/10/13,211.2,23.680242
30/11/13,117,24.167222
31/12/13,78.2,24.124865
31/01/14,null,23.336089
28/02/14,null,null
31/03/14,null,23.368056
30/04/14,null,23.386554
31/05/14,44.6,19.730278
30/06/14,61.2,20.191092
31/07/14,130.6,20.176075
31/08/14,0,25.419971
30/09/14,19.4,27.268472
31/10/14,null,26.302823
30/11/14,null,23.679167
31/12/14,null,null
31/01/15,null,null
28/02/15,null,null
31/03/15,null,null
30/04/15,null,null
31/05/15,138,20.96922
30/06/15,7.4,20.349167
31/07/15,33,20.841801
31/08/15,25,23.737097
30/09/15,191,24.620972
31/10/15,190,25.250403
30/11/15,null,24.83083
31/12/15,134.4,24.3875
31/01/16,200.6,24.074597
29/02/16,null,24.444048
31/03/16,null,24.269732
30/04/16,null,23.933333
31/05/16,64.6,20.685618
30/06/16,60.8,18.900139
31/07/16,3,20.458602
31/08/16,80.4,21.844758
30/09/16,22,22.287361
31/10/16,110.4,23.80284
30/11/16,68.4,23.785278
31/12/16,165.8,23.653274
31/01/17,194.2,23.654475
28/02/17,29.4,23.993601
31/03/17,23.6,24.196121
30/04/17,null,21.954167
31/05/17,46.6,22.633871
30/06/17,null,19.521113
31/07/17,0,19.400941
31/08/17,85.2,22.54664
30/09/17,30.8,25.814167
31/10/17,92.4,24.174328
30/11/17,104.4,24.040139
31/12/17,87.8,23.940188
31/01/18,32.6,23.681897
28/02/18,null,23.243849
31/03/18,60.6,24.354032
30/04/18,45.6,23.5175
31/05/18,25.6,21.188844
30/06/18,3,19.748195
31/07/18,0,20.594624
31/08/18,23.6,21.104167
30/09/18,24.6,22.423397
31/10/18,null,null
30/11/18,null,null
31/12/18,58,24.538844
31/01/19,271.4,24.798522
28/02/19,291,24.360714
31/03/19,175.6,24.268952
30/04/19,120.2,23.668472
31/05/19,33.8,21.52836
30/06/19,18.2,21.264028
31/07/19,13.6,19.93629
31/08/19,0.4,22.292742
30/09/19,15.8,26.408195
31/10/19,73.2,25.55793
30/11/19,138,24.869583
31/12/19,216.4,23.866801
31/01/20,null,24.729167
29/02/20,32.4,24.322845
31/03/20,33.4,24.874059
30/04/20,null,22.878125
31/05/20,null,18.869086
30/06/20,null,21.007372
31/07/20,null,20.840923
31/08/20,null,22.504301
30/09/20,null,26.745694
31/10/20,null,26.66875
30/11/20,null,25.345387
31/12/20,null,24.503431
31/01/21,null,24.116667
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
