time,prec,temp
30/09/01,null,24.50657
31/10/01,115.6,25.290164
30/11/01,263.6,26.266219
31/12/01,180.6,25.72803
31/01/02,229.6,26.627149
28/02/02,304,25.972403
31/03/02,41.2,28.017386
30/04/02,3.2,27.894932
31/05/02,89,22.969334
30/06/02,null,23.055337
31/07/02,null,20.428914
31/08/02,79.4,24.351731
30/09/02,50,22.719558
31/10/02,20.6,28.466456
30/11/02,null,null
31/12/02,null,null
31/01/03,323.8,26.387284
28/02/03,null,27.264381
31/03/03,122.2,26.363837
30/04/03,103.2,24.604884
31/05/03,null,21.161888
30/06/03,null,null
31/07/03,null,null
31/08/03,null,null
30/09/03,null,null
31/10/03,null,null
30/11/03,null,null
31/12/03,null,null
31/01/04,null,null
29/02/04,null,null
31/03/04,null,null
30/04/04,null,null
31/05/04,null,null
30/06/04,null,null
31/07/04,null,null
31/08/04,null,null
30/09/04,null,null
31/10/04,null,null
30/11/04,null,null
31/12/04,204.2,25.942473
31/01/05,391.8,25.917473
28/02/05,1.4,27.972024
31/03/05,29.4,27.911828
30/04/05,null,26.637917
31/05/05,null,23.122213
30/06/05,47.2,22.034306
31/07/05,19.6,19.537366
31/08/05,4.8,23.129704
30/09/05,32.6,22.471833
31/10/05,null,26.849125
30/11/05,null,null
31/12/05,259.2,25.745259
31/01/06,208.2,27.108333
28/02/06,null,26.216591
31/03/06,155,26.855966
30/04/06,null,25.170729
31/05/06,null,20.547673
30/06/06,12,21.374569
31/07/06,13.8,21.815404
31/08/06,31.2,23.6175
30/09/06,54,23.331389
31/10/06,171.8,26.384081
30/11/06,82.4,26.800628
31/12/06,283.6,26.860776
31/01/07,480.2,25.839919
28/02/07,100.6,26.782246
31/03/07,68.8,27.625417
30/04/07,18.8,26.644306
31/05/07,100.6,21.997331
30/06/07,0.2,21.561866
31/07/07,49.6,19.931452
31/08/07,0.8,22.43871
30/09/07,6.4,27.340399
31/10/07,21.2,27.915469
30/11/07,54.6,26.140064
31/12/07,70.6,27.124328
31/01/08,162.4,25.807796
29/02/08,30.8,25.897414
31/03/08,95.4,25.444892
30/04/08,157.6,24.535
31/05/08,50.8,20.495553
30/06/08,11,20.826413
31/07/08,null,21.670304
31/08/08,null,null
30/09/08,null,null
31/10/08,78.2,26.622312
30/11/08,103,26.549583
31/12/08,53.2,27.198522
31/01/09,365,25.684753
28/02/09,118.4,26.708951
31/03/09,211,26.913978
30/04/09,25.4,25.811667
31/05/09,65.4,22.913172
30/06/09,80.6,19.252361
31/07/09,61.4,20.868247
31/08/09,null,null
30/09/09,null,null
31/10/09,null,null
30/11/09,null,null
31/12/09,null,null
31/01/10,null,null
28/02/10,null,null
