time;prec;;;;;;;;;;;;
31/08/2010;null;;;;;;;;;;;;
30/09/2010;86,4;;;;;;;;;;;;
31/10/2010;75;;;;;;;;;;;;
30/11/2010;109,2;;;;;;;;;;;;
31/12/2010;121,8;;;;;;;;;;;;
31/01/2011;326;;;;;;;;;;;;
28/02/2011;171,2;;;;;;;;;;;;
31/03/2011;223;;;;;;;;;;;;
30/04/2011;null;;;;;;;;;;;;
31/05/2011;null;;;;;;;;;;;;
30/06/2011;54,4;;;;;;;;;;;;
31/07/2011;3,4;;;;;;;;;;;;
31/08/2011;7,6;;;;;;;;;;;;
30/09/2011;6,2;;;;;;;;;;;;
31/10/2011;177,2;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/11/2011;133,8;;;;2010;392,4;924,7166667;-532,3166667;1212,84;288,1233333;-1,847530571;-5,542591714;extremamente seco
31/12/2011;107,8;;;;2011;1210,6;924,7166667;285,8833333;1212,84;288,1233333;0,992225552;2,976676655;muito chuvoso
31/01/2012;381;;;;2012;1102,2;924,7166667;177,4833333;1212,84;288,1233333;0,615997779;1,847993336;chuvoso
29/02/2012;60,6;;;;2013;817;924,7166667;-107,7166667;1212,84;288,1233333;-0,373856103;-1,12156831;seco
31/03/2012;76,4;;;;2014;1439,2;924,7166667;514,4833333;1212,84;288,1233333;1,785635781;5,356907343;extremamente chuvoso
30/04/2012;100,2;;;;2015;563,6;924,7166667;-361,1166667;1212,84;288,1233333;-1,253340583;-3,76002175;muito seco
31/05/2012;67,6;;;;2016;582;924,7166667;-342,7166667;1212,84;288,1233333;-1,189479043;-3,568437128;muito seco
30/06/2012;163,2;;;;2017;955;924,7166667;30,28333333;1212,84;288,1233333;0,105105453;0,315316358;chuvoso
31/07/2012;11,2;;;;2018;761,2;924,7166667;-163,5166667;1212,84;288,1233333;-0,567523167;-1,702569501;seco
31/08/2012;0,6;;;;2019;1160,6;924,7166667;235,8833333;1212,84;288,1233333;0,818688756;2,456066268;muito chuvoso
30/09/2012;107,4;;;;2020;1151,6;924,7166667;226,8833333;1212,84;288,1233333;0,787452133;2,362356398;muito chuvoso
31/10/2012;91,2;;;;2021;961,2;924,7166667;36,48333333;1212,84;288,1233333;0,126624015;0,379872046;chuvoso
30/11/2012;17,2;;;;;;;;;;;;
31/12/2012;25,6;;;;;;;;;;;;
31/01/2013;null;;;;;;;;;;;;
28/02/2013;55,4;;;;;;;;;;;;
31/03/2013;null;;;;;;;;;;;;
30/04/2013;null;;;;;;;;;;;;
31/05/2013;25,6;;;;;;;;;;;;
30/06/2013;126,2;;;;;;;;;;;;
31/07/2013;52,2;;;;;;;;;;;;
31/08/2013;0;;;;;;;;;;;;
30/09/2013;96;;;;;;;;;;;;
31/10/2013;156,8;;;;;;;;;;;;
30/11/2013;49,8;;;;;;;;;;;;
31/12/2013;255;;;;;;;;;;;;
31/01/2014;174;;;;;;;;;;;;
28/02/2014;173;;;;;;;;;;;;
31/03/2014;123;;;;;;;;;;;;
30/04/2014;79,6;;;;;;;;;;;;
31/05/2014;38,8;;;;;;;;;;;;
30/06/2014;13;;;;;;;;;;;;
31/07/2014;104,2;;;;;;;;;;;;
31/08/2014;0;;;;;;;;;;;;
30/09/2014;135,4;;;;;;;;;;;;
31/10/2014;63,2;;;;;;;;;;;;
30/11/2014;358,4;;;;;;;;;;;;
31/12/2014;176,6;;;;;;;;;;;;
31/01/2015;77;;;;;;;;;;;;
28/02/2015;null;;;;;;;;;;;;
31/03/2015;null;;;;;;;;;;;;
30/04/2015;null;;;;;;;;;;;;
31/05/2015;71,6;;;;;;;;;;;;
30/06/2015;109,4;;;;;;;;;;;;
31/07/2015;52,4;;;;;;;;;;;;
31/08/2015;19,8;;;;;;;;;;;;
30/09/2015;175;;;;;;;;;;;;
31/10/2015;58,4;;;;;;;;;;;;
30/11/2015;null;;;;;;;;;;;;
31/12/2015;null;;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;
31/03/2016;null;;;;;;;;;;;;
30/04/2016;null;;;;;;;;;;;;
31/05/2016;197,2;;;;;;;;;;;;
30/06/2016;37;;;;;;;;;;;;
31/07/2016;8,8;;;;;;;;;;;;
31/08/2016;48,4;;;;;;;;;;;;
30/09/2016;41,4;;;;;;;;;;;;
31/10/2016;43;;;;;;;;;;;;
30/11/2016;55,8;;;;;;;;;;;;
31/12/2016;150,4;;;;;;;;;;;;
