time;prec;;;;;;;;;;
30/06/2008;null;;time;n;n_barr;n - n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/07/2008;11,2;;2008;772,6;1013,071429;-240,4714286;7226,166667;7466,638095;-0,032206118;-0,096618354;seco
31/08/2008;201,6;;2009;1366,2;;353,1285714;;6873,038095;0,051378818;0,154136453;chuvoso
30/09/2008;58,6;;2010;937,6;;-75,47142857;;7301,638095;-0,010336232;-0,031008697;seco
31/10/2008;113,4;;2011;710,8;;-302,2714286;;7528,438095;-0,040150616;-0,120451849;seco
30/11/2008;340,4;;2012;1525,4;;512,3285714;;6713,838095;0,076309343;0,228928028;chuvoso
31/12/2008;47,4;;2013;1123,2;;110,1285714;;7116,038095;0,015476108;0,046428323;chuvoso
31/01/2009;131,4;;2014;1502,2;;489,1285714;;6737,038095;0,07260291;0,21780873;chuvoso
28/02/2009;257,4;;2015;1470,6;;457,5285714;;6768,638095;0,067595366;0,202786099;chuvoso
31/03/2009;93,2;;2016;835,6;;-177,4714286;;7403,638095;-0,023970841;-0,071912522;seco
30/04/2009;null;;2017;1431,4;;418,3285714;;6807,838095;0,061448079;0,184344236;chuvoso
31/05/2009;151,4;;2018;713,6;;-299,4714286;;7525,638095;-0,039793493;-0,11938048;seco
30/06/2009;null;;2019;716,6;;-296,4714286;;7522,638095;-0,039410566;-0,118231699;seco
31/07/2009;80,8;;2020;1077,2;;64,12857143;;7162,038095;0,008953956;0,026861867;chuvoso
31/08/2009;74;;2021;0;;-1013,071429;;8239,238095;-0,122956931;-0,368870792;seco
30/09/2009;74,4;;;;;;;;;;
31/10/2009;196,2;;;;;;;;;;
30/11/2009;122,2;;;;;;;;;;
31/12/2009;185,2;;;;;;;;;;
31/01/2010;293;;;;;;;;;;
28/02/2010;212,4;;;;;;;;;;
31/03/2010;128,2;;;;;;;;;;
30/04/2010;63,4;;;;;;;;;;
31/05/2010;223,2;;;;;;;;;;
30/06/2010;17,4;;;;;;;;;;
31/07/2010;null;;;;;;;;;;
31/08/2010;null;;;;;;;;;;
30/09/2010;null;;;;;;;;;;
31/10/2010;null;;;;;;;;;;
30/11/2010;null;;;;;;;;;;
31/12/2010;null;;;;;;;;;;
31/01/2011;null;;;;;;;;;;
28/02/2011;null;;;;;;;;;;
31/03/2011;null;;;;;;;;;;
30/04/2011;null;;;;;;;;;;
31/05/2011;3,6;;;;;;;;;;
30/06/2011;46,2;;;;;;;;;;
31/07/2011;99,2;;;;;;;;;;
31/08/2011;78,8;;;;;;;;;;
30/09/2011;37,8;;;;;;;;;;
31/10/2011;209,6;;;;;;;;;;
30/11/2011;143;;;;;;;;;;
31/12/2011;92,6;;;;;;;;;;
31/01/2012;173,2;;;;;;;;;;
29/02/2012;102,2;;;;;;;;;;
31/03/2012;189,2;;;;;;;;;;
30/04/2012;142,4;;;;;;;;;;
31/05/2012;42,6;;;;;;;;;;
30/06/2012;255;;;;;;;;;;
31/07/2012;32;;;;;;;;;;
31/08/2012;21,8;;;;;;;;;;
30/09/2012;61,4;;;;;;;;;;
31/10/2012;219;;;;;;;;;;
30/11/2012;174,8;;;;;;;;;;
31/12/2012;111,8;;;;;;;;;;
31/01/2013;188,6;;;;;;;;;;
28/02/2013;121,2;;;;;;;;;;
31/03/2013;278,6;;;;;;;;;;
30/04/2013;172,6;;;;;;;;;;
31/05/2013;130,8;;;;;;;;;;
30/06/2013;null;;;;;;;;;;
31/07/2013;32,2;;;;;;;;;;
31/08/2013;2;;;;;;;;;;
30/09/2013;21;;;;;;;;;;
31/10/2013;null;;;;;;;;;;
30/11/2013;93,8;;;;;;;;;;
31/12/2013;82,4;;;;;;;;;;
31/01/2014;254;;;;;;;;;;
28/02/2014;91,6;;;;;;;;;;
31/03/2014;210,6;;;;;;;;;;
30/04/2014;null;;;;;;;;;;
31/05/2014;null;;;;;;;;;;
30/06/2014;73,4;;;;;;;;;;
31/07/2014;192,8;;;;;;;;;;
31/08/2014;14;;;;;;;;;;
30/09/2014;119,2;;;;;;;;;;
31/10/2014;62,8;;;;;;;;;;
30/11/2014;194,8;;;;;;;;;;
31/12/2014;289;;;;;;;;;;
31/01/2015;101,2;;;;;;;;;;
28/02/2015;210,4;;;;;;;;;;
31/03/2015;90,4;;;;;;;;;;
30/04/2015;113,2;;;;;;;;;;
31/05/2015;160;;;;;;;;;;
30/06/2015;43,8;;;;;;;;;;
31/07/2015;88,6;;;;;;;;;;
31/08/2015;3,8;;;;;;;;;;
30/09/2015;null;;;;;;;;;;
31/10/2015;254;;;;;;;;;;
30/11/2015;405,2;;;;;;;;;;
31/12/2015;null;;;;;;;;;;
31/01/2016;null;;;;;;;;;;
29/02/2016;null;;;;;;;;;;
31/03/2016;74;;;;;;;;;;
30/04/2016;68,8;;;;;;;;;;
31/05/2016;null;;;;;;;;;;
30/06/2016;null;;;;;;;;;;
31/07/2016;31,8;;;;;;;;;;
31/08/2016;105;;;;;;;;;;
30/09/2016;59;;;;;;;;;;
31/10/2016;233,6;;;;;;;;;;
30/11/2016;54,6;;;;;;;;;;
31/12/2016;208,8;;;;;;;;;;
31/01/2017;98,2;;;;;;;;;;
28/02/2017;241,4;;;;;;;;;;
31/03/2017;117,4;;;;;;;;;;
30/04/2017;192,4;;;;;;;;;;
31/05/2017;55,6;;;;;;;;;;
30/06/2017;60,8;;;;;;;;;;
31/07/2017;5;;;;;;;;;;
31/08/2017;47,6;;;;;;;;;;
30/09/2017;14,6;;;;;;;;;;
31/10/2017;209,8;;;;;;;;;;
30/11/2017;192;;;;;;;;;;
31/12/2017;196,6;;;;;;;;;;
31/01/2018;240,2;;;;;;;;;;
28/02/2018;142,6;;;;;;;;;;
31/03/2018;236,6;;;;;;;;;;
30/04/2018;57,6;;;;;;;;;;
31/05/2018;null;;;;;;;;;;
30/06/2018;null;;;;;;;;;;
31/07/2018;1;;;;;;;;;;
31/08/2018;null;;;;;;;;;;
30/09/2018;null;;;;;;;;;;
31/10/2018;null;;;;;;;;;;
30/11/2018;25;;;;;;;;;;
31/12/2018;10,6;;;;;;;;;;
31/01/2019;null;;;;;;;;;;
28/02/2019;null;;;;;;;;;;
31/03/2019;null;;;;;;;;;;
30/04/2019;null;;;;;;;;;;
31/05/2019;null;;;;;;;;;;
30/06/2019;32;;;;;;;;;;
31/07/2019;10,2;;;;;;;;;;
31/08/2019;1,8;;;;;;;;;;
30/09/2019;27,4;;;;;;;;;;
31/10/2019;41,2;;;;;;;;;;
30/11/2019;123,8;;;;;;;;;;
31/12/2019;480,2;;;;;;;;;;
31/01/2020;151,8;;;;;;;;;;
29/02/2020;124,8;;;;;;;;;;
31/03/2020;71;;;;;;;;;;
30/04/2020;135,6;;;;;;;;;;
31/05/2020;130,8;;;;;;;;;;
30/06/2020;131,4;;;;;;;;;;
31/07/2020;17;;;;;;;;;;
31/08/2020;180,6;;;;;;;;;;
30/09/2020;7,2;;;;;;;;;;
31/10/2020;127;;;;;;;;;;
30/11/2020;null;;;;;;;;;;
31/12/2020;null;;;;;;;;;;
31/01/2021;null;;;;;;;;;;
28/02/2021;null;;;;;;;;;;
31/03/2021;null;;;;;;;;;;
30/04/2021;null;;;;;;;;;;
31/05/2021;null;;;;;;;;;;
30/06/2021;null;;;;;;;;;;
31/07/2021;null;;;;;;;;;;
31/08/2021;null;;;;;;;;;;
30/09/2021;null;;;;;;;;;;
31/10/2021;null;;;;;;;;;;
30/11/2021;null;;;;;;;;;;
31/12/2021;null;;;;;;;;;;
