time;prec;;;;;;;;;;;
31/10/2006;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/11/2006;164;;;2006;283,2;775,3875;-492,1875;1188,142857;412,7553571;-1,192443639;-3,577330916;muito seco
31/12/2006;119,2;;;2007;1145,4;;370,0125;;;0,896445058;2,689335173;muito chuvoso
31/01/2007;225,2;;;2008;1011,2;;235,8125;;;0,571312997;1,71393899;chuvoso
28/02/2007;166,8;;;2009;1307;;531,6125;;;1,287960267;3,863880801;muito chuvoso
31/03/2007;95,2;;;2010;1133;;357,6125;;;0,866403049;2,599209148;muito chuvoso
30/04/2007;84,4;;;2011;789,2;;13,8125;;;0,033464133;0,100392398;chuvoso
31/05/2007;82;;;2012;924,6;;149,2125;;;0,361503485;1,084510455;chuvoso
30/06/2007;0,2;;;2013;1256,2;;480,8125;;;1,164884941;3,494654824;muito chuvoso
31/07/2007;54,4;;;2014;437,4;;-337,9875;;;-0,818856725;-2,456570175;muito seco
31/08/2007;0,4;;;2015;875,4;;100,0125;;;0,242304547;0,726913642;chuvoso
30/09/2007;1,2;;;2016;1128,6;;353,2125;;;0,855742982;2,567228945;muito chuvoso
31/10/2007;62,6;;;2017;1335,6;;560,2125;;;1,357250706;4,071752119;extremamente chuvoso
30/11/2007;175,4;;;2018;779,4;;4,0125;;;0,009721255;0,029163764;chuvoso
31/12/2007;197,6;;;2019;0;;-775,3875;;;-1,878564352;-5,635693056;extremamente seco
31/01/2008;411,8;;;2020;0;;-775,3875;;;-1,878564352;-5,635693056;extremamente seco 
29/02/2008;77,2;;;2021;0;;-775,3875;;;-1,878564352;-5,635693056;extremamente seco 
31/03/2008;120,6;;;;;;;;;;;
30/04/2008;31,8;;;;;;;;;;;
31/05/2008;null;;;;;;;;;;;
30/06/2008;null;;;;;;;;;;;
31/07/2008;4,8;;;;;;;;;;;
31/08/2008;42,6;;;;;;;;;;;
30/09/2008;22,8;;;;;;;;;;;
31/10/2008;78;;;;;;;;;;;
30/11/2008;130,2;;;;;;;;;;;
31/12/2008;91,4;;;;;;;;;;;
31/01/2009;217;;;;;;;;;;;
28/02/2009;63,4;;;;;;;;;;;
31/03/2009;126,4;;;;;;;;;;;
30/04/2009;3,2;;;;;;;;;;;
31/05/2009;42,4;;;;;;;;;;;
30/06/2009;79,4;;;;;;;;;;;
31/07/2009;76,4;;;;;;;;;;;
31/08/2009;138,8;;;;;;;;;;;
30/09/2009;23;;;;;;;;;;;
31/10/2009;153;;;;;;;;;;;
30/11/2009;91,2;;;;;;;;;;;
31/12/2009;292,8;;;;;;;;;;;
31/01/2010;309,8;;;;;;;;;;;
28/02/2010;83,2;;;;;;;;;;;
31/03/2010;117;;;;;;;;;;;
30/04/2010;21,4;;;;;;;;;;;
31/05/2010;120;;;;;;;;;;;
30/06/2010;4,8;;;;;;;;;;;
31/07/2010;null;;;;;;;;;;;
31/08/2010;0;;;;;;;;;;;
30/09/2010;58,8;;;;;;;;;;;
31/10/2010;119,4;;;;;;;;;;;
30/11/2010;203,6;;;;;;;;;;;
31/12/2010;95;;;;;;;;;;;
31/01/2011;351,4;;;;;;;;;;;
28/02/2011;null;;;;;;;;;;;
31/03/2011;null;;;;;;;;;;;
30/04/2011;null;;;;;;;;;;;
31/05/2011;4,6;;;;;;;;;;;
30/06/2011;null;;;;;;;;;;;
31/07/2011;23,6;;;;;;;;;;;
31/08/2011;19,2;;;;;;;;;;;
30/09/2011;67,6;;;;;;;;;;;
31/10/2011;160,8;;;;;;;;;;;
30/11/2011;82,2;;;;;;;;;;;
31/12/2011;79,8;;;;;;;;;;;
31/01/2012;null;;;;;;;;;;;
29/02/2012;null;;;;;;;;;;;
31/03/2012;145,8;;;;;;;;;;;
30/04/2012;104,8;;;;;;;;;;;
31/05/2012;35;;;;;;;;;;;
30/06/2012;187,4;;;;;;;;;;;
31/07/2012;10,2;;;;;;;;;;;
31/08/2012;0,2;;;;;;;;;;;
30/09/2012;90,4;;;;;;;;;;;
31/10/2012;134,4;;;;;;;;;;;
30/11/2012;102,8;;;;;;;;;;;
31/12/2012;113,6;;;;;;;;;;;
31/01/2013;59,2;;;;;;;;;;;
28/02/2013;127;;;;;;;;;;;
31/03/2013;107,6;;;;;;;;;;;
30/04/2013;281,8;;;;;;;;;;;
31/05/2013;63,6;;;;;;;;;;;
30/06/2013;177,2;;;;;;;;;;;
31/07/2013;48,4;;;;;;;;;;;
31/08/2013;0,2;;;;;;;;;;;
30/09/2013;39,4;;;;;;;;;;;
31/10/2013;87;;;;;;;;;;;
30/11/2013;147,2;;;;;;;;;;;
31/12/2013;117,6;;;;;;;;;;;
31/01/2014;233;;;;;;;;;;;
28/02/2014;null;;;;;;;;;;;
31/03/2014;null;;;;;;;;;;;
30/04/2014;null;;;;;;;;;;;
31/05/2014;null;;;;;;;;;;;
30/06/2014;null;;;;;;;;;;;
31/07/2014;null;;;;;;;;;;;
31/08/2014;null;;;;;;;;;;;
30/09/2014;null;;;;;;;;;;;
31/10/2014;null;;;;;;;;;;;
30/11/2014;null;;;;;;;;;;;
31/12/2014;204,4;;;;;;;;;;;
31/01/2015;58,6;;;;;;;;;;;
