time;prec;;;;;;;;;;
31/03/2013;null;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/04/2013;null;;2013;445,4;924;-478,6;1315,35;391,35;-1,222946212;-3,668838635;muito seco
31/05/2013;55,6;;2014;1046,6;;122,6;;;0,313274562;0,939823687;chuvoso
30/06/2013;null;;2015;1625,6;;701,6;;;1,792768621;5,378305864;extremamente chuvoso
31/07/2013;19,8;;2016;1018,6;;94,6;;;0,241727354;0,725182062;chuvoso
31/08/2013;0;;2017;1555,4;;631,4;;;1,613389549;4,840168647;extremamente chuvoso
30/09/2013;62;;2018;1033,8;;109,8;;;0,280567267;0,841701801;chuvoso
31/10/2013;129,2;;2019;921,6;;-2,4;;;-0,006132618;-0,018397854;seco
30/11/2013;63;;2020;669;;-255;;;-0,651590648;-1,954771943;seco
31/12/2013;115,8;;2021;0;;-924;;;-2,361057877;-7,08317363;extremamente seco 
31/01/2014;62,2;;;;;;;;;;
28/02/2014;68,2;;;;;;;;;;
31/03/2014;147,4;;;;;;;;;;
30/04/2014;83;;;;;;;;;;
31/05/2014;39,4;;;;;;;;;;
30/06/2014;14,8;;;;;;;;;;
31/07/2014;87,2;;;;;;;;;;
31/08/2014;6,4;;;;;;;;;;
30/09/2014;160,2;;;;;;;;;;
31/10/2014;55,4;;;;;;;;;;
30/11/2014;194,6;;;;;;;;;;
31/12/2014;127,8;;;;;;;;;;
31/01/2015;257;;;;;;;;;;
28/02/2015;231,4;;;;;;;;;;
31/03/2015;178,4;;;;;;;;;;
30/04/2015;65,6;;;;;;;;;;
31/05/2015;77;;;;;;;;;;
30/06/2015;29;;;;;;;;;;
31/07/2015;119,4;;;;;;;;;;
31/08/2015;10,8;;;;;;;;;;
30/09/2015;146,8;;;;;;;;;;
31/10/2015;253,2;;;;;;;;;;
30/11/2015;257;;;;;;;;;;
31/12/2015;null;;;;;;;;;;
31/01/2016;null;;;;;;;;;;
29/02/2016;161,8;;;;;;;;;;
31/03/2016;79;;;;;;;;;;
30/04/2016;59,4;;;;;;;;;;
31/05/2016;132;;;;;;;;;;
30/06/2016;39,8;;;;;;;;;;
31/07/2016;12,8;;;;;;;;;;
31/08/2016;86,6;;;;;;;;;;
30/09/2016;38,2;;;;;;;;;;
31/10/2016;81,4;;;;;;;;;;
30/11/2016;94;;;;;;;;;;
31/12/2016;233,6;;;;;;;;;;
31/01/2017;235,6;;;;;;;;;;
28/02/2017;139,2;;;;;;;;;;
31/03/2017;130,2;;;;;;;;;;
30/04/2017;47,4;;;;;;;;;;
31/05/2017;139,6;;;;;;;;;;
30/06/2017;32,8;;;;;;;;;;
31/07/2017;0;;;;;;;;;;
31/08/2017;92,8;;;;;;;;;;
30/09/2017;16,4;;;;;;;;;;
31/10/2017;244,6;;;;;;;;;;
30/11/2017;250;;;;;;;;;;
31/12/2017;226,8;;;;;;;;;;
31/01/2018;97,2;;;;;;;;;;
28/02/2018;43,6;;;;;;;;;;
31/03/2018;79,8;;;;;;;;;;
30/04/2018;15;;;;;;;;;;
31/05/2018;23;;;;;;;;;;
30/06/2018;28;;;;;;;;;;
31/07/2018;0;;;;;;;;;;
31/08/2018;56,4;;;;;;;;;;
30/09/2018;109,6;;;;;;;;;;
31/10/2018;384,6;;;;;;;;;;
30/11/2018;43,2;;;;;;;;;;
31/12/2018;153,4;;;;;;;;;;
31/01/2019;67,2;;;;;;;;;;
28/02/2019;246,2;;;;;;;;;;
31/03/2019;null;;;;;;;;;;
30/04/2019;null;;;;;;;;;;
31/05/2019;47;;;;;;;;;;
30/06/2019;20;;;;;;;;;;
31/07/2019;43,2;;;;;;;;;;
31/08/2019;0;;;;;;;;;;
30/09/2019;63,6;;;;;;;;;;
31/10/2019;77,4;;;;;;;;;;
30/11/2019;114;;;;;;;;;;
31/12/2019;243;;;;;;;;;;
31/01/2020;191,2;;;;;;;;;;
29/02/2020;215,6;;;;;;;;;;
31/03/2020;42,4;;;;;;;;;;
30/04/2020;80;;;;;;;;;;
31/05/2020;53;;;;;;;;;;
30/06/2020;86,8;;;;;;;;;;
31/07/2020;null;;;;;;;;;;
31/08/2020;null;;;;;;;;;;
30/09/2020;null;;;;;;;;;;
31/10/2020;null;;;;;;;;;;
30/11/2020;null;;;;;;;;;;
31/12/2020;null;;;;;;;;;;
31/01/2021;null;;;;;;;;;;
28/02/2021;null;;;;;;;;;;
31/03/2021;null;;;;;;;;;;
30/04/2021;null;;;;;;;;;;
31/05/2021;null;;;;;;;;;;
30/06/2021;null;;;;;;;;;;
31/07/2021;null;;;;;;;;;;
31/08/2021;null;;;;;;;;;;
30/09/2021;null;;;;;;;;;;
31/10/2021;null;;;;;;;;;;
30/11/2021;null;;;;;;;;;;
31/12/2021;null;;;;;;;;;;
