time;prec;;;;;;;;;;;
31/08/2011;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/09/2011;63,6;;;2011;424,6;960,6;-536;1411,88;451,28;-1,187732672;-3,563198015;muito seco
31/10/2011;117,8;;;2012;1120,8;;160,2;;;0,35499025;1,06497075;chuvoso
30/11/2011;193,8;;;2013;1068,2;;107,6;;;0,238432902;0,715298706;chuvoso
31/12/2011;49,4;;;2014;1424,8;;464,2;;;1,028629676;3,085889027;muito chuvoso
31/01/2012;126,2;;;2015;1792,2;;831,6;;;1,842758376;5,528275129;extremamente chuvoso
29/02/2012;144,8;;;2016;1431,4;;470,8;;;1,043254742;3,129764226;muito chuvoso
31/03/2012;177,6;;;2017;850,6;;-110;;;-0,243751108;-0,731253324;seco
30/04/2012;133,6;;;2018;1044,4;;83,8;;;0,185694026;0,557082078;chuvoso
31/05/2012;146,6;;;2019;1290,2;;329,6;;;0,730366956;2,191100869;muito chuvoso
30/06/2012;226;;;2020;119,4;;-841,2;;;-1,8640312;-5,5920936;extremamente seco
31/07/2012;20,2;;;2021;0;;-960,6;;;-2,128611948;-6,385835845;extremamente seco
31/08/2012;17,8;;;;;;;;;;;
30/09/2012;39,6;;;;;;;;;;;
31/10/2012;88,4;;;;;;;;;;;
30/11/2012;0;;;;;;;;;;;
31/12/2012;null;;;;;;;;;;;
31/01/2013;nullB30;;;;;;;;;;;
28/02/2013;null;;;;;;;;;;;
31/03/2013;null;;;;;;;;;;;
30/04/2013;0;;;;;;;;;;;
31/05/2013;165,4;;;;;;;;;;;
30/06/2013;219,2;;;;;;;;;;;
31/07/2013;31,4;;;;;;;;;;;
31/08/2013;0,6;;;;;;;;;;;
30/09/2013;59;;;;;;;;;;;
31/10/2013;209,6;;;;;;;;;;;
30/11/2013;221,4;;;;;;;;;;;
31/12/2013;161,6;;;;;;;;;;;
31/01/2014;159,6;;;;;;;;;;;
28/02/2014;131,8;;;;;;;;;;;
31/03/2014;165,2;;;;;;;;;;;
30/04/2014;186,2;;;;;;;;;;;
31/05/2014;212,6;;;;;;;;;;;
30/06/2014;120,8;;;;;;;;;;;
31/07/2014;109;;;;;;;;;;;
31/08/2014;23,6;;;;;;;;;;;
30/09/2014;107,4;;;;;;;;;;;
31/10/2014;null;;;;;;;;;;;
30/11/2014;null;;;;;;;;;;;
31/12/2014;208,6;;;;;;;;;;;
31/01/2015;89;;;;;;;;;;;
28/02/2015;113,4;;;;;;;;;;;
31/03/2015;104,4;;;;;;;;;;;
30/04/2015;227;;;;;;;;;;;
31/05/2015;194,6;;;;;;;;;;;
30/06/2015;97;;;;;;;;;;;
31/07/2015;147,8;;;;;;;;;;;
31/08/2015;5,6;;;;;;;;;;;
30/09/2015;150,2;;;;;;;;;;;
