time;prec;;;;;;;;;;
31/08/2018;null;;time;n;n_barr;m_barr;n- n_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/09/2018;206;;2018;672,4;720,1;1026,7;-47,7;306,6;-0,155577299;-0,466731898;seco
31/10/2018;174,4;;2019;417,2;;;-302,9;;-0,987932159;-2,963796477;muito seco
30/11/2018;177,4;;2020;1381;;;660,9;;2,155577299;6,466731898;extremamente chuvoso 
31/12/2018;114,6;;2021;409,8;;;-310,3;;-1,012067841;-3,036203523;muito seco
31/01/2019;36;;;;;;;;;;
28/02/2019;101,2;;;;;;;;;;
31/03/2019;null;;;;;;;;;;
30/04/2019;null;;;;;;;;;;
31/05/2019;null;;;;;;;;;;
30/06/2019;null;;;;;;;;;;
31/07/2019;null;;;;;;;;;;
31/08/2019;null;;;;;;;;;;
30/09/2019;null;;;;;;;;;;
31/10/2019;null;;;;;;;;;;
30/11/2019;84,4;;;;;;;;;;
31/12/2019;195,6;;;;;;;;;;
31/01/2020;261,8;;;;;;;;;;
29/02/2020;153,2;;;;;;;;;;
31/03/2020;107,4;;;;;;;;;;
30/04/2020;105,2;;;;;;;;;;
31/05/2020;63,2;;;;;;;;;;
30/06/2020;59,2;;;;;;;;;;
31/07/2020;17,8;;;;;;;;;;
31/08/2020;96,6;;;;;;;;;;
30/09/2020;45,2;;;;;;;;;;
31/10/2020;169,2;;;;;;;;;;
30/11/2020;141;;;;;;;;;;
31/12/2020;161,2;;;;;;;;;;
31/01/2021;180,2;;;;;;;;;;
28/02/2021;85;;;;;;;;;;
31/03/2021;79,4;;;;;;;;;;
30/04/2021;61,4;;;;;;;;;;
31/05/2021;3,8;;;;;;;;;;
30/06/2021;null;;;;;;;;;;
31/07/2021;null;;;;;;;;;;
31/08/2021;null;;;;;;;;;;
30/09/2021;null;;;;;;;;;;
31/10/2021;null;;;;;;;;;;
30/11/2021;null;;;;;;;;;;
31/12/2021;null;;;;;;;;;;
