time;prec;;;;;;;;;
31/03/2018;null;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3
30/04/2018;12.2;;2018;39;;;;;;
31/05/2018;77.2;;2019;0;;;;;;
30/06/2018;14.6;;2020;;;;;;;
31/07/2018;1.4;;2021;;;;;;;
31/08/2018;39;;;;;;;;;
30/09/2018;191.4;;;;;;;;;
31/10/2018;448.6;;;;;;;;;
30/11/2018;121.6;;;;;;;;;
31/12/2018;146.8;;;;;;;;;
31/01/2019;94.6;;;;;;;;;
28/02/2019;null;;;;;;;;;
31/03/2019;null;;;;;;;;;
30/04/2019;null;;;;;;;;;
31/05/2019;null;;;;;;;;;
30/06/2019;null;;;;;;;;;
31/07/2019;null;;;;;;;;;
31/08/2019;null;;;;;;;;;
30/09/2019;null;;;;;;;;;
31/10/2019;null;;;;;;;;;
30/11/2019;null;;;;;;;;;
31/12/2019;null;;;;;;;;;
31/01/2020;null;;;;;;;;;
29/02/2020;null;;;;;;;;;
31/03/2020;null;;;;;;;;;
30/04/2020;null;;;;;;;;;
31/05/2020;56.6;;;;;;;;;
30/06/2020;40.2;;;;;;;;;
31/07/2020;14.4;;;;;;;;;
31/08/2020;61.6;;;;;;;;;
30/09/2020;15;;;;;;;;;
31/10/2020;108.2;;;;;;;;;
30/11/2020;null;;;;;;;;;
31/12/2020;122.8;;;;;;;;;
31/01/2021;350.8;;;;;;;;;
28/02/2021;85.2;;;;;;;;;
31/03/2021;null;;;;;;;;;
30/04/2021;null;;;;;;;;;
31/05/2021;null;;;;;;;;;
30/06/2021;null;;;;;;;;;
31/07/2021;null;;;;;;;;;
31/08/2021;null;;;;;;;;;
30/09/2021;null;;;;;;;;;
31/10/2021;null;;;;;;;;;
30/11/2021;null;;;;;;;;;
31/12/2021;null;;;;;;;;;
