time;prec;temp
28/02/2018;null;null
31/03/2018;null;null
30/04/2018;null;null
31/05/2018;47.2;21.553.401
30/06/2018;3.8;19.790.257
31/07/2018;0;20.534.409
31/08/2018;14.6;21.058.199
30/09/2018;137.4;22.995.707
31/10/2018;159.4;25.265.896
30/11/2018;242.6;24.695.814
31/12/2018;86.2;25.737.851
31/01/2019;234.4;25.451.917
28/02/2019;144.4;24.849.321
31/03/2019;58;24.589.571
30/04/2019;null;24.301.716
31/05/2019;null;null
30/06/2019;null;null
31/07/2019;null;null
31/08/2019;null;null
30/09/2019;null;null
31/10/2019;null;null
30/11/2019;null;null
31/12/2019;null;null
31/01/2020;null;null
29/02/2020;null;null
31/03/2020;null;null
30/04/2020;null;null
31/05/2020;null;null
30/06/2020;null;null
31/07/2020;null;null
31/08/2020;null;null
30/09/2020;null;null
31/10/2020;null;null
30/11/2020;null;null
31/12/2020;null;null
31/01/2021;null;null
28/02/2021;null;null
31/03/2021;null;null
30/04/2021;null;null
31/05/2021;null;null
30/06/2021;null;null
31/07/2021;null;null
31/08/2021;null;null
30/09/2021;null;null
31/10/2021;null;null
30/11/2021;null;null
31/12/2021;183;25.171.756
