time;prec;;;;;;;;;;
31/03/2008;null;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/04/2008;null;;2008;4,6;843,4285714;-838,8285714;1343,833333;500,4047619;-1,676300138;-5,028900414;extremamente seco
31/05/2008;null;;2009;0;;-843,4285714;;;-1,685492696;-5,056478089;extremamente seco
30/06/2008;0;;2010;0,4;;-843,0285714;;;-1,684693343;-5,05408003;extremamente seco
31/07/2008;0;;2011;596,2;;-247,2285714;;;-0,494057192;-1,482171575;seco
31/08/2008;4,4;;2012;1483,4;;639,9714286;;;1,278907551;3,836722653;muito chuvoso 
30/09/2008;0,2;;2013;1357;;513,5714286;;;1,026312033;3,078936099;muito chuvoso 
31/10/2008;null;;2014;1123,4;;279,9714286;;;0,559489937;1,67846981;chuvoso
30/11/2008;null;;2015;1441,6;;598,1714286;;;1,195375172;3,586125517;muito chuvoso 
31/12/2008;null;;2016;558,8;;-284,6285714;;;-0,568796688;-1,706390065;seco
31/01/2009;null;;2017;1744;;900,5714286;;;1,799685969;5,399057906;extremamente chuvoso
28/02/2009;null;;2018;1062,8;;219,3714286;;;0,438387972;1,315163915;chuvoso
31/03/2009;null;;2019;1114,8;;271,3714286;;;0,542303849;1,626911548;chuvoso
30/04/2009;null;;2020;1155,8;;312,3714286;;;0,624237522;1,872712566;chuvoso
31/05/2009;null;;2021;165,2;;-678,2285714;;;-1,355359947;-4,06607984;extremamente seco
30/06/2009;null;;;;;;;;;;
31/07/2009;null;;;;;;;;;;
31/08/2009;null;;;;;;;;;;
30/09/2009;null;;;;;;;;;;
31/10/2009;null;;;;;;;;;;
30/11/2009;null;;;;;;;;;;
31/12/2009;null;;;;;;;;;;
31/01/2010;null;;;;;;;;;;
28/02/2010;null;;;;;;;;;;
31/03/2010;null;;;;;;;;;;
30/04/2010;null;;;;;;;;;;
31/05/2010;null;;;;;;;;;;
30/06/2010;null;;;;;;;;;;
31/07/2010;0,4;;;;;;;;;;
31/08/2010;0;;;;;;;;;;
30/09/2010;null;;;;;;;;;;
31/10/2010;null;;;;;;;;;;
30/11/2010;null;;;;;;;;;;
31/12/2010;null;;;;;;;;;;
31/01/2011;null;;;;;;;;;;
28/02/2011;null;;;;;;;;;;
31/03/2011;null;;;;;;;;;;
30/04/2011;103,8;;;;;;;;;;
31/05/2011;7,8;;;;;;;;;;
30/06/2011;37,4;;;;;;;;;;
31/07/2011;1,6;;;;;;;;;;
31/08/2011;6;;;;;;;;;;
30/09/2011;10,4;;;;;;;;;;
31/10/2011;148,6;;;;;;;;;;
30/11/2011;117,8;;;;;;;;;;
31/12/2011;162,8;;;;;;;;;;
31/01/2012;269;;;;;;;;;;
29/02/2012;187,8;;;;;;;;;;
31/03/2012;201;;;;;;;;;;
30/04/2012;59;;;;;;;;;;
31/05/2012;129,2;;;;;;;;;;
30/06/2012;134,2;;;;;;;;;;
31/07/2012;4,6;;;;;;;;;;
31/08/2012;0;;;;;;;;;;
30/09/2012;56,4;;;;;;;;;;
31/10/2012;32,4;;;;;;;;;;
30/11/2012;195,8;;;;;;;;;;
31/12/2012;214;;;;;;;;;;
31/01/2013;329,6;;;;;;;;;;
28/02/2013;190,8;;;;;;;;;;
31/03/2013;213,8;;;;;;;;;;
30/04/2013;106,2;;;;;;;;;;
31/05/2013;15,4;;;;;;;;;;
30/06/2013;30,6;;;;;;;;;;
31/07/2013;8,8;;;;;;;;;;
31/08/2013;0;;;;;;;;;;
30/09/2013;50,4;;;;;;;;;;
31/10/2013;133,6;;;;;;;;;;
30/11/2013;122;;;;;;;;;;
31/12/2013;155,8;;;;;;;;;;
31/01/2014;74,8;;;;;;;;;;
28/02/2014;126,6;;;;;;;;;;
31/03/2014;220,8;;;;;;;;;;
30/04/2014;74,6;;;;;;;;;;
31/05/2014;65,4;;;;;;;;;;
30/06/2014;9,2;;;;;;;;;;
31/07/2014;103,2;;;;;;;;;;
31/08/2014;0;;;;;;;;;;
30/09/2014;44,6;;;;;;;;;;
31/10/2014;46,6;;;;;;;;;;
30/11/2014;197,8;;;;;;;;;;
31/12/2014;159,8;;;;;;;;;;
31/01/2015;82,2;;;;;;;;;;
28/02/2015;226,6;;;;;;;;;;
31/03/2015;146,2;;;;;;;;;;
30/04/2015;36,6;;;;;;;;;;
31/05/2015;112;;;;;;;;;;
30/06/2015;32,8;;;;;;;;;;
31/07/2015;70,2;;;;;;;;;;
31/08/2015;25,8;;;;;;;;;;
30/09/2015;58,6;;;;;;;;;;
31/10/2015;52,6;;;;;;;;;;
30/11/2015;277;;;;;;;;;;
31/12/2015;321;;;;;;;;;;
31/01/2016;187,6;;;;;;;;;;
29/02/2016;null;;;;;;;;;;
31/03/2016;21,8;;;;;;;;;;
30/04/2016;16,8;;;;;;;;;;
31/05/2016;null;;;;;;;;;;
30/06/2016;27;;;;;;;;;;
31/07/2016;0,4;;;;;;;;;;
31/08/2016;15,4;;;;;;;;;;
30/09/2016;20,6;;;;;;;;;;
31/10/2016;null;;;;;;;;;;
30/11/2016;null;;;;;;;;;;
31/12/2016;269,2;;;;;;;;;;
31/01/2017;513,4;;;;;;;;;;
28/02/2017;151;;;;;;;;;;
31/03/2017;167,2;;;;;;;;;;
30/04/2017;47,2;;;;;;;;;;
31/05/2017;133,2;;;;;;;;;;
30/06/2017;0,4;;;;;;;;;;
31/07/2017;0;;;;;;;;;;
31/08/2017;0;;;;;;;;;;
30/09/2017;0,6;;;;;;;;;;
31/10/2017;85,4;;;;;;;;;;
30/11/2017;317;;;;;;;;;;
31/12/2017;328,6;;;;;;;;;;
31/01/2018;243,2;;;;;;;;;;
28/02/2018;165,2;;;;;;;;;;
31/03/2018;109,4;;;;;;;;;;
30/04/2018;49;;;;;;;;;;
31/05/2018;null;;;;;;;;;;
30/06/2018;null;;;;;;;;;;
