time;prec;;;;;;;;;;;;;
31/12/2012;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/01/2013;484,4;;;;;2013;1647;975,8888889;671,1111111;1584,55;608,6611111;1,102602251;3,307806753;muito chuvoso
28/02/2013;301,8;;;;;2014;1984,4;;1008,511111;;608,6611111;1,656933707;4,970801121;extremamente chuvoso
31/03/2013;216;;;;;2015;1172,8;;196,9111111;;608,6611111;0,323515184;0,970545551;chuvoso
30/04/2013;56,6;;;;;2016;944,8;;-31,08888889;;608,6611111;-0,051077502;-0,153232505;seco
31/05/2013;10;;;;;2017;149;;-826,8888889;;608,6611111;-1,358537409;-4,075612227;extremamente seco
30/06/2013;48,4;;;;;2018;1534;;558,1111111;;608,6611111;0,916948859;2,750846576;muito chuvoso
31/07/2013;18,4;;;;;2019;1015,2;;39,31111111;;608,6611111;0,064586205;0,193758614;chuvoso
31/08/2013;0,2;;;;;2020;195,8;;-780,0888889;;608,6611111;-1,281647332;-3,844941995;muito seco
30/09/2013;42,4;;;;;2021;140;;-835,8888889;;608,6611111;-1,373323962;-4,119971887;extremamente seco
31/10/2013;111,8;;;;;;;;;;;;;
30/11/2013;185,2;;;;;;;;;;;;;
31/12/2013;171,8;;;;;;;;;;;;;
31/01/2014;266;;;;;;;;;;;;;
28/02/2014;318;;;;;;;;;;;;;
31/03/2014;330,4;;;;;;;;;;;;;
30/04/2014;129,6;;;;;;;;;;;;;
31/05/2014;31,2;;;;;;;;;;;;;
30/06/2014;15,2;;;;;;;;;;;;;
31/07/2014;166;;;;;;;;;;;;;
31/08/2014;0;;;;;;;;;;;;;
30/09/2014;102,4;;;;;;;;;;;;;
31/10/2014;40,8;;;;;;;;;;;;;
30/11/2014;237;;;;;;;;;;;;;
31/12/2014;347,8;;;;;;;;;;;;;
31/01/2015;110,8;;;;;;;;;;;;;
28/02/2015;187,6;;;;;;;;;;;;;
31/03/2015;239,8;;;;;;;;;;;;;
30/04/2015;70,8;;;;;;;;;;;;;
31/05/2015;169,2;;;;;;;;;;;;;
30/06/2015;25,6;;;;;;;;;;;;;
31/07/2015;13,6;;;;;;;;;;;;;
31/08/2015;26,2;;;;;;;;;;;;;
30/09/2015;32,8;;;;;;;;;;;;;
31/10/2015;null;;;;;;;;;;;;;
30/11/2015;57,2;;;;;;;;;;;;;
31/12/2015;239,2;;;;;;;;;;;;;
31/01/2016;382,6;;;;;;;;;;;;;
29/02/2016;137,2;;;;;;;;;;;;;
31/03/2016;225;;;;;;;;;;;;;
30/04/2016;85,2;;;;;;;;;;;;;
31/05/2016;36;;;;;;;;;;;;;
30/06/2016;17;;;;;;;;;;;;;
31/07/2016;0;;;;;;;;;;;;;
31/08/2016;61,8;;;;;;;;;;;;;
30/09/2016;null;;;;;;;;;;;;;
31/10/2016;null;;;;;;;;;;;;;
30/11/2016;null;;;;;;;;;;;;;
31/12/2016;null;;;;;;;;;;;;;
31/01/2017;null;;;;;;;;;;;;;
28/02/2017;null;;;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;;;
31/05/2017;100,2;;;;;;;;;;;;;
30/06/2017;12,2;;;;;;;;;;;;;
31/07/2017;0;;;;;;;;;;;;;
31/08/2017;31;;;;;;;;;;;;;
30/09/2017;0,4;;;;;;;;;;;;;
31/10/2017;5,2;;;;;;;;;;;;;
30/11/2017;null;;;;;;;;;;;;;
31/12/2017;null;;;;;;;;;;;;;
31/01/2018;158;;;;;;;;;;;;;
28/02/2018;185,2;;;;;;;;;;;;;
31/03/2018;271,8;;;;;;;;;;;;;
30/04/2018;98,6;;;;;;;;;;;;;
31/05/2018;29,4;;;;;;;;;;;;;
30/06/2018;3;;;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;;;
31/08/2018;7,4;;;;;;;;;;;;;
30/09/2018;107,2;;;;;;;;;;;;;
31/10/2018;125,2;;;;;;;;;;;;;
30/11/2018;439,4;;;;;;;;;;;;;
31/12/2018;108,8;;;;;;;;;;;;;
31/01/2019;208,4;;;;;;;;;;;;;
28/02/2019;158,8;;;;;;;;;;;;;
31/03/2019;123,8;;;;;;;;;;;;;
30/04/2019;222,4;;;;;;;;;;;;;
31/05/2019;51,8;;;;;;;;;;;;;
