time;prec;;;;;;;;;;;;
30/11/2006;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/12/2006;330,2;;;;2007;1098,8;892,56;206,24;1169,114286;276,5542857;0,745748703;2,23724611;muito chuvoso
31/01/2007;257,4;;;;2008;1417,4;892,56;524,84;;276,5542857;1,89778292;5,693348761;extremamente chuvoso
28/02/2007;131,4;;;;2009;1724,6;892,56;832,04;;276,5542857;3,008595574;9,025786722;extremamente chuvoso
31/03/2007;107,6;;;;2010;987,8;892,56;95,24;;276,5542857;0,34438085;1,03314255;chuvoso
30/04/2007;14,4;;;;2011;835,2;892,56;-57,36;;276,5542857;-0,20740955;-0,622228651;seco
31/05/2007;62,2;;;;2012;963,6;892,56;71,04;;276,5542857;0,256875426;0,770626278;chuvoso
30/06/2007;0,2;;;;2013;1085;892,56;192,44;;276,5542857;0,695848916;2,087546749;muito chuvoso
31/07/2007;25;;;;2014;1796;892,56;903,44;;276,5542857;3,266772734;9,800318202;extremamente chuvoso
31/08/2007;1,2;;;;2015;906,6;892,56;14,04;;276,5542857;0,05076761;0,152302829;chuvoso
30/09/2007;9;;;;2016;539;892,56;-353,56;;276,5542857;-1,278447011;-3,835341034;muito seco
31/10/2007;62,4;;;;2017;798,4;892,56;-94,16;;276,5542857;-0,340475649;-1,021426948;seco
30/11/2007;278;;;;2018;722;892,56;-170,56;;276,5542857;-0,616732442;-1,850197326;seco
31/12/2007;150;;;;2019;321,6;892,56;-570,96;;276,5542857;-2,064549456;-6,193648367;extremamente seco
31/01/2008;353;;;;2020;139;892,56;-753,56;;276,5542857;-2,724817654;-8,174452962;extremamente seco
29/02/2008;162,8;;;;2021;53,4;892,56;-839,16;;276,5542857;-3,034340972;-9,103022915;extremamente seco
31/03/2008;100,2;;;;;;;;;;;;
30/04/2008;222,8;;;;;;;;;;;;
31/05/2008;21,2;;;;;;;;;;;;
30/06/2008;1,2;;;;;;;;;;;;
31/07/2008;0;;;;;;;;;;;;
31/08/2008;1,6;;;;;;;;;;;;
30/09/2008;27,4;;;;;;;;;;;;
31/10/2008;248;;;;;;;;;;;;
30/11/2008;145;;;;;;;;;;;;
31/12/2008;134,2;;;;;;;;;;;;
31/01/2009;144;;;;;;;;;;;;
28/02/2009;344,6;;;;;;;;;;;;
