time;prec;;;;;;;;;;;
31/10/2006;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/11/2006;71,6;;falta de dados;2006;354,8;671,225;-316,425;1086,085714;414,8607143;-0,762725872;-2,288177616;muito seco
31/12/2006;283,2;;;2007;1492,6;671,225;821,375;;414,8607143;1,979881372;5,939644115;extremamente chuvoso
31/01/2007;262,8;;;2008;832,8;671,225;161,575;;414,8607143;0,389468066;1,168404198;chuvoso
28/02/2007;279,6;;;2009;1168,8;671,225;497,575;;414,8607143;1,199378449;3,598135347;muito chuvoso
31/03/2007;179,6;;falta de dados;2010;0;671,225;-671,225;;414,8607143;-1,617952669;-4,853858007;extremamente seco
30/04/2007;46,8;;;2011;882,2;671,225;210,975;;414,8607143;0,508544176;1,525632527;chuvoso
31/05/2007;82,6;;;2012;1202,8;671,225;531,575;;414,8607143;1,281333666;3,844000999;muito chuvoso
30/06/2007;6,4;;;2013;1051,2;671,225;379,975;;414,8607143;0,915909815;2,747729444;muito chuvoso
31/07/2007;121,2;;;2014;929;671,225;257,775;;414,8607143;0,621353122;1,864059366;chuvoso
31/08/2007;37,2;;;2015;307;671,225;-364,225;;414,8607143;-0,877945266;-2,633835797;muito seco
30/09/2007;6,6;;;2016;333,4;671,225;-337,825;;414,8607143;-0,81430945;-2,442928349;muito seco
31/10/2007;118,8;;;2017;399,4;671,225;-271,825;;414,8607143;-0,65521991;-1,965659731;seco
30/11/2007;201,8;;;2018;972,2;671,225;300,975;;414,8607143;0,725484457;2,176453371;muito chuvoso
31/12/2007;149,2;;;2019;496,4;671,225;-174,825;;414,8607143;-0,421406496;-1,264219488;seco
31/01/2008;175,4;;falta de dados;2020;317;671,225;-354,225;;414,8607143;-0,85384079;-2,56152237;muito seco
29/02/2008;229,4;;falta de dados;2021;0;671,225;-671,225;;414,8607143;-1,617952669;-4,853858007;extremamente seco 
31/03/2008;50,8;;;;;;;;;;;
30/04/2008;140,6;;;;;;;;;;;
31/05/2008;27,8;;;;;;;;;;;
30/06/2008;18,4;;;;;;;;;;;
31/07/2008;21,4;;;;;;;;;;;
31/08/2008;32;;;;;;;;;;;
30/09/2008;38,6;;;;;;;;;;;
31/10/2008;74,8;;;;;;;;;;;
30/11/2008;6;;;;;;;;;;;
31/12/2008;17,6;;;;;;;;;;;
31/01/2009;71;;;;;;;;;;;
28/02/2009;157,8;;;;;;;;;;;
31/03/2009;66,6;;;;;;;;;;;
30/04/2009;0,2;;;;;;;;;;;
31/05/2009;96,8;;;;;;;;;;;
30/06/2009;null;;;;;;;;;;;
31/07/2009;null;;;;;;;;;;;
31/08/2009;102,2;;;;;;;;;;;
30/09/2009;38;;;;;;;;;;;
31/10/2009;184;;;;;;;;;;;
30/11/2009;120,4;;;;;;;;;;;
31/12/2009;331,8;;;;;;;;;;;
31/01/2010;null;;;;;;;;;;;
28/02/2010;null;;;;;;;;;;;
31/03/2010;null;;;;;;;;;;;
30/04/2010;null;;;;;;;;;;;
31/05/2010;null;;;;;;;;;;;
30/06/2010;null;;;;;;;;;;;
31/07/2010;null;;;;;;;;;;;
31/08/2010;null;;;;;;;;;;;
30/09/2010;null;;;;;;;;;;;
31/10/2010;null;;;;;;;;;;;
30/11/2010;null;;;;;;;;;;;
31/12/2010;null;;;;;;;;;;;
31/01/2011;null;;;;;;;;;;;
28/02/2011;null;;;;;;;;;;;
31/03/2011;95,2;;;;;;;;;;;
30/04/2011;171;;;;;;;;;;;
31/05/2011;7;;;;;;;;;;;
30/06/2011;104,2;;;;;;;;;;;
31/07/2011;84,2;;;;;;;;;;;
31/08/2011;9,4;;;;;;;;;;;
30/09/2011;55,8;;;;;;;;;;;
31/10/2011;145;;;;;;;;;;;
30/11/2011;155,8;;;;;;;;;;;
31/12/2011;54,6;;;;;;;;;;;
31/01/2012;116,8;;;;;;;;;;;
29/02/2012;132,2;;;;;;;;;;;
31/03/2012;106,6;;;;;;;;;;;
30/04/2012;139,2;;;;;;;;;;;
31/05/2012;72,6;;;;;;;;;;;
30/06/2012;210,8;;;;;;;;;;;
31/07/2012;11;;;;;;;;;;;
31/08/2012;0;;;;;;;;;;;
30/09/2012;50,8;;;;;;;;;;;
31/10/2012;97,8;;;;;;;;;;;
30/11/2012;186,2;;;;;;;;;;;
31/12/2012;78,8;;;;;;;;;;;
31/01/2013;64,4;;;;;;;;;;;
28/02/2013;162,4;;;;;;;;;;;
31/03/2013;219,4;;;;;;;;;;;
