time;prec;;;;;;;;;;;;
28/02/2018;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/03/2018;140,4;;;;2018;1119,6;1099,15;20,45;1145,4;46,25;0,442162162;1,326486486;chuvoso
30/04/2018;15;;;;2019;1041,6;1099,15;-57,55;;46,25;-1,244324324;-3,732972973;muito seco 
31/05/2018;62;;;;2020;1171,2;1099,15;72,05;;46,25;1,557837838;4,673513514;extremamente chuvoso
30/06/2018;27,2;;;;2021;1064,2;1099,15;-34,95;;46,25;-0,755675676;-2,267027027;muito seco 
31/07/2018;0;;;;;;;;;;;;
31/08/2018;89,8;;;;;;;;;;;;
30/09/2018;184,6;;;;;;;;;;;;
31/10/2018;266,4;;;;;;;;;;;;
30/11/2018;239,8;;;;;;;;;;;;
31/12/2018;94,4;;;;;;;;;;;;
31/01/2019;210,6;;;;;;;;;;;;
28/02/2019;204,8;;;;;;;;;;;;
31/03/2019;256,6;;;;;;;;;;;;
30/04/2019;40,6;;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;;
30/06/2019;null;;;;;;;;;;;;
31/07/2019;null;;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;
30/11/2019;109,2;;;;;;;;;;;;
31/12/2019;219,8;;;;;;;;;;;;
31/01/2020;163,4;;;;;;;;;;;;
29/02/2020;152,8;;;;;;;;;;;;
31/03/2020;89,8;;;;;;;;;;;;
30/04/2020;49;;;;;;;;;;;;
31/05/2020;100,4;;;;;;;;;;;;
30/06/2020;17,6;;;;;;;;;;;;
31/07/2020;12,2;;;;;;;;;;;;
31/08/2020;147,8;;;;;;;;;;;;
30/09/2020;40;;;;;;;;;;;;
31/10/2020;207,2;;;;;;;;;;;;
30/11/2020;78,8;;;;;;;;;;;;
31/12/2020;112,2;;;;;;;;;;;;
31/01/2021;303,8;;;;;;;;;;;;
28/02/2021;77,6;;;;;;;;;;;;
31/03/2021;64,6;;;;;;;;;;;;
30/04/2021;17,4;;;;;;;;;;;;
31/05/2021;43,4;;;;;;;;;;;;
30/06/2021;104,2;;;;;;;;;;;;
31/07/2021;3,2;;;;;;;;;;;;
31/08/2021;60,2;;;;;;;;;;;;
30/09/2021;91,2;;;;;;;;;;;;
31/10/2021;298,6;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
