time;prec;;;;;;;;;;;
31/05/2008;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/06/2008;null;;dados faltantes;2008;17;1138,671429;-1121,671429;1613,533333;474,8619048;-2,36210026;-7,086300779;extremamente seco
31/07/2008;17;;poucos dados;2009;464,6;1138,671429;-674,0714286;;474,8619048;-1,419510434;-4,258531302;extremamente seco
31/08/2008;null;;;2010;754,2;1138,671429;-384,4714286;;474,8619048;-0,80964892;-2,428946761;muito seco 
30/09/2008;null;;;2011;1049;1138,671429;-89,67142857;;474,8619048;-0,188836855;-0,566510564;seco 
31/10/2008;null;;;2012;848,2;1138,671429;-290,4714286;;474,8619048;-0,611696634;-1,835089901;seco 
30/11/2008;null;;;2013;1419,6;1138,671429;280,9285714;;474,8619048;0,591600566;1,774801697;chuvoso
31/12/2008;null;;;2014;1309;1138,671429;170,3285714;;474,8619048;0,358690747;1,076072242;chuvoso
31/01/2009;null;;;2015;2163,8;1138,671429;1025,128571;;474,8619048;2,158793033;6,476379098;extremamente chuvoso 
28/02/2009;null;;;2016;1302,8;1138,671429;164,1285714;;474,8619048;0,34563432;1,036902959;chuvoso
31/03/2009;null;;;2017;1765,8;1138,671429;627,1285714;;474,8619048;1,320654626;3,961963879;muito chuvoso 
30/04/2009;null;;;2018;1711,4;1138,671429;572,7285714;;474,8619048;1,206095005;3,618285015;muito chuvoso 
31/05/2009;null;;;2019;965,4;1138,671429;-173,2714286;;474,8619048;-0,364888038;-1,094664113;seco 
30/06/2009;null;;;2020;1311,6;1138,671429;172,9285714;;474,8619048;0,364166023;1,09249807;chuvoso
31/07/2009;null;;poucos dados;2021;859;1138,671429;-279,6714286;;474,8619048;-0,588953179;-1,766859538;seco 
31/08/2009;null;;;;;;;;;;;
30/09/2009;null;;;;;;;;;;;
31/10/2009;null;;;;;;;;;;;
30/11/2009;118;;;;;;;;;;;
31/12/2009;346,6;;;;;;;;;;;
31/01/2010;138,8;;;;;;;;;;;
28/02/2010;85;;;;;;;;;;;
31/03/2010;72,2;;;;;;;;;;;
30/04/2010;46,8;;;;;;;;;;;
31/05/2010;154,8;;;;;;;;;;;
30/06/2010;17,6;;;;;;;;;;;
31/07/2010;null;;;;;;;;;;;
31/08/2010;0;;;;;;;;;;;
30/09/2010;null;;;;;;;;;;;
31/10/2010;115,6;;;;;;;;;;;
