time;prec;;;;;;;;;;;;
28/02/2003;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/03/2003;null;;;dados faltantes;2003;0;776,0631579;-776,0631579;1288,222222;512,1590643;-1,5152776;-4,5458328;extremamente seco
30/04/2003;null;;;dados faltantes;2004;0;776,0631579;-776,0631579;;512,1590643;-1,5152776;-4,5458328;extremamente seco
31/05/2003;null;;;dados faltantes;2005;0;776,0631579;-776,0631579;;512,1590643;-1,5152776;-4,5458328;extremamente seco
30/06/2003;null;;;;2006;721;776,0631579;-55,06315789;;512,1590643;-0,107511829;-0,322535488;seco
31/07/2003;null;;;;2007;654;776,0631579;-122,0631579;;512,1590643;-0,238330563;-0,714991688;seco
31/08/2003;null;;;;2008;1261,8;776,0631579;485,7368421;;512,1590643;0,948410125;2,845230374;muito chuvoso
30/09/2003;null;;;;2009;1257,4;776,0631579;481,3368421;;512,1590643;0,939819044;2,819457131;muito chuvoso
31/10/2003;null;;;;2010;1506,6;776,0631579;730,5368421;;512,1590643;1,426386631;4,279159892;extremamente chuvoso
30/11/2003;null;;;;2011;1425,2;776,0631579;649,1368421;;512,1590643;1,267451632;3,802354897;muito chuvoso
31/12/2003;null;;;;2012;1395,6;776,0631579;619,5368421;;512,1590643;1,209657088;3,628971263;muito chuvoso
31/01/2004;null;;;;2013;1309,6;776,0631579;533,5368421;;512,1590643;1,041740505;3,125221514;muito chuvoso
29/02/2004;null;;;;2014;1093,4;776,0631579;317,3368421;;512,1590643;0,619606025;1,858818076;chuvoso
31/03/2004;null;;;;2015;542;776,0631579;-234,0631579;;512,1590643;-0,457012624;-1,371037872;seco
30/04/2004;null;;;dados faltantes;2016;26,2;776,0631579;-749,8631579;;512,1590643;-1,464121618;-4,392364854;extremamente seco
31/05/2004;null;;;;2017;812,8;776,0631579;36,73684211;;512,1590643;0,07172936;0,215188081;chuvoso
30/06/2004;null;;;;2018;1531,6;776,0631579;755,5368421;;512,1590643;1,475199591;4,425598772;extremamente chuvoso
31/07/2004;null;;;;2019;782,6;776,0631579;6,536842105;;512,1590643;0,012763305;0,038289914;chuvoso
31/08/2004;null;;;;2020;425,4;776,0631579;-350,6631579;;512,1590643;-0,68467627;-2,05402881;muito seco
30/09/2004;null;;;dados faltantes;2021;0;776,0631579;-776,0631579;;512,1590643;-1,5152776;-4,5458328;extremamente seco
31/10/2004;null;;;;;;;;;;;;
30/11/2004;null;;;;;;;;;;;;
31/12/2004;null;;;;;;;;;;;;
31/01/2005;null;;;;;;;;;;;;
28/02/2005;null;;;;;;;;;;;;
31/03/2005;null;;;;;;;;;;;;
30/04/2005;null;;;;;;;;;;;;
31/05/2005;null;;;;;;;;;;;;
30/06/2005;null;;;;;;;;;;;;
31/07/2005;null;;;;;;;;;;;;
31/08/2005;null;;;;;;;;;;;;
30/09/2005;null;;;;;;;;;;;;
31/10/2005;null;;;;;;;;;;;;
30/11/2005;null;;;;;;;;;;;;
31/12/2005;null;;;;;;;;;;;;
31/01/2006;null;;;;;;;;;;;;
28/02/2006;null;;;;;;;;;;;;
31/03/2006;153;;;;;;;;;;;;
30/04/2006;null;;;;;;;;;;;;
31/05/2006;null;;;;;;;;;;;;
30/06/2006;31;;;;;;;;;;;;
31/07/2006;36,8;;;;;;;;;;;;
31/08/2006;11,4;;;;;;;;;;;;
30/09/2006;100,4;;;;;;;;;;;;
31/10/2006;59,6;;;;;;;;;;;;
30/11/2006;66,6;;;;;;;;;;;;
31/12/2006;262,2;;;;;;;;;;;;
31/01/2007;152,4;;;;;;;;;;;;
28/02/2007;133;;;;;;;;;;;;
31/03/2007;null;;;;;;;;;;;;
30/04/2007;null;;;;;;;;;;;;
31/05/2007;null;;;;;;;;;;;;
30/06/2007;null;;;;;;;;;;;;
31/07/2007;null;;;;;;;;;;;;
31/08/2007;null;;;;;;;;;;;;
30/09/2007;3,4;;;;;;;;;;;;
31/10/2007;37,8;;;;;;;;;;;;
30/11/2007;207,8;;;;;;;;;;;;
31/12/2007;119,6;;;;;;;;;;;;
31/01/2008;220;;;;;;;;;;;;
29/02/2008;238;;;;;;;;;;;;
31/03/2008;47,4;;;;;;;;;;;;
30/04/2008;110,8;;;;;;;;;;;;
31/05/2008;50,6;;;;;;;;;;;;
30/06/2008;21,8;;;;;;;;;;;;
31/07/2008;1,6;;;;;;;;;;;;
31/08/2008;112,8;;;;;;;;;;;;
30/09/2008;75,4;;;;;;;;;;;;
31/10/2008;115,8;;;;;;;;;;;;
30/11/2008;202,8;;;;;;;;;;;;
31/12/2008;64,8;;;;;;;;;;;;
31/01/2009;237,8;;;;;;;;;;;;
28/02/2009;146,8;;;;;;;;;;;;
31/03/2009;81,6;;;;;;;;;;;;
30/04/2009;1;;;;;;;;;;;;
31/05/2009;112,2;;;;;;;;;;;;
30/06/2009;null;;;;;;;;;;;;
31/07/2009;null;;;;;;;;;;;;
31/08/2009;89,6;;;;;;;;;;;;
30/09/2009;72,4;;;;;;;;;;;;
31/10/2009;150,4;;;;;;;;;;;;
30/11/2009;177,6;;;;;;;;;;;;
31/12/2009;188;;;;;;;;;;;;
31/01/2010;253,4;;;;;;;;;;;;
28/02/2010;149,2;;;;;;;;;;;;
31/03/2010;90,4;;;;;;;;;;;;
30/04/2010;61,6;;;;;;;;;;;;
31/05/2010;106,6;;;;;;;;;;;;
30/06/2010;6,8;;;;;;;;;;;;
31/07/2010;40;;;;;;;;;;;;
31/08/2010;7;;;;;;;;;;;;
30/09/2010;298,4;;;;;;;;;;;;
31/10/2010;110,4;;;;;;;;;;;;
30/11/2010;149,4;;;;;;;;;;;;
31/12/2010;233,4;;;;;;;;;;;;
31/01/2011;205;;;;;;;;;;;;
28/02/2011;286,2;;;;;;;;;;;;
31/03/2011;137,4;;;;;;;;;;;;
30/04/2011;248,8;;;;;;;;;;;;
31/05/2011;5,4;;;;;;;;;;;;
30/06/2011;null;;;;;;;;;;;;
31/07/2011;null;;;;;;;;;;;;
31/08/2011;null;;;;;;;;;;;;
30/09/2011;57,2;;;;;;;;;;;;
31/10/2011;211,8;;;;;;;;;;;;
30/11/2011;159,6;;;;;;;;;;;;
31/12/2011;113,8;;;;;;;;;;;;
31/01/2012;136,6;;;;;;;;;;;;
29/02/2012;121;;;;;;;;;;;;
31/03/2012;88;;;;;;;;;;;;
30/04/2012;143;;;;;;;;;;;;
31/05/2012;86,2;;;;;;;;;;;;
30/06/2012;273,8;;;;;;;;;;;;
31/07/2012;16,2;;;;;;;;;;;;
31/08/2012;4,4;;;;;;;;;;;;
30/09/2012;117,2;;;;;;;;;;;;
31/10/2012;98,4;;;;;;;;;;;;
30/11/2012;158,4;;;;;;;;;;;;
31/12/2012;152,4;;;;;;;;;;;;
31/01/2013;83,6;;;;;;;;;;;;
28/02/2013;162;;;;;;;;;;;;
31/03/2013;213;;;;;;;;;;;;
30/04/2013;127,4;;;;;;;;;;;;
31/05/2013;46,4;;;;;;;;;;;;
30/06/2013;168,6;;;;;;;;;;;;
31/07/2013;24,6;;;;;;;;;;;;
31/08/2013;2,4;;;;;;;;;;;;
30/09/2013;94,2;;;;;;;;;;;;
31/10/2013;169,8;;;;;;;;;;;;
30/11/2013;121,8;;;;;;;;;;;;
31/12/2013;95,8;;;;;;;;;;;;
31/01/2014;null;;;;;;;;;;;;
28/02/2014;null;;;;;;;;;;;;
31/03/2014;143;;;;;;;;;;;;
30/04/2014;64,4;;;;;;;;;;;;
31/05/2014;140,6;;;;;;;;;;;;
30/06/2014;47,4;;;;;;;;;;;;
31/07/2014;151,4;;;;;;;;;;;;
31/08/2014;16,8;;;;;;;;;;;;
30/09/2014;149,6;;;;;;;;;;;;
31/10/2014;134,6;;;;;;;;;;;;
30/11/2014;125,6;;;;;;;;;;;;
31/12/2014;120;;;;;;;;;;;;
31/01/2015;139,4;;;;;;;;;;;;
28/02/2015;105,4;;;;;;;;;;;;
31/03/2015;null;;;;;;;;;;;;
30/04/2015;null;;;;;;;;;;;;
31/05/2015;0;;;;;;;;;;;;
30/06/2015;0;;;;;;;;;;;;
31/07/2015;0;;;;;;;;;;;;
31/08/2015;0;;;;;;;;;;;;
30/09/2015;198,4;;;;;;;;;;;;
31/10/2015;98,8;;;;;;;;;;;;
30/11/2015;null;;;;;;;;;;;;
31/12/2015;null;;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;
31/03/2016;null;;;;;;;;;;;;
30/04/2016;null;;;;;;;;;;;;
31/05/2016;null;;;;;;;;;;;;
30/06/2016;null;;;;;;;;;;;;
31/07/2016;null;;;;;;;;;;;;
31/08/2016;null;;;;;;;;;;;;
30/09/2016;26,2;;;;;;;;;;;;
31/10/2016;null;;;;;;;;;;;;
30/11/2016;null;;;;;;;;;;;;
31/12/2016;null;;;;;;;;;;;;
31/01/2017;151;;;;;;;;;;;;
28/02/2017;99,8;;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;;
30/04/2017;166,8;;;;;;;;;;;;
31/05/2017;173,8;;;;;;;;;;;;
30/06/2017;null;;;;;;;;;;;;
31/07/2017;null;;;;;;;;;;;;
31/08/2017;null;;;;;;;;;;;;
30/09/2017;null;;;;;;;;;;;;
31/10/2017;null;;;;;;;;;;;;
30/11/2017;null;;;;;;;;;;;;
31/12/2017;221,4;;;;;;;;;;;;
31/01/2018;166,4;;;;;;;;;;;;
28/02/2018;178,2;;;;;;;;;;;;
31/03/2018;286,6;;;;;;;;;;;;
30/04/2018;14,8;;;;;;;;;;;;
31/05/2018;47;;;;;;;;;;;;
30/06/2018;29,2;;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;;
31/08/2018;132,4;;;;;;;;;;;;
30/09/2018;152,6;;;;;;;;;;;;
31/10/2018;331,4;;;;;;;;;;;;
30/11/2018;148,6;;;;;;;;;;;;
31/12/2018;44,4;;;;;;;;;;;;
31/01/2019;145,2;;;;;;;;;;;;
28/02/2019;126,4;;;;;;;;;;;;
31/03/2019;94,6;;;;;;;;;;;;
30/04/2019;53,2;;;;;;;;;;;;
31/05/2019;28,2;;;;;;;;;;;;
30/06/2019;43,4;;;;;;;;;;;;
31/07/2019;54;;;;;;;;;;;;
31/08/2019;2,8;;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;;
31/12/2019;234,8;;;;;;;;;;;;
31/01/2020;165,4;;;;;;;;;;;;
29/02/2020;217,4;;;;;;;;;;;;
31/03/2020;42,6;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;
