time;prec;;;;;;;;;;;
31/08/2011;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/09/2011;79,2;;poucos dados;2011;329,2;984,1272727;-654,9272727;1326,24;342,1127273;-1,914361029;-5,743083088;extremamente seco
31/10/2011;71,8;;;2012;1209,2;984,1272727;225,0727273;;342,1127273;0,657890541;1,973671623;chuvoso
30/11/2011;129,6;;;2013;1514,2;984,1272727;530,0727273;;342,1127273;1,549409551;4,648228654;extremamente chuvoso
31/12/2011;48,6;;;2014;1108,2;984,1272727;124,0727273;;342,1127273;0,362666213;1,087998639;chuvoso
31/01/2012;138,4;;;2015;1543,8;984,1272727;559,6727273;;342,1127273;1,635930741;4,907792222;extremamente chuvoso
29/02/2012;114,6;;;2016;1182,2;984,1272727;198,0727273;;342,1127273;0,578969186;1,736907558;chuvoso
31/03/2012;173,2;;;2017;1181,8;984,1272727;197,6727273;;342,1127273;0,577799981;1,733399943;chuvoso
30/04/2012;117,4;;;2018;1057,4;984,1272727;73,27272727;;342,1127273;0,214177145;0,642531436;chuvoso
31/05/2012;66,2;;;2019;897;984,1272727;-87,12727273;;342,1127273;-0,254674164;-0,764022491;seco
30/06/2012;197,4;;;2020;746,4;984,1272727;-237,7272727;;342,1127273;-0,694879944;-2,084639832;muito seco
31/07/2012;null;;dados faltantes ;2021;56;984,1272727;-928,1272727;;342,1127273;-2,712928221;-8,138784664;extremamente secco
31/08/2012;null;;;;;;;;;;;
30/09/2012;64,8;;;;;;;;;;;
31/10/2012;111,6;;;;;;;;;;;
30/11/2012;154,4;;;;;;;;;;;
31/12/2012;71,2;;;;;;;;;;;
31/01/2013;56,8;;;;;;;;;;;
28/02/2013;259,6;;;;;;;;;;;
31/03/2013;117,6;;;;;;;;;;;
30/04/2013;298,2;;;;;;;;;;;
31/05/2013;74,4;;;;;;;;;;;
30/06/2013;201,2;;;;;;;;;;;
31/07/2013;16,4;;;;;;;;;;;
31/08/2013;6,2;;;;;;;;;;;
30/09/2013;48,6;;;;;;;;;;;
31/10/2013;207,4;;;;;;;;;;;
30/11/2013;118,6;;;;;;;;;;;
31/12/2013;109,2;;;;;;;;;;;
31/01/2014;86,6;;;;;;;;;;;
28/02/2014;89,2;;;;;;;;;;;
31/03/2014;151,6;;;;;;;;;;;
30/04/2014;85;;;;;;;;;;;
31/05/2014;null;;;;;;;;;;;
30/06/2014;71;;;;;;;;;;;
31/07/2014;126,6;;;;;;;;;;;
31/08/2014;24;;;;;;;;;;;
30/09/2014;45,4;;;;;;;;;;;
31/10/2014;7,8;;;;;;;;;;;
30/11/2014;284;;;;;;;;;;;
31/12/2014;137;;;;;;;;;;;
31/01/2015;165;;;;;;;;;;;
28/02/2015;147,6;;;;;;;;;;;
31/03/2015;30,2;;;;;;;;;;;
30/04/2015;135,4;;;;;;;;;;;
31/05/2015;146;;;;;;;;;;;
30/06/2015;57,8;;;;;;;;;;;
31/07/2015;98,8;;;;;;;;;;;
31/08/2015;11;;;;;;;;;;;
30/09/2015;197,8;;;;;;;;;;;
31/10/2015;170,4;;;;;;;;;;;
30/11/2015;174,4;;;;;;;;;;;
31/12/2015;209,4;;;;;;;;;;;
31/01/2016;295,8;;;;;;;;;;;
29/02/2016;324,2;;;;;;;;;;;
31/03/2016;null;;;;;;;;;;;
30/04/2016;null;;;;;;;;;;;
31/05/2016;null;;;;;;;;;;;
30/06/2016;null;;;;;;;;;;;
31/07/2016;13,8;;;;;;;;;;;
31/08/2016;86,8;;;;;;;;;;;
30/09/2016;21;;;;;;;;;;;
31/10/2016;73,6;;;;;;;;;;;
30/11/2016;64;;;;;;;;;;;
31/12/2016;303;;;;;;;;;;;
31/01/2017;63,4;;;;;;;;;;;
28/02/2017;198,6;;;;;;;;;;;
31/03/2017;50,8;;;;;;;;;;;
30/04/2017;161,4;;;;;;;;;;;
31/05/2017;209,4;;;;;;;;;;;
30/06/2017;50,8;;;;;;;;;;;
31/07/2017;0,2;;;;;;;;;;;
31/08/2017;64;;;;;;;;;;;
30/09/2017;11,4;;;;;;;;;;;
31/10/2017;202,4;;;;;;;;;;;
30/11/2017;169,4;;;;;;;;;;;
31/12/2017;null;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;
31/03/2018;null;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;
31/05/2018;110,4;;;;;;;;;;;
30/06/2018;36;;;;;;;;;;;
31/07/2018;0,2;;;;;;;;;;;
31/08/2018;55,6;;;;;;;;;;;
30/09/2018;232;;;;;;;;;;;
31/10/2018;329;;;;;;;;;;;
30/11/2018;182,6;;;;;;;;;;;
31/12/2018;111,6;;;;;;;;;;;
31/01/2019;34,6;;;;;;;;;;;
28/02/2019;158;;;;;;;;;;;
31/03/2019;154,2;;;;;;;;;;;
30/04/2019;66,8;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;
30/06/2019;9,6;;;;;;;;;;;
31/07/2019;49,4;;;;;;;;;;;
31/08/2019;9,4;;;;;;;;;;;
30/09/2019;15;;;;;;;;;;;
31/10/2019;74,6;;;;;;;;;;;
30/11/2019;112,6;;;;;;;;;;;
31/12/2019;212,8;;;;;;;;;;;
31/01/2020;278,4;;;;;;;;;;;
29/02/2020;173,2;;;;;;;;;;;
31/03/2020;46,4;;;;;;;;;;;
30/04/2020;80,8;;;;;;;;;;;
31/05/2020;134,2;;;;;;;;;;;
30/06/2020;33,4;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;
