time;prec;;;;;;;;;;;;
30/06/2008;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/07/2008;13,6;;;;2008;666,6;1184,557143;-517,9571429;1699,566667;515,0095238;-1,005723426;-3,017170279;muito seco
31/08/2008;202,4;;;;2009;1779,6;1184,557143;595,0428571;;515,0095238;1,155401657;3,466204971;muito chuvoso
30/09/2008;96,2;;;;2010;1473,4;1184,557143;288,8428571;;515,0095238;0,560849545;1,682548635;chuvoso
31/10/2008;119,4;;;;2011;1447,8;1184,557143;263,2428571;;515,0095238;0,511141726;1,533425179;chuvoso
30/11/2008;210,4;;;;2012;1446,2;1184,557143;261,6428571;;515,0095238;0,508034988;1,524104963;chuvoso
31/12/2008;24,6;;;;2013;1687,4;1184,557143;502,8428571;;515,0095238;0,976375841;2,929127524;muito chuvoso
31/01/2009;166,8;;;;2014;1575,2;1184,557143;390,6428571;;515,0095238;0,758515793;2,275547378;muito chuvoso
28/02/2009;190,6;;;;2015;1411,6;1184,557143;227,0428571;;515,0095238;0,440851764;1,322555293;chuvoso
31/03/2009;28;;;;2016;376,4;1184,557143;-808,1571429;;515,0095238;-1,569208151;-4,707624454;extremamente seco
30/04/2009;0;;;;2017;1734,8;1184,557143;550,2428571;;515,0095238;1,068412974;3,205238923;muito chuvoso
31/05/2009;54,6;;;;2018;1972,6;1184,557143;788,0428571;;515,0095238;1,530152008;4,590456025;extremamente chuvoso
30/06/2009;160,4;;;;2019;1011,4;1184,557143;-173,1571429;;515,0095238;-0,336221244;-1,008663733;seco
31/07/2009;138,8;;;falta de dados;2020;0,8;1184,557143;-1183,757143;;515,0095238;-2,298515053;-6,895545159;extremamente seco
31/08/2009;122,4;;;falta de dados;2021;0;1184,557143;-1184,557143;;515,0095238;-2,300068422;-6,900205267;extremamente seco
30/09/2009;108,2;;;;;;;;;;;;
31/10/2009;187,6;;;;;;;;;;;;
30/11/2009;277,8;;;;;;;;;;;;
31/12/2009;344,4;;;;;;;;;;;;
31/01/2010;264;;;;;;;;;;;;
28/02/2010;110,2;;;;;;;;;;;;
