time;prec;;;;;;;;;;;;;
30/11/2006;null;;;;;;;;;;;;;
31/12/2006;176,2;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/01/2007;262,6;;;;;2007;1166,2;834,0266667;332,1733333;1306,428571;472,4019048;0,703158328;2,109474983;muito chuvoso
28/02/2007;156;;;;;2008;1267,4;834,0266667;433,3733333;;472,4019048;0,917382697;2,75214809;muito chuvoso
31/03/2007;44;;;;;2009;1330,2;834,0266667;496,1733333;;472,4019048;1,050320349;3,150961046;muito chuvoso
30/04/2007;68;;;;;2010;1032,8;834,0266667;198,7733333;;472,4019048;0,420771659;1,262314978;chuvoso
31/05/2007;77,4;;;;;2011;434,6;834,0266667;-399,4266667;;472,4019048;-0,845522981;-2,536568943;muito seco
30/06/2007;0,2;;;;;2012;1289,8;834,0266667;455,7733333;;472,4019048;0,964799948;2,894399845;chuvoso
31/07/2007;32,2;;;;;2013;1429,6;834,0266667;595,5733333;;472,4019048;1,260734403;3,782203209;muito chuvoso
31/08/2007;5,8;;;;;2014;1382,2;834,0266667;548,1733333;;472,4019048;1,160396111;3,481188334;muito chuvoso
30/09/2007;12,4;;;;;2015;561,2;834,0266667;-272,8266667;;472,4019048;-0,577530835;-1,732592506;seco
31/10/2007;96;;;;;2016;1279,6;834,0266667;445,5733333;;472,4019048;0,943208164;2,829624492;muito chuvoso
30/11/2007;196;;;;;2017;1000,8;834,0266667;166,7733333;;472,4019048;0,353032728;1,059098185;chuvoso
31/12/2007;215,6;;;;dados faltantes ;2018;0;834,0266667;-834,0266667;;472,4019048;-1,765502337;-5,29650701;extremamente seco
31/01/2008;349,4;;;;poucos dados;2019;336;834,0266667;-498,0266667;;472,4019048;-1,054243562;-3,162730685;muito seco
29/02/2008;157,2;;;;dados faltantes ;2020;0;834,0266667;-834,0266667;;472,4019048;-1,765502337;-5,29650701;extremamente seco
31/03/2008;51,4;;;;dados faltantes ;2021;0;834,0266667;-834,0266667;;472,4019048;-1,765502337;-5,29650701;extremamente seco
30/04/2008;107;;;;;;;;;;;;;
31/05/2008;128;;;;;;;;;;;;;
30/06/2008;11,8;;;;;;;;;;;;;
31/07/2008;15,6;;;;;;;;;;;;;
31/08/2008;27,6;;;;;;;;;;;;;
30/09/2008;22,8;;;;;;;;;;;;;
31/10/2008;158;;;;;;;;;;;;;
30/11/2008;90,8;;;;;;;;;;;;;
31/12/2008;147,8;;;;;;;;;;;;;
31/01/2009;270,4;;;;;;;;;;;;;
28/02/2009;113;;;;;;;;;;;;;
31/03/2009;116,4;;;;;;;;;;;;;
30/04/2009;0;;;;;;;;;;;;;
31/05/2009;69,2;;;;;;;;;;;;;
30/06/2009;null;;;;;;;;;;;;;
31/07/2009;null;;;;;;;;;;;;;
31/08/2009;137,8;;;;;;;;;;;;;
30/09/2009;43,4;;;;;;;;;;;;;
31/10/2009;221;;;;;;;;;;;;;
30/11/2009;41,2;;;;;;;;;;;;;
31/12/2009;317,8;;;;;;;;;;;;;
31/01/2010;158,8;;;;;;;;;;;;;
28/02/2010;117,4;;;;;;;;;;;;;
31/03/2010;88,6;;;;;;;;;;;;;
30/04/2010;66;;;;;;;;;;;;;
31/05/2010;60,2;;;;;;;;;;;;;
30/06/2010;5,8;;;;;;;;;;;;;
31/07/2010;15,4;;;;;;;;;;;;;
31/08/2010;0;;;;;;;;;;;;;
30/09/2010;55,2;;;;;;;;;;;;;
31/10/2010;99,4;;;;;;;;;;;;;
30/11/2010;245;;;;;;;;;;;;;
31/12/2010;121;;;;;;;;;;;;;
31/01/2011;null;;;;;;;;;;;;;
28/02/2011;null;;;;;;;;;;;;;
31/03/2011;null;;;;;;;;;;;;;
30/04/2011;null;;;;;;;;;;;;;
31/05/2011;null;;;;;;;;;;;;;
30/06/2011;15,4;;;;;;;;;;;;;
31/07/2011;22,2;;;;;;;;;;;;;
31/08/2011;11,4;;;;;;;;;;;;;
30/09/2011;73,4;;;;;;;;;;;;;
31/10/2011;139,6;;;;;;;;;;;;;
30/11/2011;76,6;;;;;;;;;;;;;
31/12/2011;96;;;;;;;;;;;;;
31/01/2012;157;;;;;;;;;;;;;
29/02/2012;69,6;;;;;;;;;;;;;
31/03/2012;199;;;;;;;;;;;;;
30/04/2012;81;;;;;;;;;;;;;
31/05/2012;94,4;;;;;;;;;;;;;
30/06/2012;153,2;;;;;;;;;;;;;
31/07/2012;13,8;;;;;;;;;;;;;
31/08/2012;4,4;;;;;;;;;;;;;
30/09/2012;87,6;;;;;;;;;;;;;
31/10/2012;98,8;;;;;;;;;;;;;
30/11/2012;103;;;;;;;;;;;;;
31/12/2012;228;;;;;;;;;;;;;
31/01/2013;78;;;;;;;;;;;;;
28/02/2013;101,4;;;;;;;;;;;;;
31/03/2013;177,4;;;;;;;;;;;;;
30/04/2013;422,8;;;;;;;;;;;;;
31/05/2013;86,2;;;;;;;;;;;;;
30/06/2013;230,8;;;;;;;;;;;;;
31/07/2013;41,6;;;;;;;;;;;;;
31/08/2013;0,8;;;;;;;;;;;;;
30/09/2013;29;;;;;;;;;;;;;
31/10/2013;100,2;;;;;;;;;;;;;
30/11/2013;98,8;;;;;;;;;;;;;
31/12/2013;62,6;;;;;;;;;;;;;
31/01/2014;52,6;;;;;;;;;;;;;
28/02/2014;127,4;;;;;;;;;;;;;
31/03/2014;283,4;;;;;;;;;;;;;
30/04/2014;25,8;;;;;;;;;;;;;
31/05/2014;273,2;;;;;;;;;;;;;
30/06/2014;68;;;;;;;;;;;;;
31/07/2014;117,4;;;;;;;;;;;;;
31/08/2014;46,8;;;;;;;;;;;;;
30/09/2014;98,6;;;;;;;;;;;;;
31/10/2014;12,2;;;;;;;;;;;;;
30/11/2014;168,6;;;;;;;;;;;;;
31/12/2014;108,2;;;;;;;;;;;;;
31/01/2015;13,4;;;;;;;;;;;;;
28/02/2015;10,8;;;;;;;;;;;;;
31/03/2015;null;;;;;;;;;;;;;
30/04/2015;null;;;;;;;;;;;;;
31/05/2015;null;;;;;;;;;;;;;
30/06/2015;null;;;;;;;;;;;;;
31/07/2015;null;;;;;;;;;;;;;
31/08/2015;5,8;;;;;;;;;;;;;
30/09/2015;185,2;;;;;;;;;;;;;
31/10/2015;59,6;;;;;;;;;;;;;
30/11/2015;111,2;;;;;;;;;;;;;
31/12/2015;175,2;;;;;;;;;;;;;
31/01/2016;367,2;;;;;;;;;;;;;
29/02/2016;151,8;;;;;;;;;;;;;
31/03/2016;109,8;;;;;;;;;;;;;
30/04/2016;51,4;;;;;;;;;;;;;
31/05/2016;116;;;;;;;;;;;;;
30/06/2016;null;;;;;;;;;;;;;
31/07/2016;2,2;;;;;;;;;;;;;
31/08/2016;66,8;;;;;;;;;;;;;
30/09/2016;41,4;;;;;;;;;;;;;
31/10/2016;68,8;;;;;;;;;;;;;
30/11/2016;123,8;;;;;;;;;;;;;
31/12/2016;180,4;;;;;;;;;;;;;
31/01/2017;126,2;;;;;;;;;;;;;
28/02/2017;159;;;;;;;;;;;;;
31/03/2017;60;;;;;;;;;;;;;
30/04/2017;236,8;;;;;;;;;;;;;
31/05/2017;null;;;;;;;;;;;;;
30/06/2017;null;;;;;;;;;;;;;
31/07/2017;1,8;;;;;;;;;;;;;
31/08/2017;41,2;;;;;;;;;;;;;
30/09/2017;29,6;;;;;;;;;;;;;
31/10/2017;302,8;;;;;;;;;;;;;
