time;prec;;;;;;;;;;;;;
31/08/2006;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/09/2006;29,6;;;;;2006;524,2;643,9125;-119,7125;1029,028571;385,1160714;-0,310847843;-0,932543528;seco
31/10/2006;111,4;;;;;2007;846;643,9125;202,0875;;385,1160714;0,524744395;1,574233186;chuvoso
30/11/2006;174;;;;;2008;1183,6;643,9125;539,6875;;385,1160714;1,401363225;4,204089676;extremamente chuvoso
31/12/2006;209,2;;;;;2009;967,4;643,9125;323,4875;;385,1160714;0,839974034;2,519922101;muito chuvoso
31/01/2007;282,2;;;;;2010;648,8;643,9125;4,8875;;385,1160714;0,012690979;0,038072937;chuvoso
28/02/2007;208;;;;dados faltantes;2011;109;643,9125;-534,9125;;385,1160714;-1,388964366;-4,166893098;extremamente seco
31/03/2007;null;;;;;2012;1006,4;643,9125;362,4875;;385,1160714;0,941242204;2,823726613;muito chuvoso
30/04/2007;null;;;;;2013;616,4;643,9125;-27,5125;;385,1160714;-0,071439501;-0,214318503;seco
31/05/2007;null;;;;;2014;395,8;643,9125;-248,1125;;385,1160714;-0,64425382;-1,932761459;seco
30/06/2007;null;;;;;2015;531,4;643,9125;-112,5125;;385,1160714;-0,29215218;-0,876456541;seco
31/07/2007;null;;;;;2016;701,6;643,9125;57,6875;;385,1160714;0,149792502;0,449377507;chuvoso
31/08/2007;0;;;;;2017;1515;643,9125;871,0875;;385,1160714;2,261883013;6,785649039;extremamente chuvoso
30/09/2007;0;;;;;2018;983,2;643,9125;339,2875;;385,1160714;0,881000626;2,643001878;muito chuvoso
31/10/2007;75,8;;;;;2019;273,8;643,9125;-370,1125;;385,1160714;-0,96104143;-2,88312429;muito seco
30/11/2007;174,2;;;;dados faltantes;2020;0;643,9125;-643,9125;;385,1160714;-1,67199592;-5,015987759;extremamente seco
31/12/2007;105,8;;;;dados faltantes;2021;0;643,9125;-643,9125;;385,1160714;-1,67199592;-5,015987759;extremamente seco
31/01/2008;391,6;;;;;;;;;;;;;
29/02/2008;161,8;;;;;;;;;;;;;
31/03/2008;118,6;;;;;;;;;;;;;
30/04/2008;28;;;;;;;;;;;;;
31/05/2008;94,2;;;;;;;;;;;;;
30/06/2008;24,2;;;;;;;;;;;;;
31/07/2008;0,6;;;;;;;;;;;;;
31/08/2008;4,6;;;;;;;;;;;;;
30/09/2008;40,8;;;;;;;;;;;;;
31/10/2008;87,6;;;;;;;;;;;;;
30/11/2008;110,6;;;;;;;;;;;;;
31/12/2008;121;;;;;;;;;;;;;
31/01/2009;85,8;;;;;;;;;;;;;
28/02/2009;145,2;;;;;;;;;;;;;
31/03/2009;204,4;;;;;;;;;;;;;
30/04/2009;26,4;;;;;;;;;;;;;
31/05/2009;52,4;;;;;;;;;;;;;
30/06/2009;13,4;;;;;;;;;;;;;
