time;prec;;;;;;;;;;;;;
28/02/2018;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/03/2018;null;;;;;2018;885;736,3;148,7;868,1;131,8;1,128224583;3,384673748;muito chuvoso
30/04/2018;null;;;;;2019;676,4;736,3;-59,9;;131,8;-0,45447648;-1,363429439;seco
31/05/2018;38,2;;;;;2020;851,2;736,3;114,9;;131,8;0,871775417;2,615326252;muito chuvoso
30/06/2018;35,8;;;;;2021;532,6;736,3;-203,7;;131,8;-1,54552352;-4,636570561;extremamente seco
31/07/2018;2;;;;;;;;;;;;;
31/08/2018;92;;;;;;;;;;;;;
30/09/2018;137,2;;;;;;;;;;;;;
31/10/2018;178,4;;;;;;;;;;;;;
30/11/2018;295,2;;;;;;;;;;;;;
31/12/2018;106,2;;;;;;;;;;;;;
31/01/2019;76,2;;;;;;;;;;;;;
28/02/2019;144,8;;;;;;;;;;;;;
31/03/2019;null;;;;;;;;;;;;;
30/04/2019;null;;;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;;;
30/06/2019;null;;;;;;;;;;;;;
31/07/2019;null;;;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;;
30/11/2019;141,6;;;;;;;;;;;;;
31/12/2019;313,8;;;;;;;;;;;;;
31/01/2020;167,6;;;;;;;;;;;;;
29/02/2020;177,2;;;;;;;;;;;;;
31/03/2020;70;;;;;;;;;;;;;
30/04/2020;68,2;;;;;;;;;;;;;
31/05/2020;69;;;;;;;;;;;;;
30/06/2020;49;;;;;;;;;;;;;
31/07/2020;1,8;;;;;;;;;;;;;
31/08/2020;222;;;;;;;;;;;;;
30/09/2020;26,4;;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;;
30/09/2021;31,2;;;;;;;;;;;;;
31/10/2021;335,6;;;;;;;;;;;;;
30/11/2021;110,4;;;;;;;;;;;;;
31/12/2021;55,4;;;;;;;;;;;;;
