time;prec;
30/04/2018;null;
31/05/2018;40;
30/06/2018;31,4;
31/07/2018;0;
31/08/2018;118,8;
30/09/2018;170,4;
31/10/2018;335;
30/11/2018;129;
31/12/2018;198,2;
31/01/2019;255,4;
28/02/2019;null;
31/03/2019;null;
30/04/2019;null;
31/05/2019;null;
30/06/2019;null;
31/07/2019;null;
31/08/2019;null;
30/09/2019;null;
31/10/2019;null;
30/11/2019;null;
31/12/2019;null;
31/01/2020;null;
29/02/2020;null;
31/03/2020;null;
30/04/2020;null;
31/05/2020;null;
30/06/2020;null;
31/07/2020;null;
31/08/2020;null;
30/09/2020;null;
31/10/2020;null;
30/11/2020;null;
31/12/2020;null;
31/01/2021;null;
28/02/2021;null;
31/03/2021;null;
30/04/2021;null;
31/05/2021;null;
30/06/2021;null;
31/07/2021;null;
31/08/2021;null;
30/09/2021;8;
31/10/2021;null;
30/11/2021;null;
31/12/2021;null;
