time;prec;;;;;;;;;;;;
30/11/2006;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/12/2006;399,8;;;;2007;1211,2;589,8533333;621,3466667;993,7428571;403,8895238;1,538407485;4,615222456;extremamente chuvoso
31/01/2007;560,8;;;;2008;411,4;589,8533333;-178,4533333;;403,8895238;-0,441836995;-1,325510984;seco
28/02/2007;98,2;;;;2009;1257;589,8533333;667,1466667;;403,8895238;1,651804831;4,955414493;extremamente chuvoso
31/03/2007;136,4;;;;2010;406,6;589,8533333;-183,2533333;;403,8895238;-0,453721433;-1,361164298;seco
30/04/2007;86,2;;;dados faltantes;2011;16;589,8533333;-573,8533333;;403,8895238;-1,420817574;-4,262452722;extremamente seco
31/05/2007;102,4;;;;2012;235,8;589,8533333;-354,0533333;;403,8895238;-0,876609351;-2,629828053;muito seco
30/06/2007;4,4;;;;2013;1185;589,8533333;595,1466667;;403,8895238;1,473538261;4,420614784;extremamente chuvoso
31/07/2007;43,2;;;;2014;1030,6;589,8533333;440,7466667;;403,8895238;1,091255506;3,273766518;muito chuvoso
31/08/2007;0;;;;2015;1061,8;589,8533333;471,9466667;;403,8895238;1,168504353;3,505513059;muito chuvoso
30/09/2007;23,2;;;;2016;598,8;589,8533333;8,946666667;;403,8895238;0,022151272;0,066453816;chuvoso
31/10/2007;76,8;;;;2017;611,8;589,8533333;21,94666667;;403,8895238;0,054338291;0,163014874;chuvoso
30/11/2007;79,6;;;;2018;427,6;589,8533333;-162,2533333;;403,8895238;-0,401727016;-1,205181049;seco
31/12/2007;null;;;;2019;394,2;589,8533333;-195,6533333;;403,8895238;-0,484422897;-1,453268692;seco
31/01/2008;null;;;dados faltantes;2020;0;589,8533333;-589,8533333;;403,8895238;-1,460432367;-4,381297102;extremamente seco
29/02/2008;null;;;dados faltantes;2021;0;589,8533333;-589,8533333;;403,8895238;-1,460432367;-4,381297102;extremamente seco
31/03/2008;null;;;;;;;;;;;;
30/04/2008;null;;;;;;;;;;;;
31/05/2008;null;;;;;;;;;;;;
30/06/2008;null;;;;;;;;;;;;
31/07/2008;null;;;;;;;;;;;;
31/08/2008;null;;;;;;;;;;;;
30/09/2008;null;;;;;;;;;;;;
31/10/2008;87;;;;;;;;;;;;
30/11/2008;142,4;;;;;;;;;;;;
31/12/2008;182;;;;;;;;;;;;
31/01/2009;308,6;;;;;;;;;;;;
28/02/2009;180;;;;;;;;;;;;
31/03/2009;166,6;;;;;;;;;;;;
30/04/2009;13,2;;;;;;;;;;;;
31/05/2009;35,4;;;;;;;;;;;;
30/06/2009;37;;;;;;;;;;;;
31/07/2009;11,8;;;;;;;;;;;;
31/08/2009;12,2;;;;;;;;;;;;
30/09/2009;24,4;;;;;;;;;;;;
31/10/2009;34,4;;;;;;;;;;;;
30/11/2009;117,8;;;;;;;;;;;;
31/12/2009;315,6;;;;;;;;;;;;
31/01/2010;344,2;;;;;;;;;;;;
28/02/2010;null;;;;;;;;;;;;
31/03/2010;null;;;;;;;;;;;;
30/04/2010;null;;;;;;;;;;;;
31/05/2010;null;;;;;;;;;;;;
30/06/2010;null;;;;;;;;;;;;
31/07/2010;0,4;;;;;;;;;;;;
31/08/2010;null;;;;;;;;;;;;
30/09/2010;null;;;;;;;;;;;;
31/10/2010;null;;;;;;;;;;;;
30/11/2010;62;;;;;;;;;;;;
31/12/2010;null;;;;;;;;;;;;
31/01/2011;null;;;;;;;;;;;;
28/02/2011;null;;;;;;;;;;;;
31/03/2011;null;;;;;;;;;;;;
30/04/2011;null;;;;;;;;;;;;
31/05/2011;null;;;;;;;;;;;;
30/06/2011;null;;;;;;;;;;;;
31/07/2011;null;;;;;;;;;;;;
31/08/2011;16;;;;;;;;;;;;
30/09/2011;null;;;;;;;;;;;;
31/10/2011;null;;;;;;;;;;;;
30/11/2011;null;;;;;;;;;;;;
31/12/2011;null;;;;;;;;;;;;
31/01/2012;null;;;;;;;;;;;;
29/02/2012;null;;;;;;;;;;;;
31/03/2012;null;;;;;;;;;;;;
30/04/2012;null;;;;;;;;;;;;
31/05/2012;null;;;;;;;;;;;;
30/06/2012;null;;;;;;;;;;;;
31/07/2012;null;;;;;;;;;;;;
31/08/2012;null;;;;;;;;;;;;
30/09/2012;null;;;;;;;;;;;;
31/10/2012;null;;;;;;;;;;;;
30/11/2012;null;;;;;;;;;;;;
31/12/2012;235,8;;;;;;;;;;;;
31/01/2013;190;;;;;;;;;;;;
28/02/2013;252,8;;;;;;;;;;;;
31/03/2013;218,8;;;;;;;;;;;;
30/04/2013;94,2;;;;;;;;;;;;
31/05/2013;20,6;;;;;;;;;;;;
30/06/2013;79,2;;;;;;;;;;;;
31/07/2013;24,4;;;;;;;;;;;;
31/08/2013;0;;;;;;;;;;;;
30/09/2013;15,4;;;;;;;;;;;;
31/10/2013;122,8;;;;;;;;;;;;
30/11/2013;52,4;;;;;;;;;;;;
31/12/2013;114,4;;;;;;;;;;;;
31/01/2014;101;;;;;;;;;;;;
28/02/2014;171,8;;;;;;;;;;;;
31/03/2014;181,8;;;;;;;;;;;;
30/04/2014;87,2;;;;;;;;;;;;
31/05/2014;16,6;;;;;;;;;;;;
30/06/2014;8;;;;;;;;;;;;
31/07/2014;102,4;;;;;;;;;;;;
31/08/2014;0;;;;;;;;;;;;
30/09/2014;null;;;;;;;;;;;;
31/10/2014;null;;;;;;;;;;;;
30/11/2014;176,8;;;;;;;;;;;;
31/12/2014;185;;;;;;;;;;;;
31/01/2015;96;;;;;;;;;;;;
28/02/2015;193,2;;;;;;;;;;;;
31/03/2015;153,2;;;;;;;;;;;;
30/04/2015;53,8;;;;;;;;;;;;
31/05/2015;124,6;;;;;;;;;;;;
30/06/2015;34,4;;;;;;;;;;;;
31/07/2015;37,8;;;;;;;;;;;;
31/08/2015;12,6;;;;;;;;;;;;
30/09/2015;57,4;;;;;;;;;;;;
31/10/2015;83,8;;;;;;;;;;;;
30/11/2015;215;;;;;;;;;;;;
31/12/2015;null;;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;
31/03/2016;null;;;;;;;;;;;;
30/04/2016;57;;;;;;;;;;;;
31/05/2016;155,8;;;;;;;;;;;;
30/06/2016;null;;;;;;;;;;;;
31/07/2016;2,2;;;;;;;;;;;;
31/08/2016;41,2;;;;;;;;;;;;
30/09/2016;51,2;;;;;;;;;;;;
31/10/2016;42,8;;;;;;;;;;;;
30/11/2016;118,2;;;;;;;;;;;;
31/12/2016;130,4;;;;;;;;;;;;
31/01/2017;null;;;;;;;;;;;;
28/02/2017;null;;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;;
30/04/2017;32,4;;;;;;;;;;;;
31/05/2017;34;;;;;;;;;;;;
30/06/2017;0,4;;;;;;;;;;;;
31/07/2017;0;;;;;;;;;;;;
31/08/2017;20;;;;;;;;;;;;
30/09/2017;2,4;;;;;;;;;;;;
31/10/2017;100,2;;;;;;;;;;;;
30/11/2017;176;;;;;;;;;;;;
31/12/2017;246,4;;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;;
31/03/2018;45,8;;;;;;;;;;;;
30/04/2018;44,2;;;;;;;;;;;;
31/05/2018;5,8;;;;;;;;;;;;
30/06/2018;0;;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;;
31/08/2018;10;;;;;;;;;;;;
30/09/2018;88,8;;;;;;;;;;;;
31/10/2018;139,4;;;;;;;;;;;;
30/11/2018;null;;;;;;;;;;;;
31/12/2018;93,6;;;;;;;;;;;;
31/01/2019;44,4;;;;;;;;;;;;
28/02/2019;null;;;;;;;;;;;;
31/03/2019;null;;;;;;;;;;;;
30/04/2019;null;;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;;
30/06/2019;3;;;;;;;;;;;;
