time;prec;
31/01/2018;null;
28/02/2018;null;
31/03/2018;156.6;
30/04/2018;22;
31/05/2018;25.6;
30/06/2018;null;
31/07/2018;null;
31/08/2018;80.2;
30/09/2018;128;
31/10/2018;134.6;
30/11/2018;173.2;
31/12/2018;126.2;
31/01/2019;206.2;
28/02/2019;163.4;
31/03/2019;null;
30/04/2019;null;
31/05/2019;null;
30/06/2019;null;
31/07/2019;null;
31/08/2019;null;
30/09/2019;null;
31/10/2019;null;
30/11/2019;null;
31/12/2019;267.8;
31/01/2020;186;
29/02/2020;117;
31/03/2020;45.8;
30/04/2020;60.8;
31/05/2020;71.2;
30/06/2020;35.6;
31/07/2020;0;
31/08/2020;12;
30/09/2020;36.4;
31/10/2020;105.2;
30/11/2020;201.8;
31/12/2020;125.2;
31/01/2021;230.8;
28/02/2021;135.4;
31/03/2021;60.2;
30/04/2021;28.8;
31/05/2021;null;
30/06/2021;null;
31/07/2021;null;
31/08/2021;null;
30/09/2021;17.8;
31/10/2021;272.2;
30/11/2021;114.2;
31/12/2021;160.4;
