time;prec;;;;;;;;;;;;;
30/06/2008;null;;;;;;;;;;;;;
31/07/2008;8,8;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/08/2008;53,4;;;;;2008;536,8;1201,328571;-664,5285714;1620,766667;419,4380952;-1,58433051;-4,752991531;extremamente seco
30/09/2008;96,8;;;;;2009;1871,6;1201,328571;670,2714286;;419,4380952;1,598022297;4,794066892;chuvoso
31/10/2008;110,2;;;;;2010;1251,6;1201,328571;50,27142857;;419,4380952;0,119854227;0,35956268;chuvoso
30/11/2008;155;;;;;2011;1479,2;1201,328571;277,8714286;;419,4380952;0,662484957;1,987454872;chuvoso
31/12/2008;112,6;;;;;2012;1381,8;1201,328571;180,4714286;;419,4380952;0,430269522;1,290808565;chuvoso
31/01/2009;367,6;;;;;2013;1103,4;1201,328571;-97,92857143;;419,4380952;-0,233475625;-0,700426875;seco
28/02/2009;250,4;;;;;2014;1733,8;1201,328571;532,4714286;;419,4380952;1,269487523;3,808462569;muito chuvoso
31/03/2009;121,4;;;;;2015;1906,6;1201,328571;705,2714286;;419,4380952;1,681467269;5,044401807;extremamente chuvoso
30/04/2009;8,8;;;;;2016;1108,2;1201,328571;-93,12857143;;419,4380952;-0,222031743;-0,666095229;seco
31/05/2009;70,8;;;;;2017;1351,6;1201,328571;150,2714286;;419,4380952;0,358268432;1,074805295;chuvoso
30/06/2009;66,6;;;;;2018;1118;1201,328571;-83,32857143;;419,4380952;-0,198667151;-0,596001453;seco
31/07/2009;111,2;;;;;2019;1008;1201,328571;-193,3285714;;419,4380952;-0,460922777;-1,38276833;seco
31/08/2009;202,2;;;;;2020;457;1201,328571;-744,3285714;;419,4380952;-1,774585046;-5,323755137;extremamente seco
30/09/2009;79,4;;;;;2021;511;1201,328571;-690,3285714;;419,4380952;-1,645841375;-4,937524125;extremamente seco
31/10/2009;167,8;;;;;;;;;;;;;
30/11/2009;200,6;;;;;;;;;;;;;
31/12/2009;224,8;;;;;;;;;;;;;
31/01/2010;250,6;;;;;;;;;;;;;
28/02/2010;188,4;;;;;;;;;;;;;
31/03/2010;176,4;;;;;;;;;;;;;
30/04/2010;58;;;;;;;;;;;;;
31/05/2010;112;;;;;;;;;;;;;
30/06/2010;7,2;;;;;;;;;;;;;
31/07/2010;33,2;;;;;;;;;;;;;
31/08/2010;0;;;;;;;;;;;;;
30/09/2010;29,4;;;;;;;;;;;;;
31/10/2010;114,6;;;;;;;;;;;;;
30/11/2010;101,6;;;;;;;;;;;;;
31/12/2010;180,2;;;;;;;;;;;;;
31/01/2011;193,4;;;;;;;;;;;;;
28/02/2011;297,2;;;;;;;;;;;;;
31/03/2011;110,2;;;;;;;;;;;;;
30/04/2011;154;;;;;;;;;;;;;
31/05/2011;21,8;;;;;;;;;;;;;
30/06/2011;61,2;;;;;;;;;;;;;
31/07/2011;88,8;;;;;;;;;;;;;
31/08/2011;28,4;;;;;;;;;;;;;
30/09/2011;72,2;;;;;;;;;;;;;
31/10/2011;257;;;;;;;;;;;;;
30/11/2011;79,6;;;;;;;;;;;;;
31/12/2011;115,4;;;;;;;;;;;;;
31/01/2012;114,2;;;;;;;;;;;;;
29/02/2012;116,2;;;;;;;;;;;;;
31/03/2012;139,8;;;;;;;;;;;;;
30/04/2012;120;;;;;;;;;;;;;
31/05/2012;113,2;;;;;;;;;;;;;
30/06/2012;185,6;;;;;;;;;;;;;
31/07/2012;25;;;;;;;;;;;;;
31/08/2012;3,4;;;;;;;;;;;;;
30/09/2012;56,2;;;;;;;;;;;;;
31/10/2012;90,4;;;;;;;;;;;;;
30/11/2012;245,4;;;;;;;;;;;;;
31/12/2012;172,4;;;;;;;;;;;;;
31/01/2013;90,6;;;;;;;;;;;;;
28/02/2013;61,4;;;;;;;;;;;;;
31/03/2013;131,6;;;;;;;;;;;;;
30/04/2013;173,6;;;;;;;;;;;;;
31/05/2013;39;;;;;;;;;;;;;
30/06/2013;218,4;;;;;;;;;;;;;
31/07/2013;25,6;;;;;;;;;;;;;
31/08/2013;0,8;;;;;;;;;;;;;
30/09/2013;85,4;;;;;;;;;;;;;
31/10/2013;118,8;;;;;;;;;;;;;
30/11/2013;72,8;;;;;;;;;;;;;
31/12/2013;85,4;;;;;;;;;;;;;
31/01/2014;210,8;;;;;;;;;;;;;
28/02/2014;166,4;;;;;;;;;;;;;
31/03/2014;222,2;;;;;;;;;;;;;
30/04/2014;83,8;;;;;;;;;;;;;
31/05/2014;194,6;;;;;;;;;;;;;
30/06/2014;45,6;;;;;;;;;;;;;
31/07/2014;137,4;;;;;;;;;;;;;
31/08/2014;10,8;;;;;;;;;;;;;
30/09/2014;225;;;;;;;;;;;;;
31/10/2014;21,2;;;;;;;;;;;;;
30/11/2014;173;;;;;;;;;;;;;
31/12/2014;243;;;;;;;;;;;;;
31/01/2015;172,2;;;;;;;;;;;;;
28/02/2015;148,6;;;;;;;;;;;;;
31/03/2015;267,2;;;;;;;;;;;;;
30/04/2015;104,4;;;;;;;;;;;;;
31/05/2015;135,4;;;;;;;;;;;;;
30/06/2015;58;;;;;;;;;;;;;
31/07/2015;151;;;;;;;;;;;;;
31/08/2015;3,6;;;;;;;;;;;;;
30/09/2015;180,6;;;;;;;;;;;;;
31/10/2015;194,2;;;;;;;;;;;;;
30/11/2015;296,6;;;;;;;;;;;;;
31/12/2015;194,8;;;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;;
31/03/2016;243,4;;;;;;;;;;;;;
30/04/2016;74,4;;;;;;;;;;;;;
31/05/2016;201,6;;;;;;;;;;;;;
30/06/2016;48,2;;;;;;;;;;;;;
31/07/2016;18;;;;;;;;;;;;;
31/08/2016;113,6;;;;;;;;;;;;;
30/09/2016;12,4;;;;;;;;;;;;;
31/10/2016;142,8;;;;;;;;;;;;;
30/11/2016;85,8;;;;;;;;;;;;;
31/12/2016;168;;;;;;;;;;;;;
31/01/2017;181,6;;;;;;;;;;;;;
28/02/2017;171;;;;;;;;;;;;;
31/03/2017;256,8;;;;;;;;;;;;;
30/04/2017;138,4;;;;;;;;;;;;;
31/05/2017;234,2;;;;;;;;;;;;;
30/06/2017;83;;;;;;;;;;;;;
31/07/2017;0;;;;;;;;;;;;;
31/08/2017;12,6;;;;;;;;;;;;;
30/09/2017;1,8;;;;;;;;;;;;;
31/10/2017;null;;;;;;;;;;;;;
30/11/2017;62,8;;;;;;;;;;;;;
31/12/2017;209,4;;;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;;;
28/02/2018;10,8;;;;;;;;;;;;;
31/03/2018;188;;;;;;;;;;;;;
30/04/2018;9;;;;;;;;;;;;;
31/05/2018;51,2;;;;;;;;;;;;;
30/06/2018;47,6;;;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;;;
31/08/2018;88;;;;;;;;;;;;;
30/09/2018;168,4;;;;;;;;;;;;;
31/10/2018;216;;;;;;;;;;;;;
30/11/2018;171,2;;;;;;;;;;;;;
31/12/2018;167,8;;;;;;;;;;;;;
31/01/2019;118,6;;;;;;;;;;;;;
28/02/2019;133,2;;;;;;;;;;;;;
31/03/2019;113,6;;;;;;;;;;;;;
30/04/2019;47;;;;;;;;;;;;;
31/05/2019;67,4;;;;;;;;;;;;;
30/06/2019;19;;;;;;;;;;;;;
31/07/2019;67,2;;;;;;;;;;;;;
31/08/2019;2;;;;;;;;;;;;;
30/09/2019;28,6;;;;;;;;;;;;;
31/10/2019;67,2;;;;;;;;;;;;;
30/11/2019;95,2;;;;;;;;;;;;;
31/12/2019;249;;;;;;;;;;;;;
31/01/2020;89,8;;;;;;;;;;;;;
29/02/2020;53;;;;;;;;;;;;;
31/03/2020;49,4;;;;;;;;;;;;;
30/04/2020;48;;;;;;;;;;;;;
31/05/2020;37,8;;;;;;;;;;;;;
30/06/2020;3,8;;;;;;;;;;;;;
31/07/2020;0,2;;;;;;;;;;;;;
31/08/2020;54,8;;;;;;;;;;;;;
30/09/2020;22,8;;;;;;;;;;;;;
31/10/2020;33,6;;;;;;;;;;;;;
30/11/2020;16,4;;;;;;;;;;;;;
31/12/2020;47,4;;;;;;;;;;;;;
31/01/2021;18,6;;;;;;;;;;;;;
28/02/2021;4;;;;;;;;;;;;;
31/03/2021;19,6;;;;;;;;;;;;;
30/04/2021;2,4;;;;;;;;;;;;;
31/05/2021;8,4;;;;;;;;;;;;;
30/06/2021;6;;;;;;;;;;;;;
31/07/2021;3;;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;;
30/09/2021;28,8;;;;;;;;;;;;;
31/10/2021;248,4;;;;;;;;;;;;;
30/11/2021;129,4;;;;;;;;;;;;;
31/12/2021;42,4;;;;;;;;;;;;;
