time;prec;;;;;;;;;;;
28/02/2018;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/03/2018;null;;;2018;666,4;786,2;-119,8;884,2;98;-1,22244898;-3,667346939;muito seco
30/04/2018;null;;;2019;710;786,2;-76,2;;98;-0,77755102;-2,332653061;muito seco
31/05/2018;43,2;;;2020;902,8;786,2;116,6;;98;1,189795918;3,569387755;muito chuvoso 
30/06/2018;10,2;;;2021;865,6;786,2;79,4;;98;0,810204082;2,430612245;muito chuvoso 
31/07/2018;0;;;;;;;;;;;
31/08/2018;48,8;;;;;;;;;;;
30/09/2018;87;;;;;;;;;;;
31/10/2018;256,4;;;;;;;;;;;
30/11/2018;80,6;;;;;;;;;;;
31/12/2018;140,2;;;;;;;;;;;
31/01/2019;87,6;;;;;;;;;;;
28/02/2019;183,2;;;;;;;;;;;
31/03/2019;142;;;;;;;;;;;
30/04/2019;29,8;;;;;;;;;;;
31/05/2019;null;;;;;;;;;;;
30/06/2019;null;;;;;;;;;;;
31/07/2019;null;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;
31/12/2019;267,4;;;;;;;;;;;
31/01/2020;119;;;;;;;;;;;
29/02/2020;102;;;;;;;;;;;
31/03/2020;13,2;;;;;;;;;;;
30/04/2020;61,4;;;;;;;;;;;
31/05/2020;76,8;;;;;;;;;;;
30/06/2020;60,4;;;;;;;;;;;
31/07/2020;2;;;;;;;;;;;
31/08/2020;70,6;;;;;;;;;;;
30/09/2020;14,2;;;;;;;;;;;
31/10/2020;96;;;;;;;;;;;
30/11/2020;68,4;;;;;;;;;;;
31/12/2020;218,8;;;;;;;;;;;
31/01/2021;245,6;;;;;;;;;;;
28/02/2021;242,4;;;;;;;;;;;
31/03/2021;53,6;;;;;;;;;;;
30/04/2021;14,2;;;;;;;;;;;
31/05/2021;4,8;;;;;;;;;;;
30/06/2021;73,2;;;;;;;;;;;
31/07/2021;2;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;
30/11/2021;114,2;;;;;;;;;;;
31/12/2021;115,6;;;;;;;;;;;
